Job ID,Job Title,Job URL,Diversity Job,Employer,Location,Salary,Date Posted,Description,Position Type 0.0,Position Type 0.1,Position Type 0.2,Position Type 0.3,Position Type 0.4,Position Type 0.5,Position Type 0.6,Position Type 0.7,Position Type 0.8,Position Type 0.9,Position Type 1.0,Position Type 1.1,Position Type 1.2,Position Type 1.3,Position Type 1.4,Position Type 1.5,Position Type 1.6,Position Type 1.7,Position Type 1.8,Position Type 1.9,Position Type 2.0,Position Type 2.1,Position Type 2.2,Position Type 2.3,Position Type 2.4,Position Type 2.5,Position Type 2.6,Position Type 2.7,Position Type 2.8,Position Type 2.9,Position Type 3.0,Position Type 3.1,Position Type 3.2,Position Type 3.3,Position Type 3.4,Position Type 3.5,Position Type 3.6,Position Type 3.7,Position Type 3.8,Position Type 3.9
370229,Professor of Linguistics--Editing and Publishing,https://jobs.chronicle.com/job/370229/professor-of-linguistics-editing-and-publishing/,False,Brigham Young University,"Utah, United States",Salary Not specified,2021-08-13,"
To Apply: Click on the following link to access
the application portal: Careers
Job Search (byu.edu).
Job Title:  Professor of
Linguistics--Editing and Publishing
Job Classification:  Faculty CFS --
Professorial
Posting close date:  August 31, 2021
Start date of this position:  August 1,
2022
Required Degree:  PHD in a field that
is demonstrably applicable to editing and publishing.  Such
fields might include--but are not restricted to--publishing
studies, linguistics, English language, writing studies,
composition, English, rhetoric, and technical or professional
communication. 
Required degree must be completed by the start date.
Experience: 
Required Qualifications:
-- Ability to teach core courses in editing and publishing
-- Evidence of scholarly research and research agenda
-- Commitment to student mentoring
-- Willingness to support and grow a burgeoning undergraduate
editing and publishing major
 Preferred Qualification:
-- Professional editing or publishing experience.  This
experience could include a specialty in copywriting, trade books,
scholarly publication, fiction, textbooks, journals, magazines,
digital publishing, or the business of publishing.
-- Connection to publishing professionals and industry
-- Ability to serve on thesis committees (reader or chair) in
TESOL or linguistics
-- Ability to make connections betweeen candidate's scholarship
and the field of linguistics
-- Willingness to collaborate with undergraduate and graduate
students on student- and faculty-led research projects
-- Understanding of the field of linguistics and ability to
teach general courses in linguistics or English language
programs
Duties/Expectations: 
Primary responsibilities under a 10-month contract will
include:
-- Teaching six courses per year primarily in BYU's editing and
publishing major or editing minor.  Teaching responsibilities
may also include courses in linguistics or English language,
including advanced courses in areas of specialization, depending
upon the successful candidate's expertise.
-- Conducting and publishing research applicable to editing or
publishing
-- Mentoring students in scholarly research, presenting
professional papers, publishing peer-reviewed articles, and grant
writing
-- Completing other departmental or college responsibilities,
such as student advising, program coordination and development,
committee service, shared governance, and disciplinary service
Information required at the time of application
– Please list the individual contact information for
each of your three recommenders on the faculty application. At some
point during the selection process they may be contacted to submit
their letters of reference electronically
Document(s) required at the time of application
- Please attach your updated Curriculum
Vitae, cover letter and two writing samples to the
faculty application.
#LI-DNI
Equal Opportunity Employer:
m/f/Vets/Disability
Brigham Young University is an equal opportunity
employer.  All faculty are required to abide
by the university’s Honor Code and Dress & Grooming
Standards. Preference is given to qualified candidates who are
members in good standing of the affiliated church, The Church of
Jesus Christ of Latter-day Saints. Successful candidates are
expected to support and contribute to the academic and religious
missions of the university within the context of the principles and
doctrine of the affiliated church.
Job Title:  Professor of
Linguistics--Editing and Publishing
Job Classification:  Faculty CFS --
Professorial
Posting close date:  August 31, 2021
Start date of this position:  August 1,
2022
Required Degree:  PHD in a field that
is demonstrably applicable to editing and publishing.  Such
fields might include--but are not restricted to--publishing
studies, linguistics, English language, writing studies,
composition, English, rhetoric, and technical or professional
communication. 
Required degree must be completed by the start date.
Experience: 
Required Qualifications:
-- Ability to teach core courses in editing and publishing
-- Evidence of scholarly research and research agenda
-- Commitment to student mentoring
-- Willingness to support and grow a burgeoning undergraduate
editing and publishing major
 Preferred Qualification:
-- Professional editing or publishing experience.  This
experience could include a specialty in copywriting, trade books,
scholarly publication, fiction, textbooks, journals, magazines,
digital publishing, or the business of publishing.
-- Connection to publishing professionals and industry
-- Ability to serve on thesis committees (reader or chair) in
TESOL or linguistics
-- Ability to make connections between candidate's scholarship
and the field of linguistics
-- Willingness to collaborate with undergraduate and graduate
students on student- and faculty-led research projects
-- Understanding of the field of linguistics and ability to
teach general courses in linguistics or English language
programs
Duties/Expectations: 
Primary responsibilities under a 10-month contract will
include:
-- Teaching six courses per year primarily in BYU's editing and
publishing major or editing minor.  Teaching responsibilities
may also include courses in linguistics or English language,
including advanced courses in areas of specialization, depending
upon the successful candidate's expertise.
-- Conducting and publishing research applicable to editing or
publishing
-- Mentoring students in scholarly research, presenting
professional papers, publishing peer-reviewed articles, and grant
writing
-- Completing other departmental or college responsibilities,
such as student advising, program coordination and development,
committee service, shared governance, and disciplinary service
Information required at the time of application
– Please list the individual contact information for
each of your three recommenders on the faculty application. At some
point during the selection process they may be contacted to submit
their letters of reference electronically
Document(s) required at the time of application
- Please attach your updated Curriculum
Vitae, cover letter and two writing samples to the
faculty application.
#LI-DNI
Equal Opportunity Employer:
m/f/Vets/Disability
Brigham Young University is an equal opportunity
employer.  All faculty are required to abide
by the university’s Honor Code and Dress & Grooming
Standards. Preference is given to qualified candidates who are
members in good standing of the affiliated church, The Church of
Jesus Christ of Latter-day Saints. Successful candidates are
expected to support and contribute to the academic and religious
missions of the university within the context of the principles and
doctrine of the affiliated church.
",Faculty Positions,Communications,Other Communications,Humanities,Other Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370099,Assistant Professor of Sociology and Criminal Justice,https://jobs.chronicle.com/job/370099/assistant-professor-of-sociology-and-criminal-justice/,False,Pacific Lutheran University,"Washington, United States","$55,000.00 - $57,000.00",2021-08-13,"
General Description: The Department
of Sociology and Criminal Justice at Pacific Lutheran University
invites applications for a full-time, tenure-track assistant
professor specializing in criminology starting Fall 2022. The
successful candidate will be able to provide excellent
undergraduate instruction in a generalist department. Preference
will be given to candidates who are prepared to teach courses in
criminology, criminal justice, introductory sociology, and
introductory statistics. 

PLU’s Department of Sociology and Criminal Justice is committed to
fostering a diverse and inclusive academic community. Our students
have strong commitments to social justice, and many are
first-generation college students, non-traditional students and
students of color. We encourage applications from individuals who
share backgrounds with our students or whose commitments to
justice, inclusion, and diversity influences their teaching,
research, and service. 

The Department offers a major and minor in Sociology and a major
and minor in Criminal Justice. Faculty teach courses and work with
students across the two programs.
Essential Functions and
Responsibilities:-Teach undergraduate courses in
criminology, criminal justice, introductory sociology, and
introductory statistics, in addition to other courses offered
across the department’s curriculum.
-Mentor and advise students. 
-Develop and advance a program of scholarship.
-Contribute to the University and the Department of Sociology and
Criminal Justice through relevant service and leadership.
-Other areas as appropriate to the candidate’s areas of experience
and expertise.
Knowledge, Skills, and Abilities: -Passion for
teaching and demonstrated ability to work effectively with students
and colleagues. -Experience working with, teaching, or mentoring
students from diverse backgrounds. -Commitment to using inclusive
and anti-racist pedagogy.   Required
Qualifications: -Ph.D. in Sociology or
Criminology; ABD will be considered, but Ph.D. must be in
hand by September 1, 2022. -Evidence of commitment to teaching,
research, and service.   Preferred
Qualifications: -Previous university teaching in sociology
or criminology. -Preference will be given to candidates who are
prepared to teach criminal justice from a critical perspective, as
well as introductory sociology, introductory statistics, and other
courses that meet the needs of the department. -Preference for
candidates whose teaching areas are complementary to the teaching
expertise of the current department members. -Preference for
professional faculty who view themselves as inclusive educators and
are committed to supporting students as they discover their
vocation.   -Preference for candidates who have a demonstrated
record of peer-reviewed scholarship – or the potential to achieve
one.    
				",Faculty Positions,Social & Behavioral Sciences,Criminal Justice & Criminology,Sociology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369787,"Professor, Associate Professor or Professor in Practice of Urban Design",https://jobs.chronicle.com/job/369787/professor-associate-professor-or-professor-in-practice-of-urban-design/,False,Harvard University Graduate School of Design,"Massachusetts, United States",Salary Not specified,2021-08-13,"
The Department of Urban Planning and Design at Harvard
University’s Graduate School of Design (GSD) is searching for a
distinguished practitioner and/or scholar at the full professorial
level in urban design, or a candidate with superior attainment and
strong promise at the associate professorial level. Of particular
interest are candidates who are designers capable of knowledgeable
and quality synthesis and inclusion of a broad range of concerns
and factors involved in the production and construction of urban
environments. These should include matters of social justice like
reducing economic and social inequality, minimizing the effects of
constructed development on climate change and other forms of
anthropocentric ecological impact, as well as concerns for spatial
formation, organizing sustainable mobility and dealing with
typo-morphological and related changes in urban conditions.
Candidates should be willing to push methodological boundaries of
the field of urban design through digital design platforms
including spatial analytical techniques, parametric design, and
other modes of representation. Candidates must also be willing to
engage in constructive dialogue with colleagues in other
disciplines at the GSD and across the university.
Additionally, they must be capable of engaging in design research
in connection with fields of architecture, landscape architecture,
planning, the social sciences and the humanities.
Please visit the Harvard Academic Positions website for more
information and to apply: https://academicpositions.harvard.edu/postings/10377
",Faculty Positions,Professional Fields,Architecture,Urban & Regional Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369788,Assistant/Associate Professor of Environmental Planning,https://jobs.chronicle.com/job/369788/assistant-associate-professor-of-environmental-planning/,False,Harvard University Graduate School of Design,"Massachusetts, United States",Salary Not specified,2021-08-13,"
The Harvard University Graduate School of Design seeks to fill
one or more* tenure track faculty positions at the assistant or
associate professor level (without tenure) in environmental
planning, lodged in the Department of Urban Planning and Design.
The School will consider candidates with backgrounds in a variety
of environmental planning subfields, including but not limited to
climate change, sustainable urban and regional development,
infrastructure, environmental justice, environmental governance,
environmentally sensitive land use and/or stewardship, and natural
disaster resilience. A background in climate change is highly
preferred. Candidates with an interest in the interplay between the
form and function of the built and natural environments as well as
a specialization in a particular domain such as land, air, water,
or coastal regions are welcome. Candidates may employ a variety of
methods in their work, including those drawn from urban planning,
spatial and infrastructure analysis, ecology and natural science,
design, law, public policy, sociology, political science, and
economics, among others. Successful candidates must demonstrate a
high level of achievement and/or promise in their research and
teaching, consistent with their career stage. Candidates should
hold a Ph.D. or comparable terminal degree in disciplines or fields
relevant to environmental planning. Professional work experience
may add to a candidate’s background.
*Pending Dean’s approval.
Please visit the Harvard Academic Positions website for more
information and to apply: https://academicpositions.harvard.edu/postings/10375
",Faculty Positions,Professional Fields,Urban & Regional Planning,"Science, Technology & Mathematics",Geology & Earth Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369789,Associate Professor of Landscape Architecture or Professor of Landscape Architecture (Public Realm),https://jobs.chronicle.com/job/369789/associate-professor-of-landscape-architecture-or-professor-of-landscape-architecture-public-realm-/,False,Harvard University Graduate School of Design,"Massachusetts, United States",Salary Not specified,2021-08-13,"
Harvard’s Department of Landscape Architecture is actively
seeking highly qualified individuals to offer graduate-level
instruction and research with an emphasis on design for the public
realm. A full-time tenure track position at the rank of associate
professor is targeted, although the committee may also consider the
appointment of a full professor with tenure.
The preferred candidate should bring a distinguished
international reputation for their work in the discipline or
profession of landscape architecture. They should have experience
teaching at the graduate level in the discipline, and are expected
to teach courses in design studios, lectures, seminars, and
workshops in the context of an interdisciplinary design school with
collaborative faculties in architecture, landscape architecture,
and urban planning and design. Applicants should be prepared to
advise thesis students and/or doctoral students.
We seek candidates with a focus on the design of public realm
landscapes who are committed to advancing debates in environmental
and social justice in the contemporary city. Candidates with
expertise in landscape architecture and its intersection with urban
design and contemporary public space design—including innovative
infrastructure design, climate change, human health and design,
engagement with underserved communities, urban recreational
landscapes, waste sites and post-industrial landscapes—at all
scales of human and non-human interactions. Candidates should see
their work as expanding disciplinary boundaries and working across
scales, embracing the multiple forces that contribute to the
conceptualization of urban landscapes and their public dimensions.
We are interested in candidates who have developed a research
trajectory in public realm landscapes or with a history of
consequential professional practice leading to a promising design
research agenda.
The Department of Landscape Architecture educates landscape
architects as committed protagonists in the urgent global demand to
design a more equitable distribution of ecological, environmental,
spatial, and economic resources. Candidates should regard this
position as a robust platform for vocal citizenship, community
engagement, and disciplinary leadership in the advancement of
improved landscape futures across all regions of the world.
Please visit the Harvard Academic Positions website for more
information and to apply: https://academicpositions.harvard.edu/postings/10382
",Faculty Positions,Professional Fields,Architecture,Urban & Regional Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369790,Assistant/Associate Professor in Landscape Architecture (Environmental History),https://jobs.chronicle.com/job/369790/assistant-associate-professor-in-landscape-architecture-environmental-history-/,False,Harvard University Graduate School of Design,"Massachusetts, United States",Salary Not specified,2021-08-13,"
A junior faculty position is available for highly qualified
individuals to offer graduate-level instruction in environmental
history. Housed in the Department of Landscape Architecture, this
is planned as a full-time tenure track position, although the
committee may also consider a more senior appointment.
Candidates should be creative emerging researchers who have
demonstrated an innovative historical approach to narrating and
theorizing familiar and/or previously overlooked objects, subjects,
topics, and themes within or beyond the traditional bounds of art-,
architectural-, urban-, design- or landscape-history. The candidate
will be expected to make substantial scholarly contributions to the
field while at the same time continuing to define it with respect
to past and future possibilities and practices within landscape
architecture.
Teaching responsibilities include a comprehensive course on the
history of the environment—considered as an evolving concept and an
inhabited condition—in the modern era. The successful candidate
will also offer research-based seminars in their area of
specialization to students in the professional, PhD, and other
degree tracts.
Teaching responsibilities also involve engagement in the
Department of Landscape Architecture’s core curriculum, including
“Climate by Design,” which explores responses to the climate crisis
including adaptation and mitigation, and with design studios
through guest critiques and project reviews.
Please visit the Harvard Academic Positions website for more
information and to apply: https://academicpositions.harvard.edu/postings/10381
",Faculty Positions,Arts,Art History,Professional Fields,Architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369791,Assistant Professor of Architecture (Technology),https://jobs.chronicle.com/job/369791/assistant-professor-of-architecture-technology-/,False,Harvard University Graduate School of Design,"Massachusetts, United States",Salary Not specified,2021-08-13,"
The Harvard Graduate School of Design invites highly qualified
individuals to apply to a full-time tenure track position in
Environmental Technologies. The position is housed in the
Department of Architecture, but the candidate is expected to engage
students and colleagues across the school’s departments and
programs.
Teaching responsibilities will involve required introductory
courses in Environmental Technologies and environmentally-focused
design strategies for students in the department’s professional
MArch program. Teaching will also be geared towards students in
other programs, and involve advanced courses in specialized areas,
as well as participation in design studios.
Candidates should be creative researchers able to advance
knowledge in the area of Environmental Technologies, and be well
versed in the underlying science as well as in related
computational and experimental methods. A collaborative mindset and
interest in engaging in the school’s Center for Green Buildings and
Cities and/or the Laboratory for
Design Technology are expected. Candidates should have an
exemplary record of research and teaching and should be able to
interact with related disciplines such as ecology, engineering, or
public health. Additionally, the successful candidate will
demonstrate a record of scholarship and/or teaching in at least one
focused area such as digital fabrication and construction, advanced
building materials, life cycle design, systems operation and
design, or others.
Please visit the Harvard Academic Positions website for more
information and to apply: https://academicpositions.harvard.edu/postings/10386
",Faculty Positions,Professional Fields,Architecture,"Science, Technology & Mathematics",Other Science & Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369792,Assistant/Associate Professor of Architectural History,https://jobs.chronicle.com/job/369792/assistant-associate-professor-of-architectural-history/,False,Harvard University Graduate School of Design,"Massachusetts, United States",Salary Not specified,2021-08-13,"
A full-time tenure track position at the Assistant or Associate
Professor level is available for highly qualified individuals to
offer graduate-level instruction in modern and contemporary
architectural history at the Harvard Graduate School of Design
(GSD).
Teaching responsibilities will involve required, comprehensive
courses in the history of modern and contemporary architecture
across a range of national, regional, and cultural settings for
students in the professional MArch and
post-professional MDES programs. Additionally, the
successful candidate will offer lecture courses and research-based
seminars in their area of expertise to students across the
professional, post-professional, and doctoral tracts (PhD and
DDes).
Candidates should be creative researchers who show promise of an
innovative historical approach to narrating and theorizing familiar
and/or previously overlooked objects, subjects, topics, and themes
within or beyond the traditional bounds of architectural history.
We are especially interested in candidates whose expertise lies in
such areas as race, gender, diasporic communities, and questions of
power and hegemony in the design disciplines. The candidate will be
expected to make substantial scholarly contributions to the field
while at the same time continuing to define it with respect to past
and future research possibilities.
The candidates are expected to engage in the Department of
Architecture’s core curriculum and with design studios through
guest critiques and project reviews.
Please visit the Harvard Academic Positions website for more
information and to apply: https://academicpositions.harvard.edu/postings/10384
",Faculty Positions,Humanities,History,Professional Fields,Architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369963,Assistant Professor - Business Analytics,https://jobs.chronicle.com/job/369963/assistant-professor-business-analytics/,False,Miami University,"Ohio, United States",Salary Not specified,2021-08-13,"
Information Systems & Analytics: Assistant Professor of
Business Analytics (2 tenure-track positions) to teach applied
statistics and machine learning courses in our Bachelors and
Masters of Business Analytics; maintain an active research agenda
that results in top tier publications; advise students; and provide
service to the institution and profession. Start date of position
is August 2022.
Required: Doctorate in a quantitative area such as Statistics,
Analytics, Data Science or a closely related field by date of
appointment.
Consideration may be given to candidates with prior teaching
experience in a business school environment; previous success in
teaching and/or research in the areas of statistical learning,
computational statistics, machine learning, ability to attract
external funding; or work experience in Data Science/Analytics or a
related area.
Submit letter of interest, curriculum vitae, evidence of
teaching effectiveness, teaching philosophy, statement of research
plans, and graduate transcripts to 
https://jobs.miamioh.edu/cw/en-us/job/499052/assistant-professor-business-analytics.
Evidence of teaching effectiveness can be recent teaching
evaluations (preferred) or evidence of potential for excellent
classroom performance. Department will request letters of
recommendation from the references submitted in application. For
inquiries about posting, contact Dr. Maria Weese at weeseml@miamioh.edu. Screening of
applications will begin September 27, 2021 and will continue until
the position is filled.
Miami University, an Equal Opportunity/Affirmative Action
employer, encourages applications from minorities, women, protected
veterans and individuals with disabilities. Miami University
prohibits harassment, discrimination and retaliation on the basis
of age (40 years or older), color, disability, gender identity or
expression, genetic information, military status, national origin
(ancestry), pregnancy, race, religion, sex/gender, status as a
parent or foster parent, sexual orientation, or protected veteran
status in its application and admission processes, educational
programs and activities, facilities, programs or employment
practices. Requests for reasonable accommodations for disabilities
related to employment should be directed to ADAFacultyStaff@MiamiOH.edu
or 513-529-3560.
As part of the University’s commitment to maintaining a healthy
and safe living, learning, and working environment, we encourage
you to read Miami University’s Annual Security & Fire Safety
Report at: http://www.MiamiOH.edu/campus-safety/annual-report/index.html,
which contains information about campus safety, crime statistics,
and our drug and alcohol abuse and prevention program designed to
prevent the unlawful possession, use, and distribution of drugs and
alcohol on campus and at university events and activities. This
report also contains information on programs and policies designed
to prevent and address sexual violence, domestic violence, dating
violence, and stalking. Each year, email notification of this
website is made to all faculty, staff, and enrolled students.
Written notification is also provided to prospective students and
employees. Hard copies of the Annual Security & Fire Safety
Report may be obtained from the Miami University Police Department
at (513) 529-2223. A criminal background check is required. All
campuses are smoke- and tobacco-free. 
",Faculty Positions,Business & Management,Other Business & Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370021,Faculty Positions School of Nuclear Engineering,https://jobs.chronicle.com/job/370021/faculty-positions-school-of-nuclear-engineering/,False,Purdue University School of Nuclear Engineering,"Indiana, United States",Salary Not specified,2021-08-13,"
Faculty Positions School of
Nuclear Engineering
 The School of Nuclear Engineering at Purdue University
invites applications for two tenured/tenure-track faculty positions
at Assistant/Associate Professor level. Purdue University seeks to
attract exceptional candidates with interests and expertise in (a)
nuclear materials and advanced manufacturing, (b) reactor
thermalhydraulics; However, other areas such as nuclear security,
and radiation and instrumentation are also encouraged. Successful
candidates must hold a Ph.D. degree in Nuclear Engineering or a
related discipline and demonstrate excellent potential to build an
independent research program, as well as potential to educate and
mentor students.  The successful candidates will conduct
original research, advise graduate students, teach undergraduate
and graduate level courses, and perform service at the School,
College, and University levels. Candidates with experience working
with diverse groups of students, faculty, and staff and the ability
to contribute to an inclusive climate are particularly encouraged
to apply.
 The School of Nuclear Engineering at Purdue University is
a high ranked nuclear engineering program with its renowned core
faculty engaged in all areas of School of Nuclear Engineering, as
well as significant interdisciplinary efforts across campus, with
other academic institutions, and with industrial partners. The
School of Nuclear Engineering has outstanding facilities, including
Purdue's Nuclear Reactor Facility PUR-1, the only reactor in the
nation licensed with 100% digital instrumentation and control
system, (https://engineering.purdue.edu/NE/research/facilities/reactor),
the world renowned PUMA Thermalhydraulics facility,  and
several university facilities  for advanced manufacturing.
 The School is an integral part of Purdue’s College of
Engineering. Purdue Engineering is one of the largest and
top-ranked engineering colleges in the nation (2nd public college
for engineering, 3rd for online graduate engineering programs,
4th for graduate programs, 6th in the world for utility
patents, and 9th for undergraduate programs) and renowned for
top-notch faculty, students, unique research facilities, and a
culture of collegiality and excellence. The College goal of

Pinnacle of Excellence at Scale is guiding strategic growth in
new directions, by investing in people, exciting
initiatives, and 
facilities.
    Applications must be submitted electronically
via this site: 

https://career8.successfactors.com/sfcareer/jobreqcareer?jobId=15457&company=purdueuniv
including (1) a complete curriculum vitae, (2) teaching plan,
(3) research plan, (4) a diversity and inclusion statement
indicating applicant’s past experiences, current interests or
activities, and/or future goals to promote a climate that values
diversity and inclusion, and (5) names and contact information for
at least three references. The search committee may contact
references to request letters. For information/questions regarding
applications contact the Office of Academic Affairs, College of
Engineering, at coeacademicaffairs@purdue.edu.
Review of applications will begin on  September 6, 2021 and
will continue until the position is filled.  A background
check is required for employment in this position.
 Purdue is an ADVANCE institution http://www.purdue.edu/advance-purdue/. 
The School of Nuclear Engineering is committed to advancing
diversity in all areas of faculty effort including discovery,
instruction, and engagement. Purdue and the College of Engineering
have a Concierge
Program that provides dual career assistance and relocation
services.
 Purdue University is an EOE/AA employer. All
individuals, including minorities, women, individuals
with disabilities, and veterans are encouraged to apply.
 
",Faculty Positions,"Science, Technology & Mathematics",Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
