Job ID,Job Title,Job URL,Diversity Job,Employer,Location,Salary,Date Posted,Description,Position Type 0.0,Position Type 0.1,Position Type 0.2,Position Type 0.3,Position Type 0.4,Position Type 0.5,Position Type 0.6,Position Type 0.7,Position Type 0.8,Position Type 0.9,Position Type 1.0,Position Type 1.1,Position Type 1.2,Position Type 1.3,Position Type 1.4,Position Type 1.5,Position Type 1.6,Position Type 1.7,Position Type 1.8,Position Type 1.9,Position Type 2.0,Position Type 2.1,Position Type 2.2,Position Type 2.3,Position Type 2.4,Position Type 2.5,Position Type 2.6,Position Type 2.7,Position Type 2.8,Position Type 2.9,Position Type 3.0,Position Type 3.1,Position Type 3.2,Position Type 3.3,Position Type 3.4,Position Type 3.5,Position Type 3.6
411613,Economics and/or Political Science Research Position for Faculty and Graduate Students,https://jobs.chronicle.com/job/411613/economics-and-or-political-science-research-position-for-faculty-and-graduate-students/?LinkSource=TopJob,True,Institute for Humane Studies,"Virginia, United States",Salary Not specified,,"Institute for Humane Studies Hayek Fund for Scholars 
Deadlines: Rolling Basis, N/A 
Employment Type: Faculty, Graduate Students 
The Institute for Humane Studies (IHS) offers funded
positions for research, teaching, programs and more through the
Hayek Fund for Scholars. This program helps academics by
providing support to develop research projects and career
opportunities in the social sciences and humanities disciplines
that seek to foster the principles of the classical liberal
tradition, including individual liberty, limited government,
economic freedom, and free speech and open inquiry.  
Positions are awarded on a rolling basis and scholars
working through the Hayek Fund can receive support for a
variety of activities, including travel for paper
presentations or job interviews at academic conferences, submission
fees for unpublished manuscripts, facilitation of thought-provoking
reading groups and book clubs with students, and more. 
The application process is open to all faculty and graduate
students of any university, regardless of nationality. 
Information about the Institute for Humane Studies
The Institute for Humane Studies partners with professors to
promote the teaching and research of liberty and to advance higher
education’s core purpose of intellectual discovery and human
progress.
Our vision is to ensure higher education becomes a place where
classical liberal ideas are regularly taught, discussed,
challenged, and developed, and where free speech, intellectual
diversity, and open inquiry flourish.
",Faculty Positions,Business & Management,Economics,Social & Behavioral Sciences,Political Science & International Relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411175,Director of Information Technology Services,https://jobs.chronicle.com/job/411175/director-of-information-technology-services/?LinkSource=TopJob,True,SUNY Broome Community College,"New York, United States",Salary Commensurate with experience,,"SUNY Broome Community College is a comprehensive community
college located in the scenic Southern Tier of New York.  The
College has over 7,700 students annually, and services over 6,100
students per semester in Liberal Arts, Business & Professional
Studies, Health Sciences, and Science, Technology, Engineering, and
Mathematics (STEM) programs.  An additional 1,600 students are
served through the College’s Workforce and non-credit programs.
Job Description:
SUNY Broome Community College is seeking candidates for the
position of Director of Information Technology Services who will
report to the Vice President of Academic Affairs (VPAA). 
The Director of Information Technology Services provides
leadership and vision in creating and implementing a strategic plan
to achieve the information technology goals of the College. 
The Director is responsible for policy development, coordination
and implementation, budget development, and management of staff and
resources.  This position is responsible for computing and
network operations, remote and hosted services and cloud computing,
wireless services, system and information security, programming
support, desktop support, hardware and software implementation,
providing support for campus website, portal and mobile
applications, digital signage, equipment procurement, information
technology standards, telecommunications systems, institutional
research, reporting and business intelligence, instructional
technologies, including media services, conference and video
conferencing technology, training, documentation, and help desk and
user support.

Provides active leadership and direction for campus-wide
Information Technology Services for the integration and management
of information technology.
Develops campus policies and procedures related to these
functions.
Researches to stay current with continually-evolving technology
trends and develops strategies to meet the College’s future
technology needs.
Develops, publishes, and monitors both long and short-range
strategic plans for the integration of information technology and
services, networking, telecommunications, academic, administrative
and instructional computing, remote service, hosting services and
cloud computing, and infrastructure and reporting
requirements.
Provides leadership and development of a college-wide process
to strategically set priorities for how Information Technology
resources at the College can best be implemented to support the
goals of the College.
Oversees the provisioning of technology and support throughout
the College, including the deployment, enhancement, and support of
enterprise-wide applications, college-wide infrastructure,
construction initiatives, intranet, and web development.
Supervises staff, determines work priorities, delegates tasks
and evaluates performance. Works with staff to improve performance
where necessary.
Develops operating budget requests(s) and manages the multiple
complex budget(s) for the campus information technology services
function. Researches, develops, and maintains multiple vendor
relationships to ensure the effective and appropriate expenditure
of complex Information Technology funding resources and budgets to
achieve efficient and cost-effective delivery of Information
Technology Services.
Oversees all system activity and system management functions.
Provides user support, training, and documentation for campus-wide
systems, standards, and information technology functions.
Responsible for planning, selection, procurement, and
deployment of enterprise-wide, academic, instructional and
administrative systems, applications, processes, data and
telecommunications networks, and additional infrastructure.

Requirements:
Master’s degree in Computer Science, Information
Systems/Technology, or related field required.  Additional
formal training or equivalent experience in
Communications/Telecommunications, Information Systems, Information
Security and Networking is desirable.
 
Eight (8) to ten (10) years of increasingly responsible
professional experience in the management of a complex, service
technological organization.  Experience in higher education
desirable.
Additional Information:
Salary shall be commensurate based upon the education and
experience of the candidate. 
Offers of employment will be conditional based upon the results
of a satisfactory, required pre-employment Standard Background
Check.
SUNY Broome Community College is an affirmative action and equal
opportunity employer with a strong commitment to enhancing the
diversity and inclusion of the campus community and
curriculum.  The institution is committed to promoting an
environment of equality, inclusion, and respect for others. 
SUNY BCC is committed to the diversity of its community. 
Women, minorities, veterans, individuals with disabilities, and
members of underrepresented groups are encouraged to
apply. 
Affirmative Action/Equal Opportunity Employer
Application Instructions:
For full consideration, application materials must be received
no later than Friday, December 10, 2021.  Please submit a
letter of interest, resume, and the name, address, and phone number
of three (3) references to: 
URL: https://www1.sunybroome.edu/about/employment/
",Administrative,Business & Administrative Affairs,Technology Administration/Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408505,Lecturer or Senior Lecturer of Information Systems and Security,https://jobs.chronicle.com/job/408505/lecturer-or-senior-lecturer-of-information-systems-and-security/?LinkSource=TopJob,True,Kennesaw State University,"Georgia, United States",Salary Not specified,,"Lecturer or Senior Lecturer of Information Systems and
Security
Department of Information Systems and Security
 
Kennesaw State University is now accepting applications for a
nine-month, non-tenure track Lecturer or Senior Lecturer faculty
position in the Department of Information Systems and Security
beginning August 2022.
 
Responsibilities include teaching courses in information systems
management, enterprise systems, IS project management, database,
web development, IS architecture, systems analysis, and design,
FinTech, principles of information security, or other courses
related to information systems and/or information security. Some
service to the department, college, and/or university is
expected.
 
A Master’s degree, or its foreign equivalent, in information
systems, information security, or a closely related field is
required.
 
Preferred Qualifications Include:

Industry experience
Licenses, certifications, or professional memberships
Experience teaching on-line or hybrid courses
Record of past teaching
ABD or PhD, or its foreign equivalent, in information systems,
information security, or a closely related field

 
For more than 50 years, Kennesaw State University has been known
for its entrepreneurial spirit and sense of community. Offering
campuses in Marietta and Kennesaw, the university is located just
north of Atlanta and combines a suburban setting with access to one
of the country’s most dynamic cities. As Georgia’s third-largest
university, Kennesaw State offers more than 100 undergraduate and
graduate degrees, including a growing number of doctoral
programs.
Designated by the Board of Regents of the University System of
Georgia as a comprehensive university, Kennesaw State is committed
to becoming a world-class academic institution positioned to
broaden its academic and research missions and expand its scope on
a local, regional and national level.
 
For a full description of this position, application deadlines,
and application procedures, visit https://hr.kennesaw.edu/careers.php.
 
Kennesaw State University, a member of the University System of
Georgia, is an Equal Opportunity/Affirmative Action employer and
does not discriminate on the basis of age, color, disability,
national origin, race, religion, sex, sexual orientation, and/or
veteran status. Georgia is an Open Records state.
",Faculty Positions,Professional Fields,Other Professional Fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412134,Tenure Track Assistant Professor,https://jobs.chronicle.com/job/412134/tenure-track-assistant-professor/,False,Florida International University,"Florida, United States",Salary Not specified,,"Tenure Track Assistant Professor
Department of Public Policy and
Administration
A full member of the Association of Professional Schools of
International Affairs (APSIA), the Steven J. Green School of
International and Public Affairs (SIPA) invites applicants for a
tenure track position at the rank of Assistant Professor in its
Department of Public Policy and Administration. The start date is
Fall 2022. A Ph.D. in Public Administration, Public Policy, or a
related field, is required. The successful candidate should have a
strong record of, or a demonstrated potential for, scholarly
success in the areas of public budgeting and finance, public
management, sustainability, social equity, or a related public
policy research field. The ideal candidate should also demonstrate
abilities to enhance diversity in research, teaching, community
engagement, and/or departmental governance. A strong potential for
obtaining external research support is preferred. ABD candidates
will be considered with the expectation that the Ph.D. is completed
before the start date. Candidates already appointed at the
Assistant Professor level are also encouraged to apply.
The Department of Public Policy and Administration offers the
Bachelor of Public Policy and Service, Master of Public
Administration, and Ph.D. in Public Affairs. For more information
of the Department as well as its faculty, programs, and
certificates, please visit https://pa.fiu.edu/. The faculty is
currently engaged in cutting-edge applications of emerging data and
public policy analytics in disaster mitigation and recovery,
community equity and inclusion initiatives, and sustainability.
Alumni manage public and nonprofit organizations throughout South
Florida and nationwide. The Master of Public Administration is
accredited by the Network of Schools of Public Policy, Affairs and
Administration (NASPAA) and is the highest ranked MPA program in
South Florida. The Ph.D. in Public Affairs was FIU’s first
doctorate and its graduates include faculty at Georgetown
University, Rutgers, University of Colorado at Denver, and Penn
State University. The 16-member faculty is nationally and
internationally renowned for the quality of its teaching, research,
and service. Undergraduate and Master’s level instruction is
conducted through online, face-to-face, and hybrid modalities, to
in-service and pre-service students. 
",Faculty Positions,Professional Fields,Public Administration & Policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412127,"EMSE, Tenure-Track /Tenured Faculty Position in Systems Engineering",https://jobs.chronicle.com/job/412127/emse-tenure-track-tenured-faculty-position-in-systems-engineering/,False,The George Washington University Department of Engineering Management and Systems Engineering,"District of Columbia, United States",Salary Not specified,,"The Department of Engineering Management and Systems Engineering
of The George Washington University School of Engineering and
Applied Science invites applications for a tenure-track/tenured
faculty position at the rank of Assistant, Associate, or Full
Professor with an anticipated start date of Fall 2022. This search
is open to strong candidates in any area of Systems Engineering or
Engineering Management. We are particularly interested in
candidates who can support our multi-disciplinary initiatives in
the areas of Smart and Trustworthy Systems, Meaningful Computing,
or Co-design of AI and Future Work Systems, with applications in a
relevant domain (such as cyber-social systems, mobility,
infrastructure, or disaster response); and candidates who
complement departmental strengths in: technology, policy and
management; complex systems design and operations; risk, resilience
and decisionmaking; and data and models for socio-technical
systems. New faculty will join a diverse, vibrant, and research
active department that is housed in a new $275m building that
encourages interdisciplinary efforts across many fields.
The George Washington University is in the center of Washington,
D.C.  The metropolitan area sustains the second largest
concentration of research and development activity in the United
States, creating a continuing demand for rigorously trained
engineers and many research opportunities. In addition, Washington
DC is a center for the practice of systems engineering, creating a
strong atmosphere for qualified students and successful research
programs in systems engineering. The George Washington University
also hosts top medical, policy, public health, business, and law
schools, along with interdisciplinary institutes such as the
Institute for Data, Democracy, and Politics.  
With one of the highest percentages of women engineering
students nationally and the highest number of doctoral degrees
awarded to students from groups underrepresented in engineering,
the School of Engineering and Applied Science is fundamentally
committed to increasing the diversity of its faculty and staff. We
welcome nominations of and applications from women, members of
groups underrepresented in engineering, veterans, and individuals
with disabilities. We also welcome others who would bring more
aspects of diversity to the university's research, teaching and
service missions.
Specific Duties and Responsibilities: Faculty hired into this
position will be expected to build a substantial research program,
mentor graduate students in research, teach courses at the
undergraduate and graduate levels, and serve the department and
research community.
Minimum Qualifications: All applicants must have an earned
doctorate in Systems Engineering or a related field (including, but
not limited to, human factors engineering, data science, software
engineering, industrial/organizational psychology, information
studies, cyber-social
security, etc.). ABD candidates will be considered but must
complete all degree requirements for the doctorate by the date of
the appointment. Applicants must demonstrate the potential for
superior teaching and for attracting externally funded
research.
Application Procedure: Please complete online faculty
application at https://www.gwu.jobs/postings/87282
and upload a cover letter, CV, research statement, teaching
statement, and provide the names and contact information of three
references.  Review of applications will commence on December
22, 2021 and will continue until the position is filled.
The university is an Equal Opportunity/Affirmative Action
employer that does not unlawfully discriminate in any of its
programs or activities on the basis of race, color, religion, sex,
national origin, age, disability, veteran status, sexual
orientation, gender identity expression, or on any other basis
prohibited by applicable law. 
Employment offers are contingent on the satisfactory outcome of
a standard background screening.
",Faculty Positions,Education,Instructional Technology & Design,Teacher Education,Science,Technology & Mathematics,Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412126,Assistant Professor of Accounting,https://jobs.chronicle.com/job/412126/assistant-professor-of-accounting/,False,Purdue University Fort Wayne,"Indiana, United States",Competitive Salary,,"The Department of Accounting at Purdue University Fort Wayne
(http://www.pfw.edu) invites
applications for a 9-month tenure track position in Accounting at
the Assistant Professor rank beginning August 2022.
Responsibilities are to teach undergraduate and/or MBA courses,
including but not limited to Intermediate Financial Accounting,
Introduction to Financial Accounting, and Introduction to
Managerial Accounting. A combination of online, hybrid, and
face-to-face course delivery is expected.
 
A Ph.D. or DBA with a concentration or specialization in
Accounting is required. ABDs will be considered if degree is in
hand by August 2022.  Duties will include teaching, research,
and service (e.g., participating on school and university level
committees) per department and university guidelines. Position is
contingent upon available funding and a satisfactory background
check.
 
The Department of Accounting includes six full-time faculty and
an administrative assistant. Our mission is to advance the lives of
our students in their chosen accounting career. We offer both an
undergraduate degree in accounting as well as a post-baccalaureate
in Accounting. Our program ranks in the upper 15th percentile for
first-time CPA pass rates for medium-sized schools. Purdue Fort
Wayne is an AACSB Internationally accredited university.
 
The department is committed to advancing diversity in all areas
of faculty effort, including research, teaching and
service/engagement.  Candidates should address at least one of
these areas in their cover letter, indicating their past
experiences, current interests or activities, and/or future goals
to promote a climate that values diversity and inclusion.
 
Purdue University Fort Wayne is the largest university in
northeast Indiana, offering 25 graduate and over 100 prestigious
Purdue University undergraduate degrees and certificates. More than
10,000 students of diverse ages, races, and nationalities belong to
the PFW family. The 594‐acre campus in Fort Wayne is home to over
7,000 degree-seeking undergraduate and graduate students. Through
PFW’s partnerships with area high schools, almost 3,000 high school
students take dual‐credit courses, simultaneously earning both high
school and college credits. PFW is accredited by The Higher
Learning Commission of the North Central Association of Colleges
and Schools. Learn more about us at PFW.edu.
 
Please submit a cover letter, curriculum vita, a 1-2 page
teaching philosophy, evidence of teaching effectiveness, unofficial
transcript, and contact information for three references to
https://careers.purdue.edu/FW/go/FW-Faculty/7720100/.
All candidates invited for a campus interview will be expected to
do a 45-60 minute instructional student presentation. For full
consideration, apply by December 31, 2021. Screening will continue
until the position is filled. Please contact Dr. Steven Hanke,
Chair of the Department of Accounting, at hankes@pfw.edu with any questions.
  
 
Purdue University Fort Wayne is an EEO/AA employer fully
committed to achieving a diverse workforce. All individuals,
including minorities, women, individuals with disabilities, and
protected veterans are encouraged to apply.
",Faculty Positions,Business & Management,Accounting & Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412095,Assistant/Associate Professor of Music,https://jobs.chronicle.com/job/412095/assistant-associate-professor-of-music/,False,Lebanon Valley College,"Pennsylvania, United States",Salary Not specified,,"The Department of Music at Lebanon Valley College invites
applications for a tenure-track Assistant/Associate Professor of
Music Education to begin Fall 2022. The successful candidate will
serve as Director of Music Education, teach courses in elementary
and secondary general music education, facilitate undergraduate
field placements and student teaching, be responsible for
maintaining the program’s accreditation with the Pennsylvania
Department of Education, be a leader in educational technologies,
advise a cohort of undergraduate music majors, and coordinate
curriculum and assessment with the opportunity to teach in the
graduate music programs. Qualifications include: Master’s degree in
music required, doctorate (Ph.D., Ed.D, or D.M.A. in Music
Education) preferred; experience teaching undergraduate music
education courses; experience in Modern Band preferred; possible
other specializations held by the applicant; administrative
experience in music education. The candidate should have the
ability to utilize the department’s current technologies and be a
leader in developing and teaching of educational technology.
To be considered for this position, please submit the following
application documents by January 6, 2022 to 
https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=c6864f58-380f-4d35-a085-a83ec5fb3f0b&ccId=19000101_000001&jobId=399591&source=CC2&lang=en_US
 

Complete applications will include: Cover letter
(1-2 pages), CV, statement of teaching philosophy (1 to 2 pages),
statement of inclusive excellence (1-2 pages): a diversity, equity,
and inclusion statement addressing personal experience with
teaching, advising, or service intended to reduce barriers and
contribute to the development of an inclusive community. Candidates
will provide three letters of recommendation, sent directly from
recommenders to Melissa Sherwood, Associate Director of Human
Resources, sherwood@lvc.edu. Letters will then
be added to the applicant’s file. 
Lebanon Valley College is committed to excellence through
its employment practices and welcomes applicants with exceptional
qualifications, particularly those with demonstrable commitments to
a more inclusive society and world. The College is committed to
recruiting and supporting a diverse student body, faculty and staff
and strives to promote a culture of inclusiveness, respect,
communication, and understanding. The College strongly encourages
applications from historically underrepresented populations. To
learn more about our commitment to inclusive excellence go to

https://www.lvc.edu/about/institutional-priorities/inclusive-excellence/
",Faculty Positions,Arts,Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412075,Assistant Professor of Remote Sensing,https://jobs.chronicle.com/job/412075/assistant-professor-of-remote-sensing/,False,University of Maryland Department of Geographical Sciences,"Maryland, United States",Competitive Salary,,"The Department of Geographical Sciences at the University of
Maryland (College Park) invites applications for a position at the
tenure-track rank of Assistant Professor in the area of Remote
Sensing, with knowledge in some aspect of Earth System Science.
This position is part of a new Center of Excellence in Remote
Sensing which will strengthen our reputation in this area of
interdisciplinary research. This position will have tenure home in
Geographical Sciences and is expected to start in August 2022, or
earlier if the candidate is available. Salary and benefits are
highly competitive, commensurate with qualifications and
experience.
Successful candidates are expected to conduct research at the
leading edge of Remote Sensing and have experience in the
application of the technology to Earth System Science or an area of
Societal Benefit. We encourage applications from candidates with a
background in SAR remote sensing, hyperspectral remote
sensing, and remote sensing fusion, although all backgrounds will
be considered. Additionally, applicants with experience in machine
learning methods and data analytics as applied to remotely sensed
data are welcomed. The candidate should be capable of teaching
courses in Remote Sensing as well as in their applied areas of
interest.
The University of Maryland, College Park is the flagship campus
of the University of Maryland System and is ideally situated in
close proximity to Washington, D. C. The Department has strong
collaborations with scientists at the NASA Goddard Space
Flight Center and NOAA NESDIS. The Department of
Geographical Sciences is committed to increasing the diversity of
the campus community. Candidates who have experience working with a
diverse range of faculty, staff, and students and who can
contribute to the climate of inclusivity are encouraged to identify
their experiences in these areas. Applications from women and
minorities are particularly sought. The University of Maryland is
an Equal Opportunity Affirmative Action Employer. 
Minimum Qualification: A Ph.D. degree in Geography,
Remote Sensing, or a related discipline is required at the time of
appointment. More experienced candidates should have a track record
of publications, awarded grants, and with teaching experience
appropriate to rank.
Additional Information: Applications should include a
cover letter, a personal statement on background and experience
relevant to the position, including research, teaching, and service
activities (uploaded as the required vision statement), a signed
and dated Curriculum Vitae, electronic reprints of selected
peer-reviewed publications (uploaded as Supplemental Document 1, 2
and 3), and provide the names, addresses, and email addresses of
three references.
For best consideration, applications should be submitted by
January 2, 2022 but the search will continue until a suitable
candidate(s) are appointed. To Apply: http://www.ejobs.umd.edu/postings/90270
Further information on academic and research programs of the
Department can be found at http://www.geog.umd.edu. Questions
regarding this position can be directed to Search Chair, Professor
Matthew Hansen at mhansen@umd.edu.
The University of Maryland, College Park, an equal
opportunity/affirmative action employer, complies with all
applicable federal and state laws and regulations regarding
nondiscrimination and affirmative action; all qualified applicants
will receive consideration for employment. The University is
committed to a policy of equal opportunity for all persons and does
not discriminate on the basis of race, color, religion, sex,
national origin, physical or mental disability, protected veteran
status, age, gender identity or expression, sexual orientation,
creed, marital status, political affiliation, personal appearance,
or on the basis of rights secured by the First Amendment, in all
aspects of employment, educational programs and activities, and
admissions.
",Faculty Positions,Social & Behavioral Sciences,Geography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412060,"Assistant or Associate Professor, Mathematics (2 positions) - School of Natural Science & Mathematic",https://jobs.chronicle.com/job/412060/assistant-or-associate-professor-mathematics-2-positions-school-of-natural-science-and-mathematic/,False,Indiana University East,"Indiana, United States",Salary Commensurate with experience,,"IU East At A Glance
Indiana University East, a regional campus of Indiana University,
offers residents of eastern Indiana, western Ohio and beyond a
broad range of bachelor’s degrees, selected master’s degrees, and
certificates through its traditional main campus in Richmond,
off-campus sites, and online program options. Learn more about IU East. 
  Indiana University East challenges students to grow
intellectually and personally in a supportive and scholarly
environment where faculty teaching skills and participation in the
creation and dissemination of new knowledge and artistic work
enhance learning opportunities for all. 
  Diversity Statement
Indiana University East values a diversity of backgrounds,
experiences, and intellectual perspectives among its faculty,
staff, and students. The campus is dedicated to being a strong
partner in enhancing the educational, cultural, and economic
development of the region it serves through community and civic
engagement.    AA/EEO Statement
Indiana University is an equal employment and affirmative action
employer and a provider of ADA services. All qualified
applicants will receive consideration for employment without regard
to age, ethnicity, color, race, religion, sex, sexual orientation
or identity, marital status, national origin, disability status or
protected veteran status. Indiana University does not discriminate
on the basis of sex in its educational programs and activities,
including employment and admission, as required by Title IX. 
Questions or complaints regarding Title IX may be referred to the
U.S. Department of Education Office for Civil Rights or the
university Title IX Coordinator. See Indiana
University’s Notice of Non-Discrimination here which includes
contact information.    Campus Safety and
Security The Annual Security and Fire Safety Report,
containing policy statements, crime and fire statistics for all
Indiana University campuses, is available
online. You may also request a physical copy by emailing IU
Public Safety at iups@iu.edu or by visiting IUPD.
  Job Description Indiana
University East, Richmond, IN, invites applications for two
full-time, tenure-track faculty positions in Mathematics commencing
August 1, 2022. Candidates for all full-time faculty positions
should be “teacher scholars”, demonstrating a strong commitment to
excel in teaching and maintaining an active research agenda
appropriate for a regional university. Online delivery of programs
is an important aspect of IU East’s enrollment strategy and
preference will be given to candidates with experience in online
education. The School of Natural Science and Mathematics offers a
fully online B.S. degree in mathematics, which serves over 300
students worldwide. The department offers a graduate certificate in
Mathematics and an M.A.T. in Mathematics.  We expect to
increase the department’s programmatic offering to include degrees
in Actuarial Sciences (B.S., expected Fall 2022), Applied
Statistics (B.S., expected Fall 2022), and an M.S. in Actuarial
Sciences (expected Fall 2023). 
 
 The ideal candidate will be a generalist and will have a
strong desire to teach in the online setting, as well as foster a
sense of community and engagement with mathematics majors in our
online program, possibly to include undergraduate research. 
Ideally, one successful candidate will primarily teach Real
Analysis, and the second candidate will focus on teaching
statistics, actuarial mathematics, or another applied area within
mathematics.    Characteristic Duties and
Responsibilities Tenure-track faculty are expected to
perform duties in teaching, research, and service. These include:
·       Teach and develop courses across
mathematics, particularly for the online programs in the
mathematical sciences. Primary teaching responsibility will be
online upper-division and graduate courses in mathematics,
statistics, or actuarial sciences. However, teaching assignments
may also be face to-face, and may include service courses
(statistics, finite mathematics) or other lower-level courses,
depending on interest, qualifications, and departmental needs.
·       Develop classes for online delivery and
aid in the expansion of the Mathematics online degree program.
·       Communicate subject matter clearly,
correctly and effectively. Use methods, materials, and technology
appropriate to the subject matter. ·     
 Manage the learning environment through accurate
record-keeping, timely submission of grades and other reports, and
enforcement of school and campus academic policies.  · 
     Collect assessment data and participate in
departmental strategies to improve the program. ·   
   Advance the school and campus mission through service,
such as advising, curriculum design, and participation in faculty
governance. ·       Maintain an active research
agenda, which may include the scholarship of teaching and
learning.    Required Qualifications:
·       Terminal degree (or equivalent) in
mathematics or statistics. Candidates with terminal degrees outside
of mathematics, who have achieved Fellowship status at one of the
professional actuarial societies and have at least 18 graduate
credit hours in mathematics or statistics will also be considered.
This situation should be explained in the cover letter. 
·       Demonstrated interest in teaching a
broad range of undergraduate courses, including abstract algebra,
real analysis, probability, statistics, actuarial or financial
mathematics in the online setting. ·     
 Demonstrated commitment to excellence in undergraduate
teaching and student success. ·       Effective
verbal and written communication skills. ·     
 Demonstrated multicultural competence and awareness,
knowledge, and skills needed to work in meaningful, relevant, and
productive ways with others who are culturally different from self.
    Preferred Qualifications: · 
     Demonstrated experience in teaching
mathematics. ·       Experience teaching
online, developing courses, curriculum design and/or
development.  ·       Experience or desire
to engage undergraduate students in research.   
Required Documents 1. Curriculum vitae 2. Letter
of application 3. List of references

Applications received by January 15, 2022 will be assured full
consideration; however, the search will remain open until a
suitable candidate is found.",Faculty Positions,Science,Technology & Mathematics,Mathematics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411977,Applied Teaching Associate Professor of Communication (2022-2023),https://jobs.chronicle.com/job/411977/applied-teaching-associate-professor-of-communication-2022-2023-/,False,University of Hartford,"Connecticut, United States",Salary Not specified,,"

University of Hartford

Applied Teaching Associate Professor of Communication
(2022-2023)

Posting Number: F132P

Tenure Information:

Rank: Associate Professor

Job Description
The University of Hartford's School of Communication located in
West Hartford, Connecticut seeks an Applied Teaching Associate
Professor with expertise in journalism and media for a full-time
position. Applicants are required to have at least a Master's
Degree or its equivalent in Communication, Journalism, or closely
related field and five years of work experience as a journalist.
The successful candidate must also have at least one year of
college-level teaching experience in Communication or
Journalism.

Essential Job Duties
Candidates will teach a variety of collegiate-level courses related
to writing, reporting, and editing across a range of delivery
platforms. The typical teaching load is 3 to 4 courses per
semester. Applied faculty are expected to engage in various types
of professional productivity.  The Applied Teaching Associate
Professor of Communication will also advise students on courses and
their career development, and contribute to the
department. 

Required Qualifications
Applicants who aspire to enhance the diversity of those working in
the profession of journalism and the journalistic representation of
diverse communities are valued.  The successful candidate must
have at least a Master’s Degree or its equivalent in Communication,
Journalism, or closely related field and five years of work
experience as a journalist, as well as at least one year of
college-level teaching experience in Communication or
Journalism. 

University Information
Students at the University of Hartford find success in a learning
environment that both challenges and mentors them. Our academic
mission is to engage students in acquiring the knowledge, skills,
and values necessary to thrive in, and contribute to, a
pluralistic, complex world. Our strategic plan is being implemented
by teams of faculty and staff. More information on the plan and the
full text of our academic mission can be seen at www.hartford.edu.
The University of Hartford is located within the greater Hartford
area, which is rich in cultural and recreational activities, and is
a short drive from metropolitan Boston and New York.

College Information
The College of Arts and Sciences is University’s largest college,
with 23 undergraduate majors, 24 minors, 4 graduate programs and
many interdisciplinary offerings. The College includes a faculty of
115 teachers and scholars, 24 staff, and a student body of 1,300
undergraduate and 300 graduate students.

Diversity Statement:
The University of Hartford is an open and welcoming community,
which values diversity in all its forms. In addition, the
University aspires to have its faculty and staff reflect the rich
diversity of its student body and the Hartford region. Candidates
committed to working with diverse populations and conversant in
multicultural issues are encouraged to apply. The University of
Hartford is committed to anti-racist values and actions; candidates
should provide examples of their anti-racist values and
actions.

The University of Hartford is an Equal Employment Opportunity and
Affirmative Action employer, Male/Female/Disabled/Veteran. Women
and members of under-represented groups are encouraged to apply.
EEO/AA/M/F/D/V.

Special Instructions to Applicants:
To Apply: Dossiers must include a cover letter, curriculum vitae,
the names and email addresses of three referees (from whom the
system will request confidential letters of reference), graduate
transcript (unofficial transcript is acceptable at application
stage), statement of teaching philosophy, diversity statement (a
description of how the applicant would contribute to the
development of a diverse and inclusive learning community at the
University through teaching, professional productivity, and/or
service), and teaching portfolio (which may include sample syllabi
and other evidence of teaching experience and effectiveness). All
questions should be addressed to Ftfsearch@hartford.edu. Review of
applications will begin immediately and continue until a successful
candidate has been selected. Interested candidates should apply
online within 30 calendar days.

For full application instructions and position description,
visit: https://hartford.peopleadmin.com/postings/4805




jeid-df4362c3f4e88840afa85c79d5bcd516",Faculty Positions,Professional Fields,Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
