Job ID,Job Title,Job URL,Diversity Job,Employer,Location,Salary,Date Posted,Description,Position Type 0.0,Position Type 0.1,Position Type 0.2,Position Type 0.3,Position Type 0.4,Position Type 0.5
37312925,Assistant Professor of Religion,https://jobs.chronicle.com/job/37312925/assistant-professor-of-religion/,False,Trinity University,"San Antonio, Texas","Competitve, based on experience.",2022-08-31,"Summary
Trinity University invites applications for a tenure-track position in African Religions and/or the Global African Diaspora outside the United States, beginning August 2023, at the rank of assistant professor.
Preference will be given to candidates whose teaching and research engages with the academic study of religion. The candidate must demonstrate strong commitment to undergraduate teaching in a small liberal arts institution and be prepared to create courses in their areas of specialization at both the lower and upper division levels. Annual teaching load is typically 3-2. Faculty are expected to contribute to the First-Year Experience and other courses in Pathways, the University’s interdisciplinary general education program.
Trinity University is one of the nation’s top liberal arts universities. We're located in the heart of San Antonio, a large, vibrant and diverse city where our students learn from and participate in a multicultural urban environment. Trinity University is a prestigious, selective liberal arts institution, with over 11,000 applications, and approximately 650 first-year students in the Class of 2026. Discover more about Trinity University (URL: https://new.trinity.edu/)
This search is part of a cluster hire focused on Building Inclusive Communities, which seeks to recruit, amplify, connect, and empower teacher-scholars whose work contributes to addressing the grand challenge of building and sustaining inclusive communities. Additional tenure-track faculty positions will be advertised as part of the cluster, with the goal of recruiting a diverse interdisciplinary faculty cohort whose research, experience, and interests will benefit from collaboration and intentional support, including individual and group research startup funding. More information about the cluster may be found here.
Duties and Responsibilities

Teaching: Teaching responsibilities will include both lower and upper-level courses in the candidate’s area of interest that complement the departmental curriculum. Participation in the First-Year Experience program is expected. Teaching load is typically 3-2 courses per year. Research: Consistent and productive scholarly activity, including attendance at professional meetings, participation in professional organizations, presentations of papers at academic conferences, and publication of research. Service: Advising majors, service to the department, the university, the profession, and the community.

Education Requirements
Ph.D. or equivalent in Religion preferred, with expertise in African Religions and/or the Global African Diaspora outside the United States.
How to apply
Send letter of application; CV; a brief statement (250-500 words) describing your past efforts as well as your future plans to advance diversity, equity and inclusion in your teaching, research, or other professional activities; and the names and contact information of three professional references to religion@trinity.edu c/o: Dr. Angela Tarango, Search Committee Chair, Department of Religion.
Preference will be given to applications received by October 3, 2022. Selected candidates will be interviewed by the end of November, 2022.
Contact Information
Dr. Angela Tarango, Search Committee Chair, Department of Religion.
religion@trinity.edu
 
",Faculty Positions,Humanities,Religion,,,
37312928,"Full-Time Faculty Position in Fashion Design, School of Graduate Studies",https://jobs.chronicle.com/job/37312928/full-time-faculty-position-in-fashion-design-school-of-graduate-studies/,False,Fashion Institute of Technology,"New York City, New York",Salary and appointment rank will be based on education level and experience.,2022-08-31,"The Fashion Institute of Technology (FIT), an internationally renowned college of art and design, business and technology, of the State University of New York, invites nominations and applications for a full-time tenure-track faculty position in the Fashion Design MFA Department, School of Graduate Studies. The full-time faculty member will teach graduate-level courses focused on design concept ideation, research and creation as well as thesis collection design and development to guide garment construction, fittings, patternmaking, and finishings at an advanced level.
The Fashion Institute of Technology, a part of the State University of New York, has been a leader in career education in art, design, business, and technology for nearly 70 years. With a curriculum that provides a singular blend of hands-on, practical experience, classroom study, and a firm grounding in the liberal arts, FIT offers a wide range of outstanding programs that are relevant to today's rapidly changing industries. Internationally renowned, FIT draws on its New York City location to provide a vibrant, creative community in which to learn. The college offers more than 45 majors and grants AAS, BFA, BS, MA, MFA, and MPS degrees, preparing students for professional success and leadership in the global marketplace.
With close ties to industry, FIT draws faculty from the city's art, business, and design elite, and from the rich academic community of the region. The College continually seeks creative faculty members who are passionate about their field and demonstrate exceptional professional capability in the core competencies of instructional design, learning enrichment, globalism, and use of technology, as well as mastery of established and emerging industry practices.
A vital and growing part of FIT's rich educational mix, the School of Graduate Studies provides advanced professional education in seven disciplines closely tied to the college's mission, promotion in the post-baccalaureate study of business, art, fashion and design. The School is dedicated to advancing research in the creative industries and fostering collaboration and a dialogue that links faculty and students to outstanding professionals and practitioners.

JOB DESCRIPTION:
Established in 2017, FIT's MFA Fashion Design program is based on the FIT campus in close proximity to New York's Garment District. Students enjoy the use of the program's newly-renovated, state-of-the art studios, work rooms and equipment. Students benefit from access to the world-renowned Museum at FIT, its archives and its curatorial staff. Classes and students take advantage of access to New York's museums and cultural offerings. The MFA Fashion Design program curriculum includes one international seminar that allows students to travel and explore fashion design, making and sustainability strategies. Many courses feature a wide array of international guest lecturers who provide experienced fashion industry perspective and critique to students in the program.
Mirroring the progressive direction of the fashion industry and global marketplace, the MFA Fashion Design Department is committed to diversity, inclusiveness and globalism. The program provides advanced academic and technical education and mentoring for fashion design career paths. Courses are developed and taught by academic and industry practitioners, and deliver key skill sets that prepare graduates to pursue careers launching their own brands, working within established brands or teaching in higher education institutions.
The School of Graduate Studies seeks a full-time, tenure-track faculty member in the MFA Fashion Design Department with fashion design creation expertise. The full-time faculty member will be an experienced fashion designer with teaching and professional industry experience. The ideal candidate must demonstrate the ability to teach all first- and second-year courses in the areas of Fashion Creation and Thesis Research and Collection Development in the program curriculum (https://catalog.fitnyc.edu/graduate/academic-programs/master-of-fine-arts/fashiondesign/) as well as advanced garment making skills to guide garment construction, fittings, pattern-making and finishings. The full-time faculty member will bring an informed perspective in the areas of sustainability, diversity, equity, inclusion, cultural appropriation, technology, innovation and other areas impacting the fashion industry.
The department offers a wide variety of courses and it is essential that the candidate have the ability to teach a range of courses in the MFA program, and brings professional experience in the fashion industry to the position. The candidate will have a versatile and creative perspective that includes demonstrated design experience across several markets (including women's and men's) and the ability to work collaboratively with a range of colleagues, students, administrators, industry partners and external stakeholders to achieve program learning outcomes and advance the program's development.
The new full-time faculty member will work with the department chair and contribute to curriculum development, recruitment, and admissions and student success, fashion showcase planning and execution, and external industry outreach to support program planning and development. The candidate will be expected to serve on college-wide, School and department committees as required, and commit to advancing the department in ways that align with the goals of the FIT Strategic Plan.
The successful candidate will have a well-regarded or well-respected  reputation as a creative in the fashion industry with a record of contributions in some or all of the following areas: professional accomplishments, fashion collections and designs, exhibitions, presentations, lectures, press, publication and projects. The ideal candidate will have a network of professional connections and affiliations in the field, including leading fashion creatives and international contacts in fashion brands, retailers and industry leadership organizations.

REQUIREMENTS:
Specific Competencies:
Specific competencies sought as related to the position:
Globalism

Demonstrate creative industry awareness and experience in fashion and practices in the international market and broad global knowledge.
Demonstrate the ability to communicate a broad range of cross-cultural and inclusive values in relation to fashion, personal design practice and the professional fashion community.
Demonstrate ability to work effectively with colleagues from multicultural backgrounds.
Demonstrate knowledge of and engagement with industry colleagues worldwide, through professional work experiences and networks.

Instructional Design

Demonstrate passion for design and supporting designers and the ability to communicate effectively.
Demonstrate ability to guide thesis collection concept development and research as well as the development and construction of the thesis collection garments, including fitting sessions.
Design and deliver fashion course content balancing the importance of creative practice with practical application.
Demonstrate the ability to integrate studio practice fitting sessions and demonstrations with related curricula through various research tools and resources.
Demonstrate commitment to the field of fashion, design and related career paths, inclusive of connections to industry partners and companies and leadership organizations.
Adapt course content to align with changing global industry issues, while respecting local issues and challenges.
Demonstrate fluency in current fashion industry technology and with specialized equipment required in the program studio environment.
Demonstrate a capacity for mentoring and guiding advanced students through an intense and rigorous curriculum.

Learning Enrichment

Demonstrate utilization of a variety of instructional delivery methods, including instructional garment fitting, draping and construction sessions, that foster critical thinking and creative problem solving within the field of fashion design.
Demonstrate a commitment to facilitating fashion and creative industry networks, professional experience, and other real-world opportunities for students.
Demonstrate a passion for learning and an ability to inspire interest, curiosity, and creativity in advanced students.
Demonstrate a commitment to interdisciplinary and experiential learning approaches.
Demonstrate a commitment to advancing the department and its curriculum by participating in the department's regular assessment process and other program initiatives to update program courses and curricula structure.
Demonstrate a commitment to fostering and cultivating constructive and respectful student interaction, collaboration, and creativity in the classroom.
Demonstrate the ability to guide students in developing a fashion design practice in the context of critical thinking, research, problem solving, visual and verbal communication and presentation skills.

Professionalism

Maintain active engagement and currency in creative and/or academic activities relevant to the fashion and design community.
Applies creative, design and industry practices and topics in studio and classroom contexts.
Demonstrate willingness to share professional contacts and opportunities to achieve department and college goals.
Demonstrate willingness to serve as a college representative on matters related to fashion and design, as well as issues related to the department and its mission.
Engage in creative and/or scholarly activities within the fashion, design and artistic disciplines.

Technology

Demonstrate proficiency in technological skills relevant to fashion design and a commitment to innovation and state-of-the-art approaches.
Demonstrate a commitment to building expertise and leading students in the development and currency of fashion design technological skills.
Demonstrate ability to communicate through technology and to adapt delivery of course content and management utilizing campus-wide technology.

Minimum Qualifications:

Candidates must have a fashion-related graduate degree, six plus (6+) years industry experience, [college-level?] teaching experience, and experience working in academic and/or professional settings.

Preferred Qualifications: 

Preference will be given to candidates with a terminal degree, ideally a fashion design MFA degree, with a record of demonstrated creative work in the fashion industry, and teaching experience at the graduate level.

PHYSICAL AND MENTAL REQUIREMENTS

This position will be required to continuously read and comprehend, occasionally perform calculations, constantly verbally communicate, frequently analyze, and constantly write. The working conditions for this position will be any combination of the classroom, lab, and/or office space. Certain roles may be required to handle machinery and chemicals. The physical requirement for this position will require occasional sitting, constant standing, occasional bending, frequent walking, and occasionally lifting 10 lbs. or less.

ADDITIONAL INFORMATION:
This full-time, tenure-track faculty position will begin Fall 2023. Review of applications will commence immediately and continue until the position is filled. The salary and appointment rank will be based on education level and cumulative experience. Please note a background check is required for appointment to this position.
Link to FIT Benefits for Full-Time Faculty
Collective Bargaining Agreement

APPLICATION INSTRUCTIONS:
For consideration, please provide:

Letter of interest clearly indicating your qualifications for the position
Curriculum Vitae
Fashion design portfolio demonstrating range and depth of work
A minimum of three professional references, including names, titles, addresses, phone numbers, and e-mail contact information.

Please note that due to the volume of applications, we will not be able to contact each applicant individually. Additional information about the Fashion Institute of Technology can be found at: www.fitnyc.edu.

Returning Applicants - Login to your FITNYC Careers Account to check your submitted application material.
Pursuant to Executive Order 161, no State entity, as defined by the Executive Order, is permitted to ask, or mandate, in any form, that an applicant for employment provide his or her current compensation, or any prior compensation history, until such time as the applicant is extended a conditional offer of employment with compensation. If such information has been requested from you before such time, please contact the Governor's Office of Employee Relations at (518) 474-6988 or via email at info@goer.ny.gov.
FIT is firmly committed to creating an environment that will attract and retain people of diverse racial and cultural backgrounds. By providing a learning and working environment that encourages, utilizes, respects, and appreciates the full expression of every individual's ability, the FIT community fosters its mission and grows because of its rich, pluralistic experience. FIT is committed to prohibiting discrimination, whether based on race, color, national origin, sex, gender, gender identity, religion, ethnic background, age, disability, marital status, sexual orientation, military service status, genetic information, pregnancy, familial status, citizenship status (except as required to comply with law), or any other criterion prohibited by applicable federal, state, or local laws. FIT is committed to providing equal opportunity in employment, including the opportunity for upward mobility for all qualified individuals. Applications from minorities, women, veterans, and persons with disabilities are encouraged. Inquiries regarding FIT's non-discrimination policies may be directed to the Affirmative Action Officer/Title IX Coordinator, 212 217.3360, titleix@fitnyc.edu.
The College reserves the right to select one or more candidates after having been duly reviewed and presented to the President in conformance with the provisions of Article 15 of the Collective Bargaining Agreement.
",Faculty Positions,Arts,Other Arts,Professional Fields,Other Professional Fields,
37312935,"Full-Time Faculty Position in Fashion Business Mgmt- Retail Math, School of Business and Technology",https://jobs.chronicle.com/job/37312935/full-time-faculty-position-in-fashion-business-mgmt-retail-math-school-of-business-and-technology/,False,Fashion Institute of Technology,"New York City, New York",Salary and appointment rank will be based on education level and experience.,2022-08-31,"The Fashion Institute of Technology (FIT), an internationally renowned college of art and design, business and technology, of the State University of New York, invites nominations and applications for a full-time tenure-track faculty position in the Fashion Business Management Department of the Jay and Patty Baker School of Business and Technology.
The Fashion Institute of Technology, a part of the State University of New York, has been a leader in career education in art, design, business, and technology for over 70 years. With a curriculum that provides a singular blend of hands-on, practical experience, classroom study, and a firm grounding in the liberal arts, FIT offers a wide range of outstanding programs that are relevant to today's rapidly changing industries. Internationally renowned, FIT draws on its New York City location to provide a vibrant, creative community in which to learn. The college offers more than 45 majors and grants AAS, BFA, BS, MA, MFA, and MPS degrees, preparing students for professional success and leadership in the global marketplace.
With close ties to industry, FIT draws faculty from the city's art, business, and design elite, and from the rich academic community of the region. The college continually seeks creative faculty members who are passionate about their field and demonstrate exceptional professional capability in the core competencies of instruction design, learning enrichment, globalism, and use of technology, as well as mastery of established and emerging industry practices.
The Jay and Patty Baker School of Business and Technology educates students for management and leadership roles within the fashion and related creative industries. Our curriculum integrates a deep appreciation of how markets, business environments, advanced business technology and competition can be managed in a global context.  The Baker School provides a professional faculty and business climate that enables students to be immediately valuable contributors to their industries.
The Baker School of Business and Technology collaborates with the School of Art and Design, and the School of Liberal Arts and Sciences, whose courses help students to better understand themselves, others, and their place in an increasingly complex world. The Baker School creates curricular and educational experiences that help hone general skills and behaviors that employers increasingly demand: critical thinking and problem solving skills, a strong sense of professional and ethical responsibility, social skills, the ability to work productively in teams, and good oral and written communications skills.
The vision of the School is to be the most academically recognized school of excellence where students come to learn about the business of the core industries that we serve-the creative, fashion and design industries-and where industry, government and associations see creative alliances for the development of ideas, solution innovation, future thinking, and problem solving.
Seven of the ten Jay and Patty Baker School of Business and Technology undergraduate programs are accredited by the Accreditation Council for Business Schools and Programs (ACBSP).
The Fashion Business Management (FBM) department prepares students for professional excellence in the global business of fashion merchandising, sales, marketing, product development, retail, business analytics, and retail and wholesale management.  The Fashion Business Management program is enhanced by its extensive network of resources in New York City, strengthening the program's experiential learning focus.  Students are taught by professionals who have all served in various key positions in the fashion industry, affording students the opportunity to learn from  major global fashion companies. 
The Fashion Business Management program is accredited by the Accreditation Council for Business Schools and Programs (ACBSP).

JOB DESCRIPTION:
The School of Business and Technology seeks a full-time faculty member in Fashion Business Management. The successful candidate will have strong business, quantitative and analytical skills with the ability to teach courses in fashion business practices, retail math, planning, fashion business digital technology and data analytics.
Successful candidates are motivated professionals with proven leadership in the fashion industry; hold a master's degree or will be in the process of obtaining a master's degree in a related field to the fashion industry with 7+ years of professional experience. Successful candidates will demonstrate interest in academic scholarship and a desire to participate in department and college-wide committee work, and, most importantly, display a passion for teaching and mentoring students interested in the discipline, and cultivating and fostering partnerships within the global fashion industry. The preferred candidate will have college-level experience in teaching and/ or corporate training, international/ global experience, strong advanced technology skills with the ability to develop and deliver innovative and engaging curriculum.
Superior oral and written communication skills and computer literacy in business and classroom applications required.

REQUIREMENTS:
Specific Competencies:
Successful candidates will excel in the following areas:
Globalism

Demonstrate an awareness of global issues and understanding of international connections and the impact on fashion business management and the fashion industry.
Demonstrate industry experience with sustainable merchandising concept development and practices.
Demonstrate the ability to share knowledge about current global fashion industry practices and future projections as related to the business of fashion business management.
Demonstrate the ability to work collaboratively, locally, and globally with colleagues regardless of location or background.
Demonstrate awareness and sensitivity to all racial, ethnic, religious, and social groups, as well as gender identities, and incorporate this understanding into teaching-learning experiences.

Instructional Design

Create and deliver coursework that links learning objectives across disciplines and reflects how work is performed in the fashion industry.
Balance both theory and practical application of knowledge, to include building skills that are necessary to be successful in the fashion industry or related professions.
Create experiences that require collaborative exercises, real work problem-solving, and a skills-based approach to learning.
Utilize varying pedagogy in order to accommodate students of different learning styles, abilities, demographics, or diversity.
Maintain connections to the fashion industry that allow integration of professional practices with classroom learning.

Learning Enrichment

Demonstrate the ability to inspire interest, curiosity, creativity, and love of learning in students.
Demonstrate the use of various instructional delivery methods that foster critical thinking and creative problem-solving.
Demonstrate the capacity to incorporate interdisciplinary learning into the Fashion Business Management curriculum.
Possess the vision to advance the department's revitalization of its AAS, BS, and international programs.
Demonstrate responsiveness to industry changes and practices including technology and sustainability, with the ability to incorporate those changes into a progressive curriculum.

Professionalism

Demonstrate active participation in the fashion industry with knowledge of fashion business concepts including buying, planning, marketing, team building, multi-channel merchandising, supply chain management, licensing/branding, and product development.
Engage in industry-related and scholarly research projects which can inform and enhance the discipline.
Demonstrate willingness to share industry contacts and opportunities to help achieve department and college initiatives.
Demonstrate the ability to speak effectively on behalf of the department and/or college with industry supporters.
Create and maintain a network of alumni and industry experts who can be called upon as resources for course and curriculum development, guest speakers, internships, and placement opportunities for students.
Maintain positive, helpful, supportive, respectful, collegial, and teamwork-oriented relationships with other faculty and professionals throughout the college.

Technology

Demonstrate proficiency of Microsoft Office Suite including Excel, Word, and PowerPoint, and other related technologies.
Possess industry-specific technological skills relating to software programs including but not limited to buying and planning software, First Insight, and data analytics technology.
Demonstrate commitment to maintaining currency in technological skills and knowledge.
Demonstrate ability to communicate through technology and utilization of the college course management system and campus portal.

Minimum Qualifications:

Candidates must have a MBA or Master's degree in a field related to the fashion industry or in the process of obtaining a master's degree in a field related.
Seven years of professional experience in the fashion industry.
Excellent oral and written communication skills.
Strong proficiency in Microsoft Office Suite specifically Microsoft Excel. 

Preferred Qualifications:

College-level teaching or instruction experience.
Global expertise in the fashion industries; quantitative and analytical skills, retail math, planning, fashion business digital technology and data analytics.

PHYSICAL AND MENTAL REQUIREMENTS
This position will be required to constantly read and comprehend, occasionally perform calculations, constantly verbally communicate, frequently analyze, and constantly write. The working conditions for this position will be any combination of the classroom, lab, and/or office space. Certain roles may be required to handle machinery and chemicals. The physical requirement for this position will require occasional sitting, constant standing, occasional bending, frequent walking, and occasionally lifting 10 lbs. or less.

ADDITIONAL INFORMATION:
This faculty position will begin Fall 2023. Review of applications will commence August 2022, and continue until the position is filled. The salary and appointment rank will be based on education level and cumulative experience. Please note a background check is required for appointment to this position. 
Link to FIT Benefits for Full-Time Faculty
Collective Bargaining Agreement

APPLICATION INSTRUCTIONS:
For consideration, please provide:

Letter of interest clearly indicating your qualifications for the position
Curriculum Vitae
Teaching Philosophy Statement
A minimum of three professional references, including names, titles, addresses, phone numbers, and e-mail contact information.

Please note that due to the volume of applications, we will not be able to contact each applicant individually. Additional information about the Fashion Institute of Technology can be found at: www.fitnyc.edu.

Returning Applicants - Login to your FITNYC Careers Account to check your submitted application material.
Pursuant to Executive Order 161, no State entity, as defined by the Executive Order, is permitted to ask, or mandate, in any form, that an applicant for employment provide his or her current compensation, or any prior compensation history, until such time as the applicant is extended a conditional offer of employment with compensation. If such information has been requested from you before such time, please contact the Governor's Office of Employee Relations at (518) 474-6988 or via email at info@goer.ny.gov.
FIT is firmly committed to creating an environment that will attract and retain people of diverse racial and cultural backgrounds. By providing a learning and working environment that encourages, utilizes, respects, and appreciates the full expression of every individual's ability, the FIT community fosters its mission and grows because of its rich, pluralistic experience. FIT is committed to prohibiting discrimination, whether based on race, color, national origin, sex, gender, gender identity, religion, ethnic background, age, disability, marital status, sexual orientation, military service status, genetic information, pregnancy, familial status, citizenship status (except as required to comply with law), or any other criterion prohibited by applicable federal, state, or local laws. FIT is committed to providing equal opportunity in employment, including the opportunity for upward mobility for all qualified individuals. Applications from minorities, women, veterans, and persons with disabilities are encouraged. Inquiries regarding FIT's non-discrimination policies may be directed to the Affirmative Action Officer/Title IX Coordinator, 212 217.3360, titleix@fitnyc.edu.
The College reserves the right to select one or more candidates after having been duly reviewed and presented to the President in conformance with the provisions of Article 15 of the Collective Bargaining Agreement.
",Faculty Positions,Business & Management,Professional Fields,Other Professional Fields,,
37312936,"Full-Time Faculty Position in Fashion Business Management, School of Business and Technology",https://jobs.chronicle.com/job/37312936/full-time-faculty-position-in-fashion-business-management-school-of-business-and-technology/,False,Fashion Institute of Technology,"New York City, New York",Salary and appointment rank will be based on education level and experience.,2022-08-31,"The Fashion Institute of Technology (FIT), an internationally renowned college of art and design, business and technology, of the State University of New York, invites nominations and applications for a full-time tenure-track faculty position in the Fashion Business Management Department of the Jay and Patty Baker School of Business and Technology.
The Fashion Institute of Technology, a part of the State University of New York, has been a leader in career education in art, design, business, and technology for over 70 years. With a curriculum that provides a singular blend of hands-on, practical experience, classroom study, and a firm grounding in the liberal arts, FIT offers a wide range of outstanding programs that are relevant to today's rapidly changing industries. Internationally renowned, FIT draws on its New York City location to provide a vibrant, creative community in which to learn. The college offers more than 45 majors and grants AAS, BFA, BS, MA, MFA, and MPS degrees, preparing students for professional success and leadership in the global marketplace.
With close ties to industry, FIT draws faculty from the city's art, business, and design elite, and from the rich academic community of the region. The college continually seeks creative faculty members who are passionate about their field and demonstrate exceptional professional capability in the core competencies of instruction design, learning enrichment, globalism, and use of technology, as well as mastery of established and emerging industry practices.
The Jay and Patty Baker School of Business and Technology educates students for management and leadership roles within the fashion and related creative industries. Our curriculum integrates a deep appreciation of how markets, business environments, advanced business technology and competition can be managed in a global context.  The Baker School provides a professional faculty and business climate that enables students to be immediately valuable contributors to their industries.
The Baker School of Business and Technology collaborates with the School of Art and Design, and the School of Liberal Arts and Sciences, whose courses help students to better understand themselves, others, and their place in an increasingly complex world. The Baker School creates curricular and educational experiences that help hone general skills and behaviors that employers increasingly demand: critical thinking and problem solving skills, a strong sense of professional and ethical responsibility, social skills, the ability to work productively in teams, and good oral and written communications skills.
The vision of the School is to be the most academically recognized school of excellence where students come to learn about the business of the core industries that we serve-the creative, fashion and design industries-and where industry, government and associations see creative alliances for the development of ideas, solution innovation, future thinking, and problem solving.
Seven of the ten Jay and Patty Baker School of Business and Technology undergraduate programs are accredited by the Accreditation Council for Business Schools and Programs (ACBSP).
The Fashion Business Management (FBM) department prepares students for professional excellence in the global business of fashion merchandising, sales, marketing, product development, retail, business analytics, and retail and wholesale management.  The Fashion Business Management program is enhanced by its extensive network of resources in New York City, strengthening the program's experiential learning focus.  Students are taught by professionals who have all served in various key positions in the fashion industry, affording students the opportunity to learn from  major global fashion companies. 
The Fashion Business Management program is accredited by the Accreditation Council for Business Schools and Programs (ACBSP).

JOB DESCRIPTION:
The School of Business and Technology seeks a full-time faculty member in Fashion Business Management. The successful candidate will be a motivated professional with proven leadership in the fashion industry.  The candidate will hold a master's degree or is in the process of obtaining a master's degree in a related field to the fashion industry with 7+ years of professional experience. The candidate will have strong business and analytical skills with the ability to teach courses in fashion business practices, business intelligence in merchandising, innovations in product development, fashion business digital technology, and retail strategies.
Successful candidates will demonstrate interest in academic scholarship and a desire to participate in department and college-wide committee work, and, most importantly, display a passion for teaching and mentoring students interested in the discipline, and cultivating and fostering partnerships within the global fashion industry. The preferred candidate will have college-level experience in teaching and/ or corporate training, international/ global experience with the ability to develop and deliver innovative and engaging curriculum.
Superior oral and written communication skills and computer literacy in business and classroom applications required.

REQUIREMENTS:
Specific Competencies:
Successful candidates will excel in the following areas:
Globalism

Demonstrate an awareness of global issues and understanding of international connections and the impact on fashion business management and the fashion industry.
Demonstrate industry experience with sustainable merchandising concept development and practices.
Demonstrate the ability to share knowledge about current global fashion industry practices and future projections as related to the business of fashion business management.
Demonstrate the ability to work collaboratively, locally, and globally with colleagues regardless of location or background.
Demonstrate awareness and sensitivity to all racial, ethnic, religious, and social groups, as well as gender identities, and incorporate this understanding into teaching-learning experiences.

Instructional Design

Create and deliver coursework that links learning objectives across disciplines and reflects how work is performed in the fashion industry.
Balance both theory and practical application of knowledge, to include building skills that are necessary to be successful in the fashion industry or related professions.
Create experiences that require collaborative exercises, real work problem-solving, and a skills-based approach to learning.
Utilize varying pedagogy in order to accommodate students of different learning styles, abilities, demographics, or diversity.
Maintain connections to the fashion industry that allow integration of professional practices with classroom learning.

Learning Enrichment

Demonstrate the ability to inspire interest, curiosity, creativity, and love of learning in students.
Demonstrate the use of various instructional delivery methods that foster critical thinking and creative problem-solving.
Demonstrate the capacity to incorporate interdisciplinary learning into the Fashion Business Management curriculum.
Possess the vision to advance the department's revitalization of its AAS, BS, and international programs.
Demonstrate responsiveness to industry changes and practices including technology and sustainability, with the ability to incorporate those changes into a progressive curriculum.

Professionalism

Demonstrate active participation in the fashion industry with knowledge of fashion business concepts including buying, planning, marketing, team building, multi-channel merchandising, supply chain management, licensing/branding, and product development.
Engage in industry-related and scholarly research projects which can inform and enhance the discipline.
Demonstrate willingness to share industry contacts and opportunities to help achieve department and college initiatives.
Demonstrate the ability to speak effectively on behalf of the department and/or college with industry supporters.
Create and maintain a network of alumni and industry experts who can be called upon as resources for course and curriculum development, guest speakers, internships, and placement opportunities for students.
Maintain positive, helpful, supportive, respectful, collegial, and teamwork-oriented relationships with other faculty and professionals throughout the college.

Technology

Demonstrate proficiency of Microsoft Office Suite including Excel, Word, and PowerPoint, and other related technologies.
Possess industry-specific technological skills relating to software programs including but not limited to Adobe Creative Suite, buying and planning software (JDA preferred), and Gerber Web PDM, First Insight, and data analytics technology.
Demonstrate commitment to maintaining currency in technological skills and knowledge.
Demonstrate ability to communicate through technology and utilization of the college course management system and campus portal.

Minimum Qualifications:

Candidates must have a MBA or Master's degree in a field related to the fashion industry or in the process of obtaining a master's degree in a field related.
Seven years of professional experience in the fashion industry.
Excellent oral and written communication skills.

Preferred Qualifications:

College-level teaching or instruction experience.
Global expertise in the fashion industries; brand management, merchandising, marketing.

PHYSICAL AND MENTAL REQUIREMENTS
This position will be required to constantly read and comprehend, occasionally perform calculations, constantly verbally communicate, frequently analyze, and constantly write. The working conditions for this position will be any combination of the classroom, lab, and/or office space. Certain roles may be required to handle machinery and chemicals. The physical requirement for this position will require occasional sitting, constant standing, occasional bending, frequent walking, and occasionally lifting 10 lbs. or less.

ADDITIONAL INFORMATION:
This faculty position will begin Fall 2023. Review of applications will commence August 2022, and continue until the position is filled. The salary and appointment rank will be based on education level and cumulative experience. Please note a background check is required for appointment to this position. 
Link to FIT Benefits for Full-Time Faculty
Collective Bargaining Agreement

APPLICATION INSTRUCTIONS:
For consideration, please provide:

Letter of interest clearly indicating your qualifications for the position
Curriculum Vitae
Teaching Philosophy Statement
A minimum of three professional references, including names, titles, addresses, phone numbers, and e-mail contact information.

Please note that due to the volume of applications, we will not be able to contact each applicant individually. Additional information about the Fashion Institute of Technology can be found at: www.fitnyc.edu.

Returning Applicants - Login to your FITNYC Careers Account to check your submitted application material.
Pursuant to Executive Order 161, no State entity, as defined by the Executive Order, is permitted to ask, or mandate, in any form, that an applicant for employment provide his or her current compensation, or any prior compensation history, until such time as the applicant is extended a conditional offer of employment with compensation. If such information has been requested from you before such time, please contact the Governor's Office of Employee Relations at (518) 474-6988 or via email at info@goer.ny.gov.
FIT is firmly committed to creating an environment that will attract and retain people of diverse racial and cultural backgrounds. By providing a learning and working environment that encourages, utilizes, respects, and appreciates the full expression of every individual's ability, the FIT community fosters its mission and grows because of its rich, pluralistic experience. FIT is committed to prohibiting discrimination, whether based on race, color, national origin, sex, gender, gender identity, religion, ethnic background, age, disability, marital status, sexual orientation, military service status, genetic information, pregnancy, familial status, citizenship status (except as required to comply with law), or any other criterion prohibited by applicable federal, state, or local laws. FIT is committed to providing equal opportunity in employment, including the opportunity for upward mobility for all qualified individuals. Applications from minorities, women, veterans, and persons with disabilities are encouraged. Inquiries regarding FIT's non-discrimination policies may be directed to the Affirmative Action Officer/Title IX Coordinator, 212 217.3360, titleix@fitnyc.edu.
The College reserves the right to select one or more candidates after having been duly reviewed and presented to the President in conformance with the provisions of Article 15 of the Collective Bargaining Agreement.
",Faculty Positions,Business & Management,Professional Fields,Other Professional Fields,,
