Job ID,Job Title,Job URL,Diversity Job,Employer,Location,Salary,Date Posted,Description,Position Type 0.0,Position Type 0.1,Position Type 0.2,Position Type 0.3,Position Type 0.4,Position Type 0.5,Position Type 0.6,Position Type 0.7,Position Type 0.8,Position Type 0.9,Position Type 1.0,Position Type 1.1,Position Type 1.2,Position Type 1.3,Position Type 1.4,Position Type 1.5,Position Type 1.6,Position Type 1.7,Position Type 1.8,Position Type 1.9,Position Type 2.0,Position Type 2.1,Position Type 2.2,Position Type 2.3,Position Type 2.4,Position Type 2.5
37326016,"Assistant Professor, Biological Sciences",https://jobs.chronicle.com/job/37326016/assistant-professor-biological-sciences/,False,State University of New York College at Plattsburgh,"Plattsburgh, New York",Please see job posting at https://jobs.plattsburgh.edu/postings/12943,2022-09-21,"About Our College: Situated in one of the world’s most beautiful regions – SUNY Plattsburgh’s main campus is on Lake Champlain between the Adirondack Mountains of New York and Green Mountains of Vermont. SUNY Plattsburgh is a vibrant, public, comprehensive college, and member of the State University of New York’s (SUNY) comprehensive system of higher education committed to student-centered academic excellence. While the college enrolls more than 5,200 students in 70+ baccalaureate, certificate, and master’s programs, an average class size of 22 students allows the individual attention necessary to ensure that its graduates are educated to succeed in an increasingly complex, multicultural and interdependent world.
About The Position: The School of Arts & Sciences provides excellence in learning opportunities for all students at SUNY Plattsburgh through a core liberal arts education. We train students who can think critically, have mastered their discipline, can communicate effectively and are broadly educated. The Biological Sciences Department offers five majors and three minors, giving students multiple opportunities to thrive in the areas that interest them. The successful candidate will be a broadly trained organismal biologist with specialization and individual interests that could span from local to global scales and across levels of biological organization. The duties of this tenure-track position are expected to include teaching a variety of courses within the department, developing a meaningful research program with undergraduates that leads to peer-reviewed publications and presentations, as well as service to the department, university and community, including the academic advisement of a diverse student body.
As SUNY Plattsburgh is an institution that delivers challenging and high-quality educational experiences to a diverse group of learners, the successful candidate must demonstrate an understanding of and sensitivity to diversity, inclusion, and equity-minded policies, programs, and practices. The successful candidate may be asked to teach courses in a distance learning format.
SUNY College at Plattsburgh is a fully compliant employer committed to excellence through diversity.
To learn more about this position and to apply, please visit https://jobs.plattsburgh.edu/postings/12943
",Faculty Positions,Science,Technology & Mathematics,Biology & Life Sciences,,,,,,,,,,,,,,,,,,,,,,
37325310,Tenure Track Faculty - Black Studies (Sociology),https://jobs.chronicle.com/job/37325310/tenure-track-faculty-black-studies-sociology-/,False,"California State University, Sacramento","California, United States",Salary Not specified,2022-09-21,"

Tenure Track Faculty - Black Studies (Sociology)

Job No: 518911
Work Type: Instructional Faculty -
Tenured/Tenure-Track
Location: Sacramento
Categories: Unit 3 - CFA - California Faculty Association,
Faculty - Social Sciences, Tenured/Tenure-Track, Full Time


COLLEGE: College of Social Sciences &
Interdisciplinary Studies

DEPARTMENT: Sociology

POSITION TITLE: Tenure-track Faculty - Black
Studies (Sociology)

DEPARTMENT SUMMARY:

The Sociology Department at Sacramento State is one of the largest
departments at the University with approximately 15 tenure-track
faculty and 22 lecturers who serve over 900 undergraduate majors
and more than 30 graduate students. Our faculty specialize in a
broad range of sociological topics with an intersectional, a
global, and a social justice focus. The faculty prioritize teaching
while also engaging in scholarship and service. Our undergraduate
program provides students a well-rounded education in sociology and
strong preparation for those who seek advanced study in sociology.
Our graduate program provides theoretical and methodological skills
that prepare students for PhD programs or professions that value
research and critical analytical skills.

Sacramento State highly values diversity, equity, and inclusion
(DEI). Over the years, Sacramento State staff and faculty have
formed Employee Affinity Groups (EAG) to help connect individuals
from historically marginalized or underrepresented groups (https://www.csus.edu/division-inclusive-excellence/employee-affinity-groups/about.html).
As a university with an Antiracism and Inclusive Mission and Campus
Plan, Sacramento State engages in impactful dialogue and events
regarding frameworks and processes to prevent racism, exclusion,
and bias (https://www.csus.edu/diversity-inclusion/antiracism-inclusive-campus-plan.html).
Aligned with Sacramento State, the Sociology Department is
particularly interested in receiving applications from qualified
people committed to a praxis characterized by the demonstrated
ability to work with a diverse student population and advance the
University's DEI goals, as well as the Department's intersectional
and social justice efforts; the Sociology Department also has
strong collaborative relationships with other campus
departments.

The Sociology Department is housed in the College of Social
Sciences and Interdisciplinary Studies, consisting of 11 academic
departments, four independent and interdisciplinary academic
programs, and several centers and institutes. The College is a
congenial and cohesive unit both academically and
administratively.

POSITION DETAILS:

This is a full-time tenure-track position at the Assistant
Professor rank beginning Fall 2023. Salary and rank are dependent
upon qualifications and professional experience.

JOB DUTIES:
Teaching courses in the curriculum and proposing courses
relevant to Black Studies, particularly courses that reflect the
experiences of Black students and community populations at
Sacramento State and in the region.
Teaching and developing undergraduate/graduate core courses
(https://catalog.csus.edu/colleges/social-sciences-interdisciplinary-studies/sociology/#coursestext);
Advising undergraduate and graduate students on the major,
degree, general education, and graduation;
Engaging in creative and scholarly activities, such as
professional forums, conference presentations, publications,
applied research, and grant writing;
Supervising undergraduate and graduate student research and/or
internships courses (e.g., SOC 195, SOC 199, SOC 295, SOC
299);
Addressing the needs of diverse student populations through
development of highly effective course materials, teaching
strategies, and recruitment;
Providing service to the campus, department, and the community,
such as serving on university and department committees or
consulting with non-profit organizations; and
Mentoring historically underrepresented and underserved
students.

REQUIRED QUALIFICATIONS:
Must have a PhD. A PhD in Sociology is preferred, but the
Department will consider PhDs in closely related fields. ABD
applicants will be considered. If ABD, degree must be completed by
January 2024.
Ability to teach and develop classes that focus on historical
and structural oppressions specific to Black
American/Black-identified communities in the United States, with an
emphasis on law and legal remedies, social movements, the physical
and mental health impacts of racism, and/or the social issues which
impact neighborhoods and communities.
Evidence of culturally competent and responsive teaching,
scholarly activities, and/or service that responds to student
struggles or concerns from a social justice and intersectional
perspective.
Demonstrated ability to teach, or interest/passion in teaching,
existing courses, such as Black Studies in Sociology, Criminology,
Urban Life and Problems, and Social Movements (see other existing
courses at 
https://catalog.csus.edu/colleges/social-sciences-interdisciplinary-studies/sociology/ba-in-sociology/).
Demonstrated ability to teach, or interest/passion in teaching,
one or more required core courses for the major, such as
Sociological Theory, Research Methods, and Statistics.

PREFERRED QUALIFICATIONS:
Prior experiences teaching in higher education.
Experience teaching, advising, and working with students from
historically underrepresented backgrounds and with diverse life
experiences.
Scholarship and/or service with an emphasis on Black
Communities who also specialize in Critical Criminology (additional
areas of expertise might include Social Issues, Public Health,
and/or Black Mobilizations).
Experience communicating effectively with ethnically and
culturally diverse communities and integrating diversity/equity
issues into curriculum.
Innovative teaching and ability to enhance instruction and
student success through use of inclusive pedagogical
strategies.
Experience working in and/or with Black
American/Black-identified communities in the United States.

APPLICANT INSTRUCTIONS:

Review of applications will begin on October 17, 2022; position
open until filled.

Applications are only accepted through the Sacramento State jobs
website located at https://careers.csus.edu/.

Applicants must submit the following materials (Only ONE (1) file
can be upload for each of the below):

1) A letter of application including teaching and advising
experiences and scholarly interests;

2) Unofficial graduate transcripts;

3) A current curriculum vitae;

4) A diversity statement that demonstrates experiences working
with, teaching, and/or serving historically underrepresented,
first-generation college students, and reflects the candidate's
commitment and willingness to engage in activities that advance
CSUS's DEI goals, as well as our department's intersectional and
social justice focus.

5) Evidence of teaching effectiveness such as course syllabi,
teaching evaluations, etc.; if possible, include your syllabi of
Black Studies-related courses (and/or syllabi of courses/required
core courses taught in our department).

6) Names and contact information of three references.

Additional materials may be requested at a later date.

About Sacramento State

Sacramento State is located in
the heart of California's capital city, five miles from State
Capitol. The lush, 300-acre campus is situated along the American
River, close to numerous bike trails and other recreational areas.
Sacramento, also known as the “Farm-to-Fork Capital,” is one of the
most ethnically diverse and livable cities in the country, with a
population of half of a million. Sacramento State's 31,000 students
come not only from the Greater Sacramento Region, but also from
across the state, country, and world. Our 1,800 faculty and 1,500
staff are committed to meeting our mission: “As California's
capital university, we transform lives by preparing students for
leadership, service, and success. Sacramento State will be a
recognized leader in education, innovation, and engagement.” As the
regional hub of higher education, Sacramento State is dedicated to
student
success, diversity, equity and
inclusion, community
engagement, philanthropy,
and campus
safety.

As evidenced by the values embedded in our 
Hornet Honor Code, Sacramento State is committed to creating an
inclusive environment where all faculty, staff, students, and
guests are welcome and valued. Our commitment is more than simply
ensuring that our campus is free from bias and discrimination, but
is one devoted to celebrating many diverse identities, life
experiences, and perspectives that enrich our community, teaching
and learning.

To learn more about why you should join the Hornet Family, please
visit the 
Why Sac State? page.

Equal Employment Opportunity
California State University, Sacramento is an Affirmative
Action/Equal Opportunity Employer and has a strong institutional
commitment to the principle of diversity in all areas. We consider
qualified applicants for employment without regard to race, color,
religion, national origin, age, sex, gender identity/expression,
sexual orientation, pregnancy, genetic information, medical
condition, marital status, veteran status, or disability.
Sacramento State hires only those individuals who are lawfully
authorized to accept employment in the United States.

It is the policy of California State University, Sacramento to
provide reasonable accommodations for qualified persons with
disabilities who are employees or applicants for employment. If you
need a disability related reasonable accommodation as part of the
application and/or interviewing process, visit 
https://www.csus.edu/administration-business-affairs/internal/your-hr/benefits/reasonable-accomodation.html.

The University is committed to creating an education and working
environment free from discrimination, sexual harassment, sexual
violence, domestic violence, dating violence, and stalking. For
more information on mandatory training for new employees, visit

https://www.csus.edu/compliance/hr-compliance/mandatory-dhr-training.html
.

Jeanne Clery Disclosure of Campus Security Policy and Crime
Statistics Act and Campus Fire Safety Right-To-know Act
Notification:

Pursuant to the Jeanne Clery Disclosure of Campus Security Policy
and Campus Crime Statistics Act, the current Annual Security Report
(ASR) is available for viewing at https://www.csus.edu/clery .
The ASR contains the current security and safety-related policy
statements, emergency preparedness and evacuation information,
crime prevention and sexual assault prevention information, and
drug and alcohol prevention programming. The ASR also contains
statistics of Clery Act crimes for Sacramento State for the last
three (3) calendar years. Paper copies are available upon request
at the Police Service Center located in the University Union.

Background Check Disclaimer
A background check (including a criminal records check) must be
completed satisfactorily before any candidate can be offered a
position with California State University, Sacramento. Failure to
satisfactorily complete the background check may affect the
application status of applicants or continued employment of current
California State University, Sacramento employees who apply for the
position.

COVID-19 Vaccine Certification Information:

CSU requires faculty, staff, and students who are accessing campus
facilities to be immunized against COVID-19 or declare a medical or
religious exemption from doing so. Any candidates advanced in a
currently open search process should be prepared to comply with
this requirement. The systemwide policy can be found at https://calstate.policystat.com/policy/9779821/latest/.

Out of State Employment

Per CSU-wide policy (HR2021-04), all faculty who will begin initial
employment (or return from a 12-month break in service) on or after
January 1, 2022 are required to perform their work from within the
State of California. Faculty hired prior to January 1, 2022 must be
available to perform work in the State of California if their
assignment is in-person.

Eligibility Verification
Candidate will be required to provide official transcripts of their
highest degree earned and must furnish proof of eligibility to work
in the U.S.. California State University, Sacramento is a
sponsoring agency ( ie. H-1-B Visa).


Advertised: September 19, 2022 (9:00 AM)
Applications Closes: Open Until Filled

To apply, visit https://careers.csus.edu/en-us/job/518911/tenure-track-faculty-black-studies-sociology


jeid-c3faa9f070c14e48b50043adff298dd0",Faculty Positions,Business & Management,Accounting & Finance,,,,,,,,,,,,,,,,,,,,,,,
37325377,Assistant Professor of Developmental Psychology,https://jobs.chronicle.com/job/37325377/assistant-professor-of-developmental-psychology/,False,University of Oregon,"Oregon, United States",Salary Not specified,2022-09-21,"

Assistant Professor of Developmental Psychology



To apply, visit https://careers.uoregon.edu/en-us/job/527561/assistant-professor-of-developmental-psychology



jeid-66e4396f122ce846948158037bfc9ee1",Faculty Positions,Social & Behavioral Sciences,Psychology,,,,,,,,,,,,,,,,,,,,,,,
37325378,Assistant Professor of Chemistry,https://jobs.chronicle.com/job/37325378/assistant-professor-of-chemistry/,False,University of Oregon,"Oregon, United States",Salary Not specified,2022-09-21,"

Assistant Professor of Chemistry & Biochemistry



To apply, visit https://careers.uoregon.edu/en-us/job/527630/assistant-professor-of-chemistry-biochemistry



jeid-33e0e50b98f63a4ab254fb61ca976426",Faculty Positions,Science,Technology & Mathematics,Chemistry & Biochemistry,,,,,,,,,,,,,,,,,,,,,,
37325387,Research Associate OR Postdoctoral Scholar,https://jobs.chronicle.com/job/37325387/research-associate-or-postdoctoral-scholar/,False,University of Oregon,"Oregon, United States",Salary Not specified,2022-09-21,"

Research Associate OR Postdoctoral Scholar

Job no: 528176
Work type: Faculty - Career
Location: Eugene, OR
Categories: Biology/Life Sciences,
Research/Scientific/Grants

Department: Institute of Molecular Biology
Rank: Research Associate
Annual Basis: 12 Month

Review of Applications Begins
Immediately; position open until filled.

Special Instructions to Applicants
Please submit a cover letter describing your qualifications for the
position, CV, and a contact list for three professional references.
You may be asked for letters of reference later in the review
process.

Department Summary
The Institute of Molecular Biology (IMB) is a research institute
that reports to the Vice President for Research and Innovation. We
have 18 labs and approximately 150 employees, including 45 graduate
students who train in our labs. We have an administrative
structure, which includes accounting, purchasing, personnel, PI
support, building management, and three service centers. Our annual
budget is about $9.5 million, primarily from federal research and
training grants.

Position Summary
This IMB seeks to hire a Research Associate (RA) or Postdoctoral
Scholar to accomplish research goals that define the mechanisms
controlling cell signaling in immune cells. The researcher will use
a combination of biochemistry, cell biology, and genetics to
decipher how biochemical reactions are orchestrated at the plasma
membrane. Emphasis will be placed on investigating how the
localization and activity of lipid modifying enzymes are regulated.
For more information about our lab research interests, please visit
the Hansen lab webpage: https://blogs.uoregon.edu/hansenlab/.

This position will independently plan and conduct experiments to
accomplish research objectives that are part of both NIH and NSF
funded grants. The researcher will have an opportunity to develop
new and independent research projects that leverage our expertise
in membrane biophysics and cell biology. Approaches commonly used
in the Hansen lab include (but are not limited to) DNA cloning,
protein engineering, recombinant protein purification, chemical
labeling, biochemical reconstitution, supported membrane
technology, nanofabrication, single molecule TIRF microscopy,
CRISPR interference, CRISPR/Cas9 genome editing, mathematical
modeling, image analysis, and computer coding in
MATLAB/Python.

Scientists that are broadly curious about mechanisms of cell
signaling are ideal for this position. Applicants should be
punctual, organized, diligent, and capable of working
independently. Your ability to work well with others, receive
constructive criticism, and communicate is paramount. Successful
candidates will have a published record of their research
accomplishments.

Minimum Requirements
Ph.D. in Biology, Chemistry, Biochemistry, Molecular Biology, or
related field.

Preferred Qualifications
Experience using CRISPR/Cas9 genome editing technology in plants,
bacteria, yeast, or mammalian cells.
Experience working in a lab that performs biochemistry,
microbiology, molecular biology, protein engineering, genome
manipulation, and/or cell biology.
Proficient using computer programs such as Microsoft Word,
Microsoft Excel, Illustrator, Photoshop, ImageJ, MATLAB, or
Python

The University of Oregon is proud to offer a robust benefits
package to eligible employees, including health insurance,
retirement plans and paid time off. For more information about
benefits, visit http://hr.uoregon.edu/careers/about-benefits.

The University of Oregon is an equal opportunity, affirmative
action institution committed to cultural diversity and compliance
with the ADA. The University encourages all qualified individuals
to apply, and does not discriminate on the basis of any protected
status, including veteran and disability status. The University is
committed to providing reasonable accommodations to applicants and
employees with disabilities. To request an accommodation in
connection with the application process, please contact us at
uocareers@uoregon.edu or
541-346-5112.

UO prohibits discrimination on the basis of race, color, sex,
national or ethnic origin, age, religion, marital status,
disability, veteran status, sexual orientation, gender identity,
and gender expression in all programs, activities and employment
practices as required by Title IX, other applicable laws, and
policies. Retaliation is prohibited by UO policy. Questions may be
referred to the Title IX Coordinator, Office of Civil Rights
Compliance, or to the Office for Civil Rights. Contact information,
related policies, and complaint procedures are listed on the
statement of
non-discrimination.

In compliance with federal law, the University of Oregon prepares
an annual report on campus security and fire safety programs and
services. The Annual Campus Security and Fire Safety Report is
available online at http://police.uoregon.edu/annual-report.



To apply, visit https://careers.uoregon.edu/en-us/job/528176/research-associate-or-postdoctoral-scholar



jeid-17cf55e723ffc84d906ae75407b987e2",Faculty Positions,Science,Technology & Mathematics,Biology & Life Sciences,,,,,,,,,,,,,,,,,,,,,,
37325390,"Assistant Professor, Mechanical Engineering",https://jobs.chronicle.com/job/37325390/assistant-professor-mechanical-engineering/,False,Gannon University,"Pennsylvania, United States",Salary Commensurate with experience,2022-09-21,"Gannon University's School of Engineering and Computing has two (2)
openings for Assistant Professors of Mechanical Engineering. The
appointment for these nine-month tenure-track positions will begin
in August 2023. The ideal candidate will be committed to excellence
in innovative undergraduate education and will have significant
professional and/or research experience in the broad area of solid
mechanics, including dynamic systems and control, materials
science, or manufacturing. A computational and/or experimental
background is a plus, and previous academic experience is
preferred. The successful candidate will teach at the undergraduate
and graduate levels, develop and implement a sustainable research
program, lead student projects, prepare motivated students
intellectually, professionally, and personally, and advise
students.Qualified candidates will be expected to engage in
scholarly activities in keeping with the Boyer Model of
Scholarship as is appropriate to the application and receipt
of tenure and promotion at Gannon. Requirements include a Ph.D. in
Mechanical Engineering or a closely related field (completed by
August 1, 2023); teaching experience in higher education is
preferred. Candidates must be able to support and promote the
University's inclusive Mission, its Catholic identity, and its
liberal arts and professional education traditions.

Gannon is a comprehensive Masters L institution that is committed
to student-centered learning, with an emphasis on professional
education integrated with liberal-learning student outcomes.
Located near Lake Erie in Erie, Pennsylvania, the University offers
ready access to a variety of cultural and exciting seasonal
activities and is within a two-hour drive of Pittsburgh, Cleveland,
and Buffalo. For more information about what Erie has to offer
visit www.visiteriepa.com.

Gannon University seeks excellence through inclusiveness and
invites women and members of underrepresented groups to apply.
Application Procedure: Submit a cover letter, CV,
evidence of teaching excellence, and contact information for three
professional references to 
https://gannon.peopleadmin.com/postings/9025.
Review of applications will begin immediately, and the position
will remain open until filled. The finalist will be required to
submit an official transcript from the institution awarding his/her
terminal degree. References will not be contacted without prior
notification to the applicant. For more information about Gannon,
visit www.gannon.edu. Gannon
University is an Equal Opportunity Employer.",Faculty Positions,Science,Technology & Mathematics,Engineering,Other Science & Technology,,,,,,,,,,,,,,,,,,,,,
37325393,"Assistant Professor, Legal Studies",https://jobs.chronicle.com/job/37325393/assistant-professor-legal-studies/,False,Gannon University,"Pennsylvania, United States",Salary Not specified,2022-09-21,"The College of Humanities, Education, and Social Sciences invites
applications for a tenure-track or teaching-track Assistant
Professor of Legal Studies to begin in January or August 2023.
Candidates with a JD or Ph.D. in Law, Political Science, History,
or a related field will be given equal consideration. The
successful candidate will teach undergraduate courses in Legal
Studies and Pre-Law and others based on their area of
specialization and will advise Legal Studies and Pre-Law students.
Some areas of interest include Constitutional Law, Political
Theory, Political History, and American Political Development,
although strong candidates from a variety of legal, history, and
political science subfields will be considered. Candidates whose
work demonstrates a commitment to social justice, inclusive
excellence, and diversity in higher education are particularly
encouraged to apply.

The Legal Studies and Pre-Law programs are housed within the School
of Public Service and Global Affairs, which offers rich
opportunities for collaboration with faculty and students in
multiple undergraduate and graduate programs. The successful
candidate will prepare students intellectually, professionally, and
personally, and if hired into the tenure track, will be expected to
engage in scholarly activities in keeping with the Boyer Model of
Scholarship as is appropriate to the application and receipt of
tenure and promotion at Gannon. Candidates must be able to support
and promote the University's inclusive Mission, its Catholic
identity, and its liberal arts and professional education
traditions.

Application Procedure: Submit a cover letter,
curriculum vitae, and contact information for three professional
references with the application to https://gannon.peopleadmin.com/postings/9048.
A review of applications will begin immediately, and this position
will remain open until filled. The finalists will be required to
submit an original transcript from the institution awarding the
terminal degree. Gannon University is an Equal Opportunity
Employer.",Faculty Positions,Humanities,Ethnic & Multicultural Studies,History,Women's & Gender Studies,Professional Fields,Law & Legal Studies,Social & Behavioral Sciences,Political Science & International Relations,,,,,,,,,,,,,,,,,
37325397,Assistant Professor of Computer and Information Science,https://jobs.chronicle.com/job/37325397/assistant-professor-of-computer-and-information-science/,False,University of Oregon,"Oregon, United States",Salary Not specified,2022-09-21,"

Assistant Professor of Computer and Information
Science



To apply, visit https://careers.uoregon.edu/en-us/job/527557/assistant-professor-of-computer-and-information-science



jeid-28cd652b0ef79c468a78fb4bd2ca5576",Faculty Positions,Science,Technology & Mathematics,Computer Sciences & Technology,,,,,,,,,,,,,,,,,,,,,,
37325398,Assistant Professor of Mathematics,https://jobs.chronicle.com/job/37325398/assistant-professor-of-mathematics/,False,University of Oregon,"Oregon, United States",Salary Not specified,2022-09-21,"

Assistant Professor of Mathematics



To apply, visit https://careers.uoregon.edu/en-us/job/527560/assistant-professor-of-mathematics



jeid-11331cd7ef585d479f44b5eb36e0709c",Faculty Positions,Science,Technology & Mathematics,Statistics,,,,,,,,,,,,,,,,,,,,,,
37325417,Associate or Full Professor - Department of Philosophy,https://jobs.chronicle.com/job/37325417/associate-or-full-professor-department-of-philosophy/,False,University of California Los Angeles,"California, United States",Salary Not specified,2022-09-21,"

Associate or Full Professor - Department of Philosophy
University of California Los Angeles


Requisition Number: JPF07743


Job Category: Associate or Full Professor

AOS: Open.

AOC: Open. The successful candidate should have a
track record of advancing diversity, equity, and inclusion in at
least one area of faculty efforts of scholarship, teaching, and
service.

Workload: Full time - Responsibilities: Four
(quarter-length) courses per year, at both the undergraduate and
graduate level; graduate supervision; usual departmental
duties.

Vacancies: 1

Location: Los Angeles, California

Start Date: July 1, 2023 (or by negotiation)

Job Description: The Department of Philosophy is
pleased to invite applications for a tenured appointment at the
level of Associate or Full Professor. Those at a career stage
appropriate to be considered for tenure are encouraged to apply.
The person appointed will teach at the undergraduate and graduate
levels. A Ph.D. in philosophy (or its equivalent) is required, and
the candidate should have a record of excellent teaching and
publication. UCLA and the Philosophy Department have a strong
institutional commitment to the achievement of diversity and
inclusion among faculty, students and staff. All candidates will be
assessed on their ability to make a positive contribution to that
mission through their research, teaching, or service. Women and
candidates from underrepresented groups are especially encouraged
to apply.

Application

To apply for the position please visit this link: [[ https://recruit.apo.ucla.edu/apply/JPF07743 ]]

To ensure full consideration, applications should be submitted by
October 17th, 2022; however, applications will continue to be
reviewed through June 30, 2023.

To facilitate cloaked review of writing samples et alia, applicants
are asked to submit their writing samples, research statements,
teaching statements, and diversity statements without references
that would reveal their identities, professional titles, or
institutions that granted their advanced degrees.

Please submit the following materials:

Statement of current and future research plans
Writing sample
Equity, Diversity, and Inclusion Statement (describing the
candidate's efforts and plans to encourage and foster equity,
diversity, and inclusion in the classroom and the profession). This
statement is required for the application to be complete.
Cover letter
Curriculum Vitae
Names of three philosophers who could act as references. They
will be contacted only if you become a finalist, and only with your
further explicit permission at that point.
Teaching Statement (describing teaching approach at both
undergraduate and graduate levels).
Additional teaching materials


Basic Qualifications
A Ph.D. degree in Philosophy (or equivalent) is required.

Additional Qualifications
A record of excellent teaching and scholarly publication are
expected. The successful candidate should have a track record of
advancing diversity, equity, and inclusion in at least one area of
faculty efforts of scholarship, teaching, and service.

The University of California is committed to creating and
maintaining a community dedicated to the advancement, application,
and transmission of knowledge and creative endeavors through
academic excellence, where all individuals who participate in
University programs and activities can work and learn together in a
safe and secure environment, free of violence, harassment, bullying
and other demeaning behavior, discrimination, exploitation, or
intimidation. With this commitment as well as a commitment to
addressing all forms of academic misconduct, UCLA conducts targeted
employment reference checks for finalists to whom departments or
other hiring units would like to extend formal offers of
appointment into Academic Senate faculty positions. The targeted
employment reference checks involve contacting the finalists'
current and prior places of employment to ask whether there have
been substantiated findings of misconduct that would violate the
University's Faculty Code of Conduct. To implement this process,
UCLA requires all applicants for Academic Senate faculty positions
to complete, sign, and upload the form entitled “Authorization to
Release Information” into RECRUIT as part of their application. If
the applicant does not include the signed authorization to release
information with the application materials, the application will be
considered incomplete. As with any incomplete application, the
application will not receive further consideration. Although all
applicants for faculty recruitments must complete the entire
application, only finalists (i.e., those to whom the department or
other hiring unit would like to extend a formal offer) considered
for Academic Senate faculty positions will be subject to targeted
employment reference checks.


To apply, please visit: https://recruit.apo.ucla.edu/JPF07743


The University of California is an Equal Opportunity/Affirmative
Action Employer. All qualified applicants will receive
consideration for employment without regard to race, color,
religion, sex, sexual orientation, gender identity, national
origin, disability, age or protected veteran status. For the
complete University of California nondiscrimination and affirmative
action policy, see: UC Nondiscrimination & Affirmative Action
Policy, https://policy.ucop.edu/doc/4000376/DiscHarassAffirmAction


jeid-ef8d59452fc0fa448821901a2df1cf2b",Faculty Positions,Humanities,Philosophy,,,,,,,,,,,,,,,,,,,,,,,
