Job ID,Job Title,Job URL,Diversity Job,Employer,Location,Salary,Date Posted,Description,Position Type 0.0,Position Type 0.1,Position Type 0.2,Position Type 0.3,Position Type 0.4,Position Type 0.5,Position Type 0.6,Position Type 0.7,Position Type 0.8,Position Type 0.9,Position Type 1.0,Position Type 1.1,Position Type 1.2,Position Type 1.3,Position Type 1.4,Position Type 1.5,Position Type 1.6,Position Type 1.7,Position Type 1.8,Position Type 1.9,Position Type 2.0,Position Type 2.1,Position Type 2.2,Position Type 2.3,Position Type 2.4,Position Type 2.5,Position Type 2.6,Position Type 2.7,Position Type 2.8
37334566,Adjunct Instructor,https://jobs.chronicle.com/job/37334566/adjunct-instructor/,False,Suffolk University,"Massachusetts, United States",Salary Not specified,2022-10-05,"Lecturers in Mental Health Counseling for Spring 2023
The Department of Psychology at Suffolk University has openings
for part-time lecturers to teach the following courses within the
Masters in Mental Health Counseling Program during our Spring 2023
semester: one section of COUNS 714 Psychology Career Development
(TH 5:00 7:30 PM, 1/17/23 5/9/23); one section of COUNS 732
Psychological Disorders of Children and Adolescence (W 5:00 7:30
PM, 1/17/23 5/9/23); and one section of COUNS 733 Counseling
Diverse Populations (T 7:40 10:10 pm, 1/17/23 5/9/23).
There may also be opportunities to teach courses within the
undergraduate Psychology program as well.
Minimum qualifications include an earned Doctoral degree in
Psychology or a related field. (for the graduate offering). College
teaching experience is preferred.
Application should be made through the Suffolk HR website, with
a complete submission including the following components: resume,
cover letter, the names and contact information of three
references, and recent teaching evaluations. Review of applications
will begin immediately.
Suffolk University does not discriminate against any person on
the basis of race, color, national origin, ancestry, religious
creed, sex, gender identity, sexual orientation, marital status,
disability, age, genetic information, or status as a veteran in
admission to, access to, treatment in, or employment in its
programs, activities, or employment.

PI193573007
",Faculty Positions,Education,Teacher Education,,,,,,,,,,,,,,,,,,,,,,,,,,
37334718,Assistant Professor - Exercise Science,https://jobs.chronicle.com/job/37334718/assistant-professor-exercise-science/,False,Dakota State University,"Madison, South Dakota","$57,000 - $60,000",2022-10-05,"The College of Education at Dakota State University in Madison, SD invites applications for two tenure-track Assistant Professors in Exercise Science with a start date of January 2023 or August 2023. The position is a 9-month, full-time, benefit-eligible, tenure-track position.

  Responsibilities:

The successful candidate will be expected to demonstrate excellence in teaching and as a program advisor and be able to integrate technology tools in teaching and student engagement.
Depending upon qualifications, teaching responsibilities may include, but are not limited to, courses such as kinesiology, biomechanics, motor learning and development, foundations of HPER, administration of exercise science, and clinical exercise physiology.
Additional responsibilities include helping DSU develop a new biomechanics program, practicum supervision, student advisement, research, committee work, and service to the university, discipline, and/or community.
Candidates are encouraged to have an active research agenda.

  Required Qualifications:

Requirements include an earned doctorate in Exercise Science or a related field.
Effective written, oral, and interpersonal skills.

Information about The DSU College of Education:
Dakota State University is the home of the first Teachers College in the Dakota’s. Established in 1881, DSU offers education degrees in Elementary Education, K-12 Physical Education, a dual degree in Elementary Education/Special Education, and several secondary degrees, with related minors, endorsements, and certificates. The College of Education is also home to the Bachelor’s of Science degree in Exercise Science.

The Exercise Science program seeks to prepare students for the workforce and post-baccalaureate opportunities in athletic training, chiropractic medicine, physician’s assistant, occupational therapy, or physical therapy. Dakota State has enhanced the Human Performance Lab to include NeuroTracker cognitive training system, Dartfish cameras and software, a Woodway Desmo treadmill, Parvo True 1 metabolic cart, as well as body composition, flexibility, and pulmonary function testing instruments. DSU is building a new athletics facilities, which will include a new state-of-the-art biomechanics lab.

Dakota State University (http://www.dsu.edu) has a distinguished history in offering STEM degrees. Nearly 70% of our graduates receive STEM diploma’s, including exercise science. DSU distinguishes itself as the leader of technology integration in all majors offered by the University. Instructional use of wireless tablets, projectors, and other learning technologies are expected in the classroom. DSU is accredited by the Higher Learning Commission.

DSU accepts applications through an on-line employment site. To apply, visit https://yourfuture.sdbor.edu. The employment site will allow the attachment of a cover letter, curriculum vitae, transcripts, and contact information for at least three professional references.   DSU is located in Madison, South Dakota in the southern lakes region of the state. The region boasts a wealth of outdoor sports and a life-style possible only in smaller towns and rural communities. Madison is just a 50-minute drive from Sioux Falls, the largest city in South Dakota.

Dakota State employees receive a comprehensive and flexible benefits package including paid time off, health and retirement benefits, and life and disability insurance options. Other benefits include reduced tuition, longevity pay and training opportunities. DSU also provides professional liability coverage.  
DSU is committed to equal employment opportunities to all employees and applicants and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws.

Applicants with disabilities are invited to identify any necessary accommodations required in the application process. E-Verify, EOE. 
",Faculty Positions,Health & Medicine,Kinesiology,Exercise Physiology & Physical Education,,,,,,,,,,,,,,,,,,,,,,,,,
37334705,"Assistant/Associate Professor of Arts Administration, 9 Month Salaried ",https://jobs.chronicle.com/job/37334705/assistant-associate-professor-of-arts-administration-9-month-salaried-/,False,College of Fine Arts - Department of Art Education,"Tallahassee, Florida",Commensurate with education and experience,2022-10-05,"This position is in the Department of Art Education at the College of Fine Arts at Florida State University.
With over a 70 year history, the Department of Art Education believes in the intrinsic value of art as a catalyst for social change. Not only can art promote the development of the individual but serves to enrich and enliven the world around us. As a comprehensive education and research program, we only offer graduate-level degrees. We find this provides a rigorous and individualized learning experience as students work towards one of our 9 specialized degree options. At Florida State University, we empower people to empower people through art.
For more information, please visit https://arted.fsu.edu/
 
Responsibilities

Teach graduate-level arts administration courses and supervise internships. Courses may include Arts in Community Engagement, Principles of Arts Administration, and Grant Writing. Faculty are also encouraged to develop and expand our current course offerings to reflect the current status of the field.
Thesis and dissertation committee work, when qualified.
Appointee will have additional responsibilities including departmental and college level committee work, curriculum development, service to the university and community, and professional activities in arts administration that are consistent with departmental expectations.

 
Qualifications
Ph.D. in Arts Administration or a closely related field at the time of hire. Relevant professional experience as arts administrators in visual or performing arts organizations is preferred. The successful candidate will hold a terminal degree in a related field.

National presence in arts administration through publications, presentations, and professional activities.
University teaching experience in arts administration is preferred. This experience might include any of the following: development of arts administration curricula, coordinating internships, and experience with online learning.
We are especially interested in candidates who will thrive at a public research university while contributing (through their teaching, research, and/or service) to our college and university’s cultural diversity and standard of continued excellence.

 
Preferred
Relevant professional experience as an arts administrator in visual or performing arts organizations to include national presence in arts administration through publications, presentations, and professional activities is strongly preferred.
 
University teaching experience in arts administration is preferred. This experience might include any of the following: development of arts administration curricula, coordinating internships, and experience with distance learning.
 
We are especially interested in candidates who will thrive at a public research university while contributing (through their teaching, research, and/or service) to our college and university’s cultural diversity and standard of continued excellence.
 
How to Apply
If qualified and interested in a specific Faculty job opening as advertised, apply to Florida State University at https://hr.fsu.edu/facultyjobs

Applicants are required to complete the online application with all applicable information. Applications must include education details even if attaching a Vita.
Each item below should be uploaded as a separate PDF in the additional documents section of the online application:

A one-page cover letter detailing qualifications for this position.
Up-to-date CV.
One or two sample syllabi.
A statement (no more than two pages) that demonstrates the candidate's commitment to diversity in addition to experience working with and teaching within diverse populations.
Three current letters of recommendation if not solicited through the ""Request Letters of Reference"" process.

",Faculty Positions,Administrative,Academic Affairs,Arts Administration,,,,,,,,,,,,,,,,,,,,,,,,,
37334691,Assistant Professor Esports,https://jobs.chronicle.com/job/37334691/assistant-professor-esports/,False,University of North Dakota,"Grand Forks, North Dakota",Salary is competitive and will be commensurate with experience,2022-10-05,"The University of North Dakota seeks a tenure-track assistant professor with expertise in Esports to join the Department of Education, Health, & Behavior Studies programs starting August 16, 2023.  Housed within the Kinesiology Program, the Esports major is the newest bachelor’s degree program at the university.  The Bachelor’s of Science degree in Esports, which officially launched in Fall 2022 at the University of North Dakota, is an interdisciplinary program that features a curriculum that spans business, communication, public health, computer science, kinesiology, and related disciplines.  The Esports major allows students opportunities to develop expertise and skills in athletic performance, esports coaching, health and wellness issues in esports and gaming culture, esports management and marketing, and more.  The program also features multiple internship and experiential learning opportunities in partnership with UND’s competitive Varsity Esports program, it’s esports recreational programming, and through local and regional business that work in the growing esports ecosystem in the region. 
The successful candidate for the assistant professor of esports position will have a unique opportunity to join a new and growing program at the University of North Dakota, and will be able to help establish both the near and long-term vision for the program and contribute actively to curriculum development, student mentoring, and partnership development.  
Candidates with any sub-specialization across the esports interdisciplinary space will be considered, and we invite applications from candidates with experience and/or expertise in esports coaching; esports management and marketing; esports, gaming, and interactive media culture; esports programming and administration; esports health, fitness, and wellbeing; and other related fields. 
The University of North Dakota Kinesiology programs’ mission are to play a key role in educating about and promoting lifestyle behaviors (e.g. physical activity and sport) and environmental factors (e.g. advocacy) that facilitate comprehensive health and wellness, and in minimizing modifiable risk behaviors and factors (e.g. tobacco use, alcohol abuse) that may adversely impact health and wellness. The program offers Bachelor of Science degrees in Esports, Kinesiology, Public Health Education and graduate degrees in Kinesiology and Sports Leadership.
The university is located in Grand Forks, North Dakota, a vibrant college town of over 50,000 located along the Red River, on the border of North Dakota and Minnesota. Grand Forks boasts high-quality medical facilities, a very low crime rate, many fine restaurants, acclaimed public and private schools, and annual events throughout the year. Ranked as one of the top 5 Best Small College Towns, and America’s Best Hockey Town, Grand Forks offers stellar quality of life without the metropolitan hassles. 
The University of North Dakota is committed to creating an inclusive and equitable environment that respects, acknowledges and celebrates diversity and individual differences.  Successful applicants for this position will demonstrate a commitment to equity and inclusion through interest or past experience, as well as the ability to work and collaborate in a diverse, multicultural, and inclusive setting.
Position Benefits
Benefits include single or family health care coverage (UND pays the full premium), $12,000 in basic life insurance, employee assistance program, retirement plans with generous employer contributions, and 10 paid holidays.
Optional benefits include supplemental life, dental, vision, flexible spending account, supplemental retirement plans.
UND also offers an employee tuition waiver and a variety of professional development opportunities.
Find out more about UND's great benefits and perks here!
Duties & Responsibilities
 

Teaching esports courses dependent on expertise and need; Conducting research, seeking external funding for research, and publishing or presenting research findings; Participation in service activities in the department, college, and university, and in the profession Assume leadership of the new BS in Esports

Minimum Requirements
 

Ph.D, EdD or terminal degree (e.g., MBA) in a relevant field earned by August 15, 2023 Successful completion of criminal history records check

In compliance with federal law, all persons hired will be required to verify identify and eligibility to work in the US and to complete the required employment eligibility verification form upon hire.
 
Preferred Qualifications
 

Involvement in professional organization and activities Successful experience teaching in face-to-face and online (synchronous & asynchronous) classroom environments Research agenda that aligns with esports

Minimum Hiring Salary
Salary is competitive and will be commensurate with experience
Contract Period/Start Date
40 hours per week/August 16, 2023
To Apply
For full consideration, applications must be received by November 1, 2022 and include the following materials:

Letter of Interest Curriculum Vita Names and contact information for three references Unofficial transcripts.  Please note that the selected candidate will be required to submit official transcripts upon hire.   

Position is open until filled.
Additional Information
To find out why living and working in Greater Grand Forks is way cooler, check out Grand Forks is Cooler.
 
All information listed in this position announcement will be used by Human Resources, the Hiring Department, and EO/Title IX for screening, interviewing and selection purposes.
 
Confidentiality of Application Materials
Pursuant to NDCC 44-04-18.27, applications and any records related to the applications that identify an applicant are confidential, except records related to the finalists of the position, which are open to the public after the search committee has identified the top three finalists who will be invited to campus.
EEO Statement
The University of North Dakota is an Affirmative Action/Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or other protected characteristic. Women, minorities, veterans, individuals with disabilities, and members of other underrepresented groups are especially encouraged to apply. Applicants are invited to provide information regarding their gender, race and/or ethnicity, veteran’s status and disability status as part of the application process. This information will remain confidential and separate from your application.
Veteran’s Preference
Veterans claiming preference must submit all proof of eligibility by the closing date. Proof of eligibility includes a DD-214 or NGB 22 and if claiming disabled status, a current letter of disability from the VA dated within the last 12 months.
Clery Statement
In compliance with the Jeanne Clery Disclosure of Campus Security Policy and Campus Crime Statistics Act, the University of North Dakota publishes an Annual Security and Fire Safety Report. The report includes the university’s policies, procedures, and programs concerning safety and security, as well as three years of crime statistics for our campus. As a prospective employee, you are entitled to a copy of this report. The report and statistical data can be found online at UND.edu. You may also request a paper copy of the report from the UND Police Department located at 3851 Campus Road, Grand Forks, ND, 58202.
 
",Faculty Positions,Health & Medicine,Kinesiology,Exercise Physiology & Physical Education,,,,,,,,,,,,,,,,,,,,,,,,,
37334682,Assistant Professor of Computer Science,https://jobs.chronicle.com/job/37334682/assistant-professor-of-computer-science/,False,Eastern University,"Saint Davids, Pennsylvania",000000,2022-10-05,"Position Summary
Eastern University, a university of the liberal arts, sciences and professional studies located in St. Davids, Pennsylvania invites applications for a full time, tenure-track faculty position in Computer Science.
Position Responsibilities

Faculty responsibilities include 24 credit course load per year in Computer Science, Mathematics and Data Science Classes at the undergraduate and graduate levels. Additional faculty responsibilities include scholarship, advising students, program administration, committee service and departmental and university activities. Embody values of caring and compassion, justice and integrity, competence and affirmation. Seek to treat each member of the campus community with fairness, dignity and respect seeking a spirit of unity and harmony as we join together to achieve our common mission.

Qualifications
Candidates should possess a graduate degree (a Ph.D. is preferred, M.S. considered at Lecturer level) in Computer Science or related field. Familiarity with programming languages, databases, operating systems, computer architecture, data structures and algorithms is expected. To be considered, candidates should have a commitment to excellent teaching in a Christian context.
About Eastern University
Eastern University is a Christian university of the arts and sciences that integrates faith, reason and justice for students in its undergraduate, graduate, Seminary, urban, professional and international programs. Applicants should have a religious commitment compatible with its mission and be willing to endorse by signing Eastern University’s doctrinal statement.  The university complies with federal and state guidelines of nondiscrimination in employment; members of protected classes encouraged to apply.
Background Checks
Standard University employees are required to complete the background clearance process. Employment is contingent upon the successful results of an employment background screening. The employment background screening may include but is not limited to your consumer credit history (for positions that work with the university finances or alumni funds only), verification of education and professional credentials, criminal history, driving history, residency, immigration status, performance, references, and other qualities pertinent to your qualifications for the following position.
Youth Clearances are required for positions with direct contact with children and essential personnel positions. Employees working with or around minor age children are required to complete the youth clearance process which includes the following four child protection clearances:
1)      Affidavit;
2)      FBI Criminal Record Check;
3)      Pennsylvania Department of Human Services Child Abuse History Clearance and;
4)      Pennsylvania State Police Criminal Record Check. 
In accordance with state laws, Act 73 of 2007, Act 153 of 2014, Act 168 (relating to the Child Protective Services Law), school employees of Eastern University who will have ""direct contact with children"" must complete the background check process prior to employment.  Results must be submitted within ten days of receipt.
Description Disclaimer
This description is intended to describe the general level and nature of work performed by the person/people assigned to this position. It is not to be construed as an exhaustive list of duties and responsibilities of the person/people so assigned.
",Faculty Positions,Science,Technology & Mathematics,Computer Sciences & Technology,,,,,,,,,,,,,,,,,,,,,,,,,
37334676,"Assistant/Associate Professor, Bachelors of Science in Exercise Science Program",https://jobs.chronicle.com/job/37334676/assistant-associate-professor-bachelors-of-science-in-exercise-science-program/,False,Jefferson University,"Philadelphia, Pennsylvania",TDB,2022-10-05,"The Department of Exercise Science and the Bachelors of Science in Exercise Science (BSES) Program at Thomas Jefferson University (TJU) invite applications for a visionary and innovative educator to serve as a core faculty member in the Exercise Science Program. The candidate will be appointed at the rank of Assistant or Associate Professor, in a teaching or research scholar track, depending upon qualifications and scholarly record.
The faculty member is expected to have expertise in the area of physiology to help with the department’s teaching needs, engage in scholarship, and participate in service to the College, University and the community. Additionally, the faculty member will assist the program with curricular development and student advising, as well as new student recruitment, marketing and admissions.
The BSES Program is an integral component of the Department of Exercise Science in the Jefferson College of Rehabilitation Sciences (JCRS). The College priorities focus on promoting excellence in teaching and learning, interprofessional education, research, and practice collaborations within a stimulating Academic Medical Center environment. The department has recently moved into the new state-of-the-art Ronson Health & Applied Science Center located on the East Falls Campus and includes a new clinical and simulation teaching space as well as research space. There is opportunity for interprofessional education and practice with students and professionals in medicine, nursing and rehabilitation therapies.
The Department of Exercise Science integrates two complementary applied human science programs –Exercise Science and Athletic Training. New departmental facilities include a clinical examination classroom, strength and conditioning classroom, and exercise physiology classroom, which houses a metabolic cart and additional aerobic exercise testing equipment. In addition to Exercise Science, departments in the College include Occupational Therapy, Physical Therapy, and Speech and Language Pathology and Centers of Excellence in Autism, Outcomes Measurement and Hand & Upper Limb Rehabilitation.
An academic doctoral degree in related field (PhD, EdD, ScD), from an accredited university required. 
Experience Required:

An enthusiastic, dedicated professional with demonstrated contemporary expertise in physiology, exercise science, or a related field.
A record of scholarly activity.
Strong communication and collaborative abilities.

Interested applicants should submit an online application/CV to http://hr.jefferson.edu/human-resources.html Job ID #9276857
 Additionally, interested applicants should submit the following; 1) letter of interest, 2) curriculum vita, 3) teaching statement, and 4) contact information for three professional references. Application materials can be emailed to: Anita.Quain@jefferson.edu.
For more information about the position, please contact Stephen Thomas, PhD, ATC, Department Chair, Department of Exercise Science, Jefferson College of Rehabilitation Science at Stephen.Thomas@jefferson.edu or 215-951-2657
Review of applications will begin immediately and will continue until the position is filled. Academic rank appointment and salary will be commensurate with experience.
Jefferson includes Thomas Jefferson University and Jefferson Health, a dynamic university and health system with broad reach across the Delaware Valley. Jefferson is the second largest employer in Philadelphia and the largest health system in Philadelphia based on total licensed beds.
Through the merger of Thomas Jefferson University and Philadelphia University in 2017, our University includes ten colleges and four schools. We are an NCAA Division II university and an R2 national doctoral university offering undergraduate and graduate-level programs that provide students with a forward-thinking education in architecture, business, design, engineering, fashion and textiles, health, medicine and social science.
Jefferson Health, the clinical arm of Thomas Jefferson University, has grown from a three-hospital academic health center in 2015, to an 18-hospital health system through mergers and combinations that include hospitals at Abington Health, Aria Health, Kennedy Health, Magee Rehabilitation and Einstein Healthcare Network. We have over 50 outpatient and urgent care centers; ten Magnet®-designated hospitals (recognized by the ANCC for nursing excellence); the NCI-designated Sidney Kimmel Cancer Center (one of only 70 in the country and one of only two in the region); and one of the largest faculty-based telehealth networks in the country. In 2021, Jefferson Health became the sole owner of HealthPartners Plan, a not-for-profit health maintenance organization in Southeastern Pennsylvania. We are the first health system regionally to create an aligned payer-provider partnership.
Jefferson’s mission, vision and values create an organization that attracts the best and the brightest students, faculty, staff, and healthcare professionals, as well as the most visionary leaders to drive exceptional results.
OUR MISSION: We improve lives.
OUR VISION: Reimagining health, education and discovery to create unparalleled value
OUR VALUES: Put People First, Be Bold & Think Differently and Do the Right Thing
As an employer, Jefferson maintains a commitment to provide equal access to employment. Jefferson values diversity and encourages applications from women, members of minority groups, LGBTQ individuals, disabled individuals, and veterans.
",Faculty Positions,Health & Medicine,Kinesiology,Exercise Physiology & Physical Education,Occupational Therapy,Other Health & Medicine,,,,,,,,,,,,,,,,,,,,,,,
37334579,"Assistant Professor, Criminal Justice",https://jobs.chronicle.com/job/37334579/assistant-professor-criminal-justice/,False,Gannon University,"Pennsylvania, United States",Salary Not specified,2022-10-05,"The College of Humanities, Education and Social Sciences invites
applications for a tenure-track or teaching-track Assistant
Professor of Criminal Justice to begin in August 2023. The
successful candidate will teach undergraduate courses in Criminal
Justice with an emphasis on investigative areas including Digital
Evidence, Computer Forensics, Fraud, and other courses in their
area of specialization. There may also be opportunities to teach in
the online Criminalistics Master's Program. Candidates whose work
demonstrates a commitment to social justice, inclusive excellence
and diversity in higher education are particularly encouraged to
apply. The Department of Criminal Justice and Social Work offers
rich opportunities for collaboration with faculty and students in
multiple undergraduate and graduate programs.

The successful candidate will advise Criminal Justice students and
will prepare them intellectually, professionally and personally. If
hired into the tenure track, faculty are expected to engage in
scholarly activities in keeping with the Boyer Model of Scholarship
as is appropriate to the application and receipt of tenure and
promotion at Gannon. Requirements include an earned doctorate in
Criminal Justice, Criminology, or a related field (completed by
time of appointment) with demonstrated teaching excellence in
higher education. Professional experience in the field is
preferred. Candidates must be able to support and promote the
University's inclusive Mission, its Catholic identity, and its
liberal arts and professional education traditions.

Application Procedure: Submit a cover letter,
curriculum vitae, and contact information for three professional
references with the application to https://gannon.peopleadmin.com/postings/9127.
A review of applications will begin immediately, and this position
will remain open until filled. The finalists will be required to
submit an original transcript from the institution awarding the
terminal degree. Gannon University is an Equal Opportunity
Employer.",Faculty Positions,Education,Special Education,Humanities,Other Humanities,Professional Fields,Social Work & Human Services,Social & Behavioral Sciences,Criminal Justice & Criminology,Other Social & Behavioral Sciences,,,,,,,,,,,,,,,,,,,
37334578,"Assistant Professor, Applied Intelligence",https://jobs.chronicle.com/job/37334578/assistant-professor-applied-intelligence/,False,Gannon University,"Pennsylvania, United States",Salary Not specified,2022-10-05,"The College of Humanities, Education and Social Sciences invites
applications for a tenure-track Assistant Professor of Applied
Intelligence to begin in August 2023. The successful candidate will
teach undergraduate courses in Applied Intelligence, including but
not limited to Competitive Intelligence, National Security
Intelligence, Risk Assessment, and Strategic Intelligence. Area of
specialization is open; candidates with expertise in risk
assessment, cybersecurity, grant writing, and public intelligence
are particularly encouraged to apply. Preference will be given to
candidates who can support the growth of the applied intelligence
program through leadership, recruitment, and curricular
programming, and who possess professional practitioner experience
in the intelligence community.

The Applied Intelligence Program is housed within the Department of
Criminal Justice and Social Work which offers rich opportunities
for collaboration with faculty and students in multiple
undergraduate and graduate programs. The successful candidate will
advise students and prepare them intellectually, professionally,
and personally, and will be expected to engage in scholarly
activities in keeping with the Boyer Model of Scholarship as is
appropriate to the application and receipt of tenure and promotion
at Gannon. Requirements include an earned doctorate in Applied
Intelligence or a related field (completed by time of appointment)
with demonstrated teaching excellence in higher education.
Project-based teaching experience at the university level is highly
preferred. Candidates must be able to support and promote the
University's inclusive Mission, its Catholic identity, and its
liberal arts and professional education traditions.
Gannon University is located in the heart of downtown Erie,
Pennsylvania, along the shores of Lake Erie and close to
businesses, organizations, and government agencies that are active
partners in helping our students receive a hands-on education. Erie
is a major tourist destination boasting 11 beaches, a wide variety
of seasonal activities, professional sports teams, a professional
symphony, multiple venues for live theater and music, and many
other entertainment options. Pittsburgh, Cleveland, and Buffalo are
within a two-hour drive. For more information about Gannon, visit
www.gannon.edu.

Gannon University seeks excellence through inclusiveness and
invites women and members of underrepresented groups to apply.
Application Procedure: Submit a cover letter, C.V., evidence of
effective teaching methods and productive scholarship in your
respective field, and the contact information for three
professional references to https://gannon.peopleadmin.com/postings/9104.
Review of applications will begin immediately, and this position
will remain open until filled. The finalist will be required to
submit an original transcript from the institution awarding his/her
terminal degree. References will not be contacted without prior
notification to the applicants. Gannon University is an Equal
Opportunity Employer.
",Faculty Positions,Arts,Other Arts,Education,Special Education,Teacher Education,Humanities,English & Literature,Professional Fields,Social Work & Human Services,,,,,,,,,,,,,,,,,,,
37334562,Instructor,https://jobs.chronicle.com/job/37334562/instructor/,False,Suffolk University,"Massachusetts, United States",Salary Not specified,2022-10-05,"The Department of Psychology at Suffolk University seeks to fill
a full-time Assistant Professor of Clinical Practice position
(non-tenure track) for January 1, 2023. This person will serve as
the Clinical Psychology PhD Program’s Clinical Training
Coordinator, with the responsibility to support, maintain, and
expand our collaborative relationships with affiliated practicum
sites throughout the Boston area, and support our students in their
pursuit of high-quality clinical training. The Clinical Training
Coordinator coordinates practicum placements, meets with practicum
supervisors and trainees semi-annually to monitor training plans,
provides clinical supervision (CBT) for a small number (e.g., 2-3)
of students, and typically teaches two graduate courses each
semester (e.g., a weekly 3-hour seminar and a 1-hour clinical
skills course). The successful applicant must have a doctorate in
psychology (clinical or counseling) and be licensed in
Massachusetts.
Application should be made through the Suffolk HR website: Here
and should include the following: a letter of application; CV;
undergraduate and graduate transcripts; and the names and contact
information for three references. Teaching evaluations, if
available, should also be included as part of the application.
Questions regarding this position can be directed to David
Langer, Director of Clinical Training (dlanger@suffolk.edu). Review
of applications will begin immediately and will continue until the
position is filled.
Suffolk University is a private, comprehensive, urban university
located in downtown Boston, and is an equal opportunity employer
committed to a diverse community. Candidates from underrepresented
groups are encouraged to apply. To learn more about Suffolk
University visit our website at www.suffolk.edu.

PI193572827
",Faculty Positions,Education,Teacher Education,,,,,,,,,,,,,,,,,,,,,,,,,,
37333991,Engineering Faculty and Program Director,https://jobs.chronicle.com/job/37333991/engineering-faculty-and-program-director/,False,Northwestern College,"Named after William of Orange, the community maintains its Dutch settler traditions visibly",Commensurate with experience,2022-10-04,"Northwestern College seeks an ambitious and experienced engineering educator to be the founding program director of its undergraduate engineering program. This new position is an exciting opportunity to develop a program from its inception; the director will cast the vision, structure the curriculum, participate in hiring faculty, design teaching spaces, lead the college in accreditation, and oversee the program. The program director will have successful experience in teaching, administration, program assessment and budgeting.
Northwestern College intends to pursue accreditation from Accreditation Board for Engineering and Technology (ABET). The program director will be instrumental in developing the application and leading the college through accreditation. 
Northwestern enjoys a strong reputation in the sciences based on the career accomplishments of our faculty and graduates, and on the college’s commitment to courageous and confident inquiry, exploration and discovery of God’s truth as it is revealed through the natural world. Our DeWitt Family Science Center, opened in 2019, is testimony to our investment in the sciences. Expansion of our academic offerings to include engineering is an extension of that commitment to preparing graduates to influence our world in faithful and courageous obedience to God’s calling in their lives.
Required Qualifications: Applicants should have a Ph.D. in engineering and experience with ABET accreditation processes and expectations. Candidates will exhibit a love of Christ, an embrace of the Gospel, and support the college’s mission as expressed in our Statement of Christian Identity, Vision for Learning and Vision for Diversity. Northwestern identifies as Reformed in commitment, evangelical in engagement and ecumenical in spirit. We view these Christian theological perspectives as complementary and draw from the strengths of each perspective in fulfilling our mission. We seek faculty invested in teaching, a program of scholarly activity, and the mission of excellence in the liberal arts, as a vital expression of commitment to Christ’s redemptive work in the world.
Preferred Qualifications: Preferred candidates will have demonstrated experience in engineering education and research interests conducive to student involvement. Enthusiasm, experience and energy for the development of a new academic program is desirable.
Northwestern College seeks to more fully reflect the cultural and ethnic diversity of the body of Christ in its faculty, staff, administration and students. Women and candidates from historically underrepresented groups are enthusiastically encouraged to apply.
Apply online below and send a letter of interest in which you (1) describe your teaching experience and (2) scholarly trajectory; and (3) discuss how the following statements would inform and shape your teaching and scholarship: our Statement of Christian Identity, Vision for Learning and Vision for Diversity. Include a current curriculum vitae/resume and send to vpaa@nwciowa.edu.
Review of applications will begin immediately and continue until the position is filled. 
",Faculty Positions,Science,Technology & Mathematics,Engineering,Administrative,Academic Affairs,Academic Administration,,,,,,,,,,,,,,,,,,,,,,
