Job ID,Job Title,Job URL,Diversity Job,Employer,Location,Salary,Date Posted,Description,Position Type 0.0,Position Type 0.1,Position Type 0.2,Position Type 0.3
37370160,Lecturer III Family and Child Studies,https://jobs.chronicle.com/job/37370160/lecturer-iii-family-and-child-studies/,False,University of New Mexico,"New Mexico, United States",Salary Not specified,2022-11-30,"

Requisition ID: req22253

Working Title:
Lecturer III Family and Child Studies

Position Summary:
The Family and Child Studies Program at the University of New
Mexico invites applications for a full-time faculty position as
Lecturer III beginning August 2023. Responsibilities will include,
but not be limited to, teaching undergraduate and graduate courses
in the broad area of human development and family relations. The
expected teaching load for the position is four courses per
semester. Salary will be commensurate with experience and
education. Applicants are required to hold a doctoral degree in
Family & Child Studies, or a related field, by the appointment
start date. Applicants must also have evidence of teaching
undergraduate courses in at least two of the following areas:
family relations, human development, and family resource
management.

The UNM College of Education and Human Sciences, comprised of five
academic departments, is a future-oriented, dynamic professional
school. The Department of Individual, Family and Community
Education is one of the largest departments in the college with the
uniqueness of having Counselor Education, Educational Psychology,
Family and Child Studies, and
Nutrition/Dietetics together as an academic unit. The department
has both undergraduate and graduate programs.

UNM is the premier research university in the state of New Mexico,
as well as a Carnegie R1 Highest Research Activity Institution and
a federally designated Hispanic Serving Institution. The Family and
Child Studies Program is partnering with ADVANCE at UNM, an NSF
Institutional Transformation grant, to help recruit and retain an
excellent and diverse faculty.

UNM is located in Albuquerque, the largest city in New Mexico.
Albuquerque is an ethnically diverse metropolitan area of over a
half million residents that has been listed as one of the best
small cities in the U.S. by National Geographic Traveler. The city
has a rich culture and a location offering unparalleled
opportunities for outdoor adventure. The University is
located
within one hour of Santa Fe, three hours of Taos, and within
minutes of the Sandia and Manzano mountain ranges, which offer
great opportunities for hiking, biking, rock climbing, skiing, and
other outdoor activities.

For best consideration, complete applications must be received by
November 30, 2022. Review
of applications will continue until the position is filled.
Interested persons must apply on the web at http://jobs.unm.edu.

A complete application consists of 1) a letter of interest; 2) a
comprehensive CV; 3) a statement of teaching; and 4) the titles,
names and contact information (address, phone number and email
address) of at least three professional references. Inquiries
should be sent to: Cara Streit (cestreit@unm.edu), Family and Child
Studies, University of New Mexico, Albuquerque, NM 87131.

The successful candidate will have completed all requirements for
the doctoral degree in Family and Child Studies or a related field
(e.g., Early Childhood Education, Human Development and Family
Science, Developmental Sciences) by the appointment start
date.

The University of New Mexico is committed to hiring and retaining a
diverse work force. We are an Equal Opportunity Employer, making
decisions without regards to race, color, religion, sex, sexual
orientation, gender, identity, national origin, age, veteran
status, disability, or any other protected class.



Campus:
Main - Albuquerque, NM

Benefits Eligble:
The University of New Mexico provides a comprehensive package of
benefits including medical, dental, vision, and life insurance. In
addition, UNM offers educational benefits through the tuition
remission and dependent education programs. See the Benefits home
page for more information.

Department:
Individual Family Comm Educ IFCE (734A)

Employment Type:
Faculty

Faculty Type:
Lecturer


Hiring Department:
College of Education

Academic Location:
Individual Family Comm Educ IFCE (734A)


Benefits Eligible:
The University of New Mexico provides a comprehensive package of
benefits including medical, dental, vision, and life insurance. In
addition, UNM offers educational benefits through the tuition
remission and dependent education programs. See the Benefits home
page for more information.


For Best Consideration Date:
For best consideration, please apply by 11/30/2022. This position
will remain open until filled.




Minimum qualifications:

Doctoral degree in Family & Child Studies, or related field
by the appointment start date.
Evidence of teaching undergraduates in at least two of the
following three areas:


Family Relations
Human Development (e.g., adult development)
Family Resource Management


Preferred qualifications:

National Certification as a Family Life Educator from the
National Council on Family
Relations (NCFR).
Established record of successful teaching of undergraduate and
graduate level courses in
Family Resource Management or related areas.
Demonstrated commitment to diversity, equity, inclusion, and
student success, as well as
working with broadly diverse communities.
Potential for assuming an active role in all program activities
including accreditation,
community outreach, and facilitating and maintaining program
protocol.

PI198104656
",Faculty Positions,Social & Behavioral Sciences,Human Development & Family Sciences,
37370098,2 Asst Professors in Developmental Science & Education at Portland State University,https://jobs.chronicle.com/job/37370098/2-asst-professors-in-developmental-science-and-education-at-portland-state-university/,False,Portland State University,"Portland, Oregon",Competitive,2022-11-30,"Portland State University’s Department of Psychology invites applications for two tenure-track Assistant Professor positions in Developmental Psychology/ Applied Developmental Psychology/ Human Development beginning September 2023.  Qualifications include a doctoral degree in Developmental Psychology, Applied Developmental Psychology, Human Development, Developmental Science, Educational Psychology, Education and Psychology, or a related field (ABD considered, must have PhD by 9/15/2023).
We seek candidates who have an established record of school or community-based research and publication in developmental science and education, or demonstrated potential for establishing such a record. Responsibilities include maintaining a productive program of community-based research; applying for external funding; teaching graduate and undergraduate courses in developmental science, including courses related to the applicant’s particular area of expertise; supervising graduate students’ theses and dissertations; and contributing to service in the department, university, and profession. See full descriptions & application instructions at https://jobs.hrc.pdx.edu/postings/40469. PSU is an AA/EO Institution & welcomes applications from diverse candidates & candidates who support diversity
",Faculty Positions,Social & Behavioral Sciences,Psychology,
37370060,Assistant / Associate Professor of Management,https://jobs.chronicle.com/job/37370060/assistant-associate-professor-of-management/,False,Georgia Southwestern State University,"Americus, Georgia",N/A,2022-11-30,"About Us
Georgia Southwestern State University – a four-year institution – cultivates excellence in learning and teaching that encourages intellectual, personal, and social growth for students, faculty, staff, and the community. Georgia Southwestern State University is a comprehensive state university within the University System of Georgia that offers a full range of bachelor degree programs, along with selected master’s and specialist degree programs.
Georgia Southwestern is committed to serving the needs of its developing region with educational programs for high school, for professional and technical graduates; post-graduate professional training; research and business services; and cultural enrichment. Through its national and international affiliations, the University links Southwest Georgia with the global economy and actively fosters a greater understanding of international business and culture.
 
Job Summary
Georgia Southwestern State University and its College of Business and Computing, an AACSB accredited institution, is seeking an Assistant Professor to teach a variety of courses in the Management area.  Possible areas of teaching would include Principles of Management, International Business, Organizational Behavior, Organization Theory, Leadership, Small Business and Entrepreneurship, and Strategic Management.  The successful candidate will also advise students, heavily engage in the community and campus community, and serve as an active member of a highly cohesive, innovative faculty in the College of Business and Computing. This is a full-time, tenure track position to begin August of 2023, although a January of 2023 start date is highly desired. 

We have built a strong and innovative learning environment in COBAC.  A successful candidate will be expected to pursue cross-functional, integrative curriculum development and incorporate a pedagogical approach which involves students in learning through high levels of engagement. Mentoring and advising students is integral to the mission of the School of Business and our philosophy of student-centric education.  GSW’s COBAC has a large online program at both the undergraduate and graduate levels, so teaching will include both traditional and online courses. In addition to teaching, the faculty member will be expected to produce a research stream consistent with AACSB standards for SA or PA qualification and is expected to engage heavily in College and University service.
 
Required Qualifications    

Ph.D.or DBA in Management from AACSB-Accredited University.  ABD’s with a well-developed, defended proposal will also be considered.
Strong teaching background and a passion for student engagement.
Experience in delivery of both on-campus and on-line classes preferred.
 Meaningful experience in industry is strongly preferred.

 
Required Documents to Attach         

Cover letter
Curriculum Vitae/Resume
Evidence of teaching success
Philosophy of teaching
Transcripts
Contact information for three professional references

 
Contact Information         
For more information or questions about a job posting, please contact the Department of Human Resources by phone at 229-931-2000 or by email at hr@gsw.edu.
For technical support, please call the Shared Services Center at (877) 251-2644 or oneusgsupport@usg.edu.
 
Conditions of Employment         
Offers of employment are contingent upon completion of a background investigation including a criminal background check demonstrating eligibility for employment with Georgia Southwestern State University, as determined by Georgia Southwestern State University in its sole discretion, confirmation of the credentials and employment history reflected in application materials and, if applicable, a satisfactory credit check and drug screen.
 
Equal Employment Opportunity        
Georgia Southwestern State University is an equal opportunity employer. As such, the University takes affirmative action to preclude discrimination in recruiting, transferring, training and terminating of employees because of race, color, creed, age, sex, national origin, veterans status, disability or any other reason in accordance with applicable state and federal statutes, executive orders and other regulations which prohibit discriminatory employment practices.
",Faculty Positions,Business & Management,,
37370062,Assistant Professor of Geology,https://jobs.chronicle.com/job/37370062/assistant-professor-of-geology/,False,Northern Vermont University,"Vermont, United States",Salary Not specified,2022-11-30,"
Assistant Professor of Geology

Job Category: Instructional
Requisition Number: ASSIS0021
Posting Details
Posted: November 9, 2022
Full-Time
Locations:Castleton, VT 05735, USA

Job Details
Description
Job Description

The Department of Natural Sciences at Vermont State University
invites applications for a tenure-track position in Geology at the
rank of Assistant Professor, to begin in August of 2023. This
position will be based at the Castleton campus with opportunities
to teach both in-person and online lectures and coordinate Geology
lab courses at the Johnson and Lyndon campuses. The individual
hired for this position will teach courses in introductory geology,
hydrogeology, and soils/surficial processes to support a number of
programs in the natural sciences. In addition, the individual may
utilize their expertise and contribute courses to secondary
education in science and the University's general education
curriculum. Applicants with research experience and expertise in
climate change, water resources, or surficial processes are
encouraged to apply; however, candidates with expertise in other
areas will receive full consideration. The successful candidate
will teach, as well as advise students, supervise student research
and internships, and provide service to the University and
community. Opportunities for start-up funds and professional
development support are available. The successful candidate will
establish an independent, active research program designed to
engage undergraduates. A Ph.D. in Geology, or a closely related
field, is required. Teaching experience at the undergraduate level
is preferred.

About Vermont State University

Vermont State University combines and builds upon the history of
Castleton University, Northern Vermont University, and Vermont
Technical College, as they merge and become a single accredited
institution on July 1, 2023. At Vermont State University, students
always come first. Our experience is designed to empower students
to thrive in their personal and professional lives, becoming
compassionate facilitators of positive change to shape Vermont and
beyond. We stand as Vermont's regional public university with
interconnected campuses and sites dispersed throughout the state, a
community dedicated to providing accessible and affordable higher
learning. Our innovative, relevant programs focus on student
success and career readiness and meet students where they are on
their educational journey. In the sciences, we continue to be
committed to excellence in faculty scholarship, student-faculty
collaboration, and teaching in a student-centered environment. The
Natural Sciences department is comprised of a highly collaborative
and supportive group of faculty that offer programs in atmospheric
sciences, biology, climate change science, environmental science,
natural science, wildlife and forest conservation, and secondary
science education. The incumbent's home campus (Castleton) has
excellent lab resources and field equipment, and is located in the
heart of the Green/Taconic Mountains, surrounded by outstanding
opportunities for skiing, mountain biking and many other outdoor
activities.

Application Process

Applicants should include the following information as attachments:
1) A cover letter that summarizes their teaching and research
experience and includes a reflection on the candidate's potential
to contribute to an inclusive environment; 2) a curriculum vitae;
3) a teaching statement that describes the candidate's pedagogy; 4)
a research statement that includes a plan for integrating
undergraduate students in their research; and 5) the names and
contact information for three professional referees. Review of
applications will begin on January 9, 2023 and continue until the
position is filled. Please refer any questions to the chair of the
search committee, Andy Vermilyea (Andrew.vermilyea@castleton.edu).
We encourage applications from members of historically
underrepresented groups, persons with disabilities and individuals
who can contribute to an inclusive climate of education and
scholarship.

VTSU values individual differences that can be engaged in the
service of learning. Diverse experiences from people of varied
backgrounds inform and enrich our community. VTSU strongly
encourages applications from historically marginalized and
underrepresented populations. VTSU is an Equal Opportunity
Employer, in compliance with ADA requirements, and will make
reasonable accommodations for the known disability of an otherwise
qualified applicant. Please contact Sarah Potter for assistance
with accommodations at Sarah.Potter@vsc.edu.

NOTE: This job is subject to a fingerprint-supported criminal
background check. Any offer of employment is contingent upon the
satisfactory results of this check.

If interested please apply: https://recruiting.ultipro.com/VER1019VTSC/JobBoard/06c15f89-c0e8-40fd-9477-9f41de684a57/OpportunityDetail?opportunityId=cbe8cbe2-da0b-4700-8bf7-3f45ccd42c0e

jeid-0b736daa81cd4b14bddbd4764447a662",Faculty Positions,Science,Technology & Mathematics,Geology & Earth Sciences
37370063,Accounting Faculty Member,https://jobs.chronicle.com/job/37370063/accounting-faculty-member/,False,Northern Vermont University,"Vermont, United States",Salary Not specified,2022-11-30,"

Accounting Faculty Member

Job Category: Instructional
Requisition Number: ACCOU002073
Posted: October 25, 2022
Full-Time
Locations:Castleton, VT 05735, USA


Job Details
Description
Hiring Vermont State University at Castleton Tenure Track
Accounting Faculty Member!

VTSU at Castleton seeks applications for a full-time, tenure track
accounting position in the College of Business, beginning fall
2023. Applicants must possess an M.B.A., an active CPA license, and
at least five years of professional experience in the field of
accounting. Extensive corporate accounting and teaching experience
will also be valued. Qualified candidates must be able to teach a
variety of accounting courses, including Auditing, Managerial
Accounting, Financial Accounting, Accounting Information Systems,
and Tax, and have proficiency or be willing to develop skills in a
variety of teaching modalities. Strong interpersonal skills and the
ability to work effectively with students, faculty and staff are
also essential.

Review of applications will begin upon receipt, until the position
is filled. Please include CV, cover letter, three letters of
recommendation, and a statement of your teaching philosophy. All
required documents must be submitted via this online process. We
regret we are unable to accept applications or documents submitted
via mail, email or fax.

If interested, please apply: https://recruiting.ultipro.com/VER1019VTSC/JobBoard/06c15f89-c0e8-40fd-9477-9f41de684a57/OpportunityDetail?opportunityId=3fc44ca0-c2e5-4c8a-8718-bcd07676808e

jeid-e7c6309e35a640aeb16cbba12b5135a9",Faculty Positions,Business & Management,Accounting & Finance,
37370064,Assistant Professor - Forestry - Full-Time -Tenure-Track,https://jobs.chronicle.com/job/37370064/assistant-professor-forestry-full-time-tenure-track/,False,Northern Vermont University,"Vermont, United States",Salary Not specified,2022-11-30,"
Assistant Professor - Forestry - Full-Time -Tenure-Track

Job Category: Instructional
Requisition Number: ASSIS002127
Posted: November 18, 2022
Full-Time
Locations:Randolph Center, VT 05061, USA


Job Details
Description
Vermont Technical College, Department of Agriculture, invites
applications for one full-time, Tenure-Track Professor, for a full
time Forestry faculty position. The Position will teach courses
associated with the Associate of Applied Science in Forestry. We
seek candidates with a degree in Forestry or related field with
prior hands-on teaching experience. Preference will be given to
those with previous classroom, and distance/on-line teaching
experience. Experience working in the field of natural resources as
a practitioner/specialist is preferred.

Minimum Qualifications:

Minimum qualifications include a B.S. in Forestry or related
Natural Resource degree with a M.S. in science or education.
Teaching load will average 24 semester credit hours or their
equivalent per academic year. The successful candidate must be
committed to excellence and innovation in undergraduate teaching,
to ongoing professional development, and to working closely with
students in a small university environment. Committee service and
academic advising also are expected. VTC has a 250-acre working
forest land, a maple operation, and a saw mill—integration and use
of these lab operations is required for most classes.

Salary:

Based on qualifications and experience as defined by VSC-VSCFF
Bargaining Unit Agreement.

Application Information:

Applicants interested in applying must submit a Cover Letter,
Resume/CV and Unofficial College Transcripts (official transcripts
will be required if hired), three letters of recommendation and a
statement of teaching philosophy.

Applications will be accepted until positions are filled or by date
specified. However, applications received after the initial
screening will be considered at the discretion of the College.
Vermont Tech strongly encourages applications from members of
ethnic minority groups and other under-represented
backgrounds.

Vermont Tech is an equal opportunity employer and does not
discriminate against any individual because of race, color,
religion, ancestry, place of birth, gender, gender identity, sexual
orientation, national origin, age or veteran status, or against a
qualified individual with a disability, or any other person whose
status is protected under local, state or federal laws. In
compliance with ADA requirements, we will make reasonable
accommodations for the known disability of an otherwise qualified
applicant.

All full-time and some part-time positions are subject to a
criminal background check. Any offer of employment is conditional
upon successful completion of these checks.

Additional Information:

Vermont Technical College is a small hands-on training college of
about 1,650 undergraduates located in the heart of the Green
Mountains, which offers a quality lifestyle and welcoming
community. The College is currently transitioning into the Vermont
State University, in combination with Castleton University and
Northern Vermont University.

Questions about Vermont Technical College, the Agriculture
Department, the Forestry Program or the position should be directed
to Kim Crowe the Agriculture Department Chair (kim.crowe@vtc.edu)


If interested, please apply: https://recruiting.ultipro.com/VER1019VTSC/JobBoard/5269c684-902f-4f8e-b697-2067bcf029bc/OpportunityDetail?opportunityId=75f9e7ed-054b-4497-ac2b-efa30232e4e1

jeid-afaed8aa32a747c79770e014646ed5d4",Faculty Positions,Science,Technology & Mathematics,Agriculture & Animal Sciences
37370065,Assistant Professor - Computer Information Systems-Williston,https://jobs.chronicle.com/job/37370065/assistant-professor-computer-information-systems-williston/,False,Northern Vermont University,"Vermont, United States",Salary Not specified,2022-11-30,"
Assistant Professor - Computer Information Systems-Williston

Job Category: Instructional
Requisition Number: ASSIS002069

Posted: October 19, 2022
Full-Time
Locations:
Williston, VT 05495, USA
Randolph Center, VT 05061, USA

Job Details
Description
The Department of Computer Information Systems at Vermont Technical
College invites applications for a Tenure Track Assistant Professor
position to begin in January 2022.

Responsibilities:

Responsibilities include teaching an average of four courses per
semester at both the graduate and undergraduate level. This
position is based at the College's Williston campus, though travel
to the College's Randolph Center campus may be required.

Responsibilities also include student advising, participation in
the activities of the department, and serving on committees at the
College. Vermont Technical College's full-time faculty teaching
load is 24 credits per academic year.

Minimum Qualifications:
Qualified candidates must possess a Masters degree in Computer
Science, Computer Engineering, Software Engineering or a related
field. An earned Doctorate or an MS with professional industry
experience preferred.

The successful candidate should be able to teach a wide variety of
topics within the computer and information technology fields. Areas
of special interest are:

Web Development
Cybersecurity
Networking Configuration and Management
Other areas of concentration will be considered.
Salary:
Based on qualifications and experience as defined by VSC-VSCFF
Bargaining Unit Agreement.

Application Information:
Applicants interested in applying must submit a Cover Letter,
Resume/CV and Unofficial College Transcripts (official transcripts
will be required if hired).

Applications will be accepted until positions are filled or by date
specified. However, applications received after the initial
screening will be considered at the discretion of the College.
Vermont Tech strongly encourages applications from members of
ethnic minority groups and other under-represented
backgrounds.

Vermont Tech is an equal opportunity employer and does not
discriminate against any individual because of race, color,
religion, ancestry, place of birth, gender, gender identity, sexual
orientation, national origin, age or veteran status, or against a
qualified individual with a disability, or any other person whose
status is protected under local, state or federal laws. In
compliance with ADA requirements, we will make reasonable
accommodations for the known disability of an otherwise qualified
applicant.

All full-time and some part-time positions are subject to a
criminal background check. Any offer of employment is conditional
upon successful completion of these checks.


Qualifications
Education
Required

Masters or better in Computer Engineering or related field.

If interested, please apply: https://recruiting.ultipro.com/VER1019VTSC/JobBoard/5269c684-902f-4f8e-b697-2067bcf029bc/OpportunityDetail?opportunityId=5c5b553b-2e7d-4279-96c2-ace2a7dcbb74

jeid-adc7c1ecd9c248c8b662f5b47b761d8b",Faculty Positions,Science,Technology & Mathematics,Computer Sciences & Technology
37370067,"Assistant Professor, Human Services",https://jobs.chronicle.com/job/37370067/assistant-professor-human-services/,False,Northern Vermont University,"Vermont, United States",Salary Not specified,2022-11-30,"

Assistant Professor, Human Services
Job Category: Instructional
Requisition Number: ASSIS002067

Posted: October 21, 2022
Full-Time
Locations:Lyndonville, VT 05851, USA

Job Details
Description
RESPONSIBILITIES: Teaching responsibilities include four
undergraduate courses per semester in core courses that serve the
department. These courses will include: Human Interaction,
Introduction to Human Services, Field Work, Field Work Seminar,
Macro Perspectives, and Internship in Applied Psychology &
Human Services. Additional courses could include: Introduction to
Psychology, Abnormal Psychology, Counseling Theory & Practice
and possible upper-level PSY electives.

Masters in Social Work or Doctorate in related field. ABD
candidates and candidates with a Masters in Clinical Mental Health
Counseling may be considered.

Teaching experience at the university level; clinical work
experience in mental health/human services.

The successful candidate will demonstrate teaching effectiveness,
the ability to work harmoniously with colleagues, within and across
departments, and keep active in their professional/scholarly lives.
All faculty are expected to contribute to program development and
assessment. The University values diversity and inclusion and
strongly encourages applications from members of ethnic minority
groups and other under-represented backgrounds. NVU is an Equal
Opportunity Employer and a member of the Vermont State Colleges'
system. In compliance with ADA requirements, we will make
reasonable accommodations for the known disability of an otherwise
qualified applicant.

Candidate must submit a cover letter, resume, and diversity, equity
& inclusion statement as part of their application. Candidates
must be willing to submit to a fingerprinted-supported, criminal
background check; any offer of employment is contingent upon the
satisfactory results of this check.

Application Deadline: December 15, 2022.

If interested, please apply: https://recruiting.ultipro.com/VER1019VTSC/JobBoard/37294186-e5af-4980-b6fb-e89c37523068/OpportunityDetail?opportunityId=d4c5c171-3cc3-482b-b3ee-a245b2b095df


jeid-a5039c43fe2d5449a1dc879ff82c2dc7",Faculty Positions,Health & Medicine,Other Health & Medicine,
37370068,"Assistant Professor, Early Childhood Education",https://jobs.chronicle.com/job/37370068/assistant-professor-early-childhood-education/,False,Northern Vermont University,"Vermont, United States",Salary Not specified,2022-11-30,"
Assistant Professor, Early Childhood Education
Job Category: Instructional
Requisition Number: ASSIS001997

Posting Details
Posted: September 13, 2022
Full-Time
Locations:Lyndonville, VT 05851, USA

Job Details
Description
The Northern Vermont University Education department is pleased to
welcome applications for a full-time, tenure track assistant
professor of Early Childhood Education to begin in January 2023.
The candidate will teach in our online ECE program and support the
development of a campus-based undergraduate licensure program in
ECE. The candidate will also advise students, supervise student
teachers in their field placements, and support students as they
develop the Vermont Licensure Portfolio.

Northern Vermont University (NVU) is a thriving, learning, and
living community dedicated to honoring the diversity of its
students, faculty, and staff, and investing in their commitment to
lifelong learning, personal well-being, and success. In 2023,
Northern Vermont University will become part of a five-campus
Vermont State University (VTSU), which you can read about here:
https://vermontstate.edu/.
As an institution, VTSU values creating meaningful working-learning
experiences for students in a community dedicated to equity,
diversity, and inclusion.

Duties:

• Teach courses in our online ECE undergraduate program;

• Help develop a campus-based undergraduate ECE program;

• Advise students in both ECE programs (online and
campus-based);

• Supervise student teachers and support their development of the
licensure portfolio.

• Candidates should submit a cover letter, resume, and statement of
commitment to equity, diversity, and inclusion. Review of
applicants will begin on October 15, 2022.

The University values diversity and inclusion and strongly
encourages applications from members of ethnic minority groups and
other under-represented backgrounds. NVU is an Equal Opportunity
Employer and a member of the Vermont State Colleges' system and
does not discriminate against any individual because of race,
color, religion, ancestry, place of birth, gender, gender identity,
sexual orientation, national origin, age or veteran status, or
against a qualified individual with a disability, or any other
person whose status is protected under local, state or federal
laws. In compliance with ADA requirements, we will make reasonable
accommodations for the known disability of an otherwise qualified
applicant. Applicants needing special accommodations should contact
Human Resources.

All full-time and some part-time positions are subject to a
fingerprint criminal background check. Any offer of employment is
conditional upon successful completion of these checks.

If interested, please apply: https://recruiting.ultipro.com/VER1019VTSC/JobBoard/37294186-e5af-4980-b6fb-e89c37523068/OpportunityDetail?opportunityId=81cb468a-b43c-4047-8c2d-5fbadff7d109

jeid-4cc5e57189d11040ae4896dc43365bf5",Faculty Positions,Education,Teacher Education,
37370088,"Assistant Professor of Writing, Multi-Genre, Non-Fiction/Poetry",https://jobs.chronicle.com/job/37370088/assistant-professor-of-writing-multi-genre-non-fiction-poetry/,False,The New School,"New York City, New York","Salary Range: $75,000 - $90,000 per annum",2022-11-30,"The School of Writing at The New School in New York City invites applicants for a tenure-track appointment as Assistant Professor of Writing beginning on July 1, 2023.
The Creative Writing Program at The New School is a hub of literary activity in New York City and serves writers at every stage of their development. We offer an MFA program in Creative Writing with concentrations in Poetry, Nonfiction, Fiction, and Writing for Children and Young Adults. We also offer a BA in Creative Writing, as well as an honors program for gifted undergraduate writers, the Writing & Democracy program. The New School has been a vital center for writers and writing since its founding in 1919; in 1927, The New School initiated the first writing workshop held in an academic setting. Our writing and literature faculty has included many of America's most acclaimed poets, novelists, and nonfiction writers.  
The New School, a private university in New York City’s Greenwich Village, serves undergraduate and graduate students across a range of fields with a commitment to bringing practices in design and social research to studying issues of our time and challenging students to become engaged citizens dedicated to solving problems and contributing to the public good. 
The New School is strongly committed to diversity and inclusion in the workplace and particularly seeks applications from members of underrepresented groups, as well as candidates who share this commitment.
Responsibilities
We seek an outstanding writer, scholar, and practitioner, who has published to critical acclaim at least two books of literature (three is preferred), including one book of poetry and one book of nonfiction, or the equivalent. The successful candidate will write and lead across genres and mediums, and be qualified to teach graduate and undergraduate workshops in poetry, as well as nonfiction or memoir. The candidate will have a record of teaching excellence and will be expected to teach writing workshops and literature seminars in the graduate MFA program and in the undergraduate Writing & Democracy program. Duties will include: advising students, supervising thesis projects, organizing readings and forums, and performing administrative service. 
The teaching course load is the equivalent of five graduate/undergraduate courses per year.  The position also requires service to the Creative Writing Program, to the Schools of Public Engagement, and to the university. They may also be expected to serve in leadership roles in the Creative Writing Program.
 
You can find more information Information about the Schools of Public Engagement, and the Creative Writing Program here: https://www.newschool.edu/public-engagement/mfa-creative-writing/
Qualifications: 


MFA  or terminal degree in writing, or equivalent professional experience; significant publication history, including at least two books;


Minimum requirement of two books of literature (poetry and nonfiction required, three books preferred).


Demonstrated excellence in teaching creative writing and literature at the university level.


Experience with curriculum development and oversight.


Experience mentoring students.


Experience with leadership. 


Capacity to work well with people from diverse cultural backgrounds and levels of professional experience.


Commitment to collaborating across the University and with external partners.


Ability to adhere to University COVID-19 Policy


 
WORK MODALITY
On-Campus Position: Faculty are expected to work on-campus due to the nature of the work in accordance with University policies as set forth in the Full-Time Faculty Handbook.
 
Salary Range: 
$75,000 - $90,000 per annum
To apply
To ensure consideration, completed applications must be received by January 6, 2023. However, review of applications will begin immediately and may continue until the position is filled.
Interested candidates should submit: 
1) a cover letter describing the applicant’s creative practice and teaching philosophy relevant to this position 
2) a curriculum vitae
3) names and contact information of three references, 
4) teaching evaluations (and/or any other evidence of teaching excellence)
 
Applicants may be contacted at the discretion of the search committee for additional materials.
 
For information on the University benefits package including health and retirement plans, please visit http://www.newschool.edu/human-resources/benefits/
We look forward to receiving your application!
",Faculty Positions,Education,Curriculum & Instruction,
