Job ID,Job Title,Job URL,Diversity Job,Employer,Location,Salary,Date Posted,Description,Position Type 0.0,Position Type 0.1,Position Type 0.2,Position Type 0.3,Position Type 0.4,Position Type 0.5,Position Type 0.6,Position Type 0.7
37373887,"Assistant Professor, Sociology and Criminology",https://jobs.chronicle.com/job/37373887/assistant-professor-sociology-and-criminology/,False,Dominican University,"River Forest, Illinois",Commensurate upon experience,2022-12-07,"TITLE: Assistant Professor, Sociology and Criminology
DEPARTMENT: Rosary College of Arts and Sciences
FLSA Status: Exempt (salary)
STATUS: Full Time, Tenure Track
Reports to: Dean, RCAS
Open Until Filled: Yes
 
The Department of Sociology and Criminology is seeking a critical sociologist at the rank of assistant professor for a tenure-track position beginning Fall 2023 (August 15, 2023). Preferred qualifications include research and teaching specializations in social statistics and quantitative methods, research methods, and immigration. Additional preferred areas include health & illness, sociological theory, and social movements/social change.
 
Successful candidates will have a record of supporting first generation, Black and Latinx student populations with demonstrated effectiveness in helping students build quantitative, writing, oral communication and information literacy skills, and a commitment to inclusive teaching and community building.
 
Qualifications:
Candidates must have a Ph.D. in Sociology or related fields (PhD documentation by Fall 2023), a strong interest in undergraduate teaching and advising, an established research agenda, an interest in shared governance, a commitment to service, and a dedication to diversity and social justice.
 
Application:
Applicants of all backgrounds are encouraged to apply. Applicants will be asked to submit a cover letter, curriculum vitae, teaching statement (including practices of inclusive teaching), and three letters of recommendation. In the cover letter, the applicant should address work and other opportunities they have had to interact and serve in high needs and diverse populations and other interactions with students, and explain how they can contribute to the diversity and inclusion on our campus.
 
Official transcripts will be required of finalists; submission instructions will be provided to applicants as necessary.  
An offer will be pending a background screening.
 
About Dominican University:
Dominican University is a Catholic, comprehensive teaching university located in River Forest, a suburb of Chicago. Dominican University is accredited by the Higher Learning Commission as a baccalaureate, master’s, and doctoral degree-granting institution. It is highly regarded for its academic rigor and thoughtful accompaniment of students, its intentional affordability and values-based, relationship-centered learning environment. Dominican currently enrolls 3211 students, which includes 2136 undergraduates and 1075 graduate students. Sixty-six percent (66%) of our undergraduate students identify as Latinx, 5% are Black or African American, and 3% are Asian. Under-represented minority students, make up 74% of the DU undergraduate enrollment and 41% of the graduate enrollment. Over 90 percent receive some type of financial aid. About half of all undergraduates are first-generation college students; half are federal Pell Grant recipients, illustrating their families’ level of income; and more than half are eligible for low-income MAP grants from the State of Illinois. Recognized since 2011 as a Hispanic-Serving Institution (HSI), a federal designation of the U.S. Department of Education, Dominican is committed to expanding and enhancing educational opportunities for Latinx students and all students from historically underrepresented groups.
 
About Rosary College of Arts and Sciences Mission:
In keeping with Dominican University’s mission of preparing students to pursue truth, to give compassionate service, and to participate in the creation of a more just and humane world, the Rosary College of Arts and Sciences strives embody a community of learners seeking truth through free and open inquiry and dialogue with a diverse array of persons, places, texts, objects, ideas, and events, past and present, supportive of each learner’s development, and committed to using our talents to make a positive contribution to the world. We strive to produce graduates of a liberal arts and sciences program who can think critically; communicate ideas well, orally and in writing; and achieve both breadth of understanding across fields and depth of knowledge in one field. Dominican University is an equal opportunity employer and is dedicated to the goal of building a faculty and staff committed to teaching and working in a multicultural environment. We seek a diverse pool of applicants who bring varied experiences, perspectives, and backgrounds. Upon request, reasonable accommodation in the application process will be provided to individuals with disabilities
",Faculty Positions,Social & Behavioral Sciences,Sociology,,,,,
37373885,Tenure Track Assistant Professor in Thermofluids,https://jobs.chronicle.com/job/37373885/tenure-track-assistant-professor-in-thermofluids/,False,"University of Maryland, Baltimore County","Rockville, Maryland","$100,000-$105,000",2022-12-07,"The Department of Mechanical Engineering (ME) at the University of Maryland, Baltimore County (UMBC) invites applications for a tenure-track position at the rank of Assistant Professor with an emphasis on Thermofluids. We will consider candidates with research experience across a broad range of thermofluid topics. Candidates who combine hands-on experiments, design, simulation and theory are highly encouraged to apply. The successful candidate will be responsible for scholarly activity and funded research, supervision and mentoring of student researchers, and professional service to the community and teaching upper-level undergraduate Mechanical Engineering courses at the Universities at Shady Grove (USG), located in Rockville, Maryland, approximately 25 miles from the UMBC campus in Catonsville, MD. Applicants must have an earned doctoral degree in mechanical engineering or related fields prior to the start date. The department is especially interested in candidates that demonstrate interest in being involved in advancing diversity, equity, and inclusive excellence at any level of education in the broader field of mechanical engineering. The preferred starting date for the position is August 15, 2023.
UMBC is a dynamic public, Carnegie R1 (very high research activity) research university integrating teaching, research and service. As an Honors University, we offer academically talented students a strong undergraduate liberal arts foundation that prepares them for graduate and professional study, entry into the workforce, and community service and leadership. We are dedicated to cultural and ethnic diversity, social responsibility, and lifelong learning. The 2022 US News and World Report Best Colleges report placed UMBC 6th in the Most Innovative National Universities category and 6th in Best Undergraduate Teaching in the National Universities category. The Chronicle of Higher Education named UMBC as a Great College to Work For, a recognition given to only 86 universities. We emphasize work-life balance as part of a successful career. Our strategic location in the Baltimore- Washington corridor puts us close to many important federal laboratories and agencies and high-tech companies, facilitating interactions, and collaboration.
While the work location is at USG, the successful candidate will be an integral part of the Mechanical Engineering Department, enjoying full privilege and benefits as faculty colleagues at the Catonsville campus. The USG program will be accredited by ABET along with the program at the Catonsville campus as one single BSME program. See https://me.umbc.edu/ for more information on our program.
There are 25+ research centers at UMBC and 130+ companies housed in its two adjacent research parks. The campus is < 10 minutes from an international airport (BWI) and multiple rail stations (Amtrak, MARC). UMBC has special programs supporting startup mainly in cybersecurity, transportation, clean energy, life sciences, and/or microfabrication. The campus is surrounded by one of the greatest concentrations of commercial, cultural and scientific activity in the nation. Located on the western shore of the Chesapeake Bay, Baltimore offers all of the advantages of modern, urban life, including professional sports, major art galleries, theaters and a world class symphony orchestra. The city's Inner Harbor area is an exciting center for entertainment and commerce. The nation's capital, Washington DC, 40 miles south of UMBC, is a great tourist attraction with historical monuments and museums. Other nearby institutions include the Johns Hopkins University, UMB, UMCP, Naval Academy, U Pennsylvania, George Mason, and U Delaware plus a very large number of high-tech companies, military bases, and federal agencies. UMBC is one of nine partners in The Universities at Shady Grove, a new consortium of universities operating within the University System of Maryland, and located in Rockville, MD.
According to NSF data, UMBC is the number one baccalaureate institution for African American undergraduates who go on to earn Ph.D.s in the natural sciences and engineering, as well as doctorates in the life sciences, mathematics, and computer science. The ME department is committed to diversity and inclusivity. The faculty are engaged in a broad effort to provide high-quality education, by continuous improvement of the curriculum, fostering student research, practical training, and internships, promoting diversity and inclusion at all levels, and providing all students with opportunities for peer-support, mentoring, and financial assistance. The ME department actively partners with the Society of Women Engineers (SWE), the National Society of Black Engineers (NSBE), the Society of Hispanic Professional Engineers (SHPE), and the UMBC Center for Women in Technology (CWIT) to foster increased involvement of women, veterans, and other under-represented groups in engineering and technology-creation, at all levels. Currently, the ME undergraduates consist of 20% female, 23% African American, 8% Hispanic, and 13% Asian. The department is experiencing a rapidly growing phase, with a diverse community of approximately 650 undergraduate majors. The tenure-track faculty, in collaboration with the Lecturers, is the driving force behind the department's broad effort to ensure a quality education for our undergraduates: working to improve mechanical engineering education, curriculum, diversity, and student support. ME faculty collaborate with the Center for Women in Technology (CWIT) to increase the diversity of those who create technology, with programs designed for women in computing and engineering, transfer students from underrepresented groups, and diverse students interested in mechanical engineering. In addition to our undergraduate programs, the department has a dynamic and vibrant graduate program in mechanical engineering.
UMBC at the Universities at Shady Grove is located in Rockville, MD in the heart of Montgomery County. With undergraduate and graduate programs available, UMBC-Shady Grove offers the academic reputation of UMBC in a convenient location with easy access to the government agencies, contractors and major healthcare organizations that call the area home. Students can begin to claim their future with internships and field placements, as well as the outstanding instruction for which UMBC faculty are known. As one of nine institutions at the Universities at Shady Grove, UMBC is part of a consortium of schools within the University System of Maryland, an arrangement which allows students to explore a wide range of outlooks and opportunities as they complete their UMBC degree.
All applications will be processed in Interfolio (116546). The initial application should include a cover letter, a curriculum vitae, and three separate statements regarding the applicant’s 1) research interests and plans (limit 4 pages), 2) teaching experience and philosophy (limit 3 pages), and 3) commitment to inclusive excellence (limit 2 pages). Contact information for three professional references may also be requested at a later date. For best consideration, applications should be completed by 02/01/2023 but will still be accepted until the position is filled. Questions may be sent to mesearchtt@umbc.edu.
The Faculty Search Committee will organize a webinar from 10:00 AM to 11:00 AM ET on
01/9th/2023 to answer questions from potential applicants. The webinar link is here. Password: ttsearch (Join by phone +1-202-860-2110 United States Toll. Access code: 2623 973 6488).
UMBC is an Equal Opportunity/Affirmative Action Employer. Minorities, women, Veterans, and individuals with disabilities are encouraged to apply.
As an institution that receives federal financial assistance, UMBC adheres to Title IX and does not discriminate on the basis of sex. For more information about Title IX and contact information for Title IX Coordinator, please visit https://oei.umbc.edu/policies-and-procedures/.
",Faculty Positions,Science,Technology & Mathematics,Engineering,,,,
37373823,Professor of Nursing: Obstetrics,https://jobs.chronicle.com/job/37373823/professor-of-nursing-obstetrics/,False,Westmont College,"Santa Barbara, California",Salary not specified,2022-12-07,"The Department of Nursing at Westmont College seeks a collaborative and energetic tenure-track faculty member to serve as professor (open rank) with expertise in Obstetrics or multiple content areas including obstetrics in our new Accelerated BSN program.  Ideal candidates will be enthusiastic about the Christian mission of the college, committed to grounding the program in the liberal arts, and excited about teaching and supporting our diverse nursing students.  A complete list of responsibilities can be found here.
The nursing department at Westmont College is supported by a collaborative and cohesive group of professional nurses and staff. Faculty have responsibility and accountability for the nursing program. Faculty will demonstrate a significant degree of excellence in teaching effectiveness with evidence of excellence verified through student surveys, course and clinical outcomes and pass rates on the NCLEX. A Faculty Handbook includes policies and procedures faculty will abide by in the administration of the program. All faculty will be approved by the CA BRN prior to their hire. 
This position offers a competitive academic salary and benefits including faculty housing assistance.
Use this link to access the application.  Questions can be addressed to the Associate Dean of Faculty, Dr. Eileen McMahon McQuade, at mcmahon@westmont.edu.  Only complete applications will be considered.  The position will remain open until filled.
",Faculty Positions,Health & Medicine,Medicine,Nursing,,,,
37373824,Assistant Professor of Business: Marketing,https://jobs.chronicle.com/job/37373824/assistant-professor-of-business-marketing/,False,Westmont College,"Santa Barbara, California",Salary not specified,2022-12-07,"The Department of Economics and Business at Westmont College invites applications for a tenure-track faculty position at the assistant rank in Economics and Business  to begin in August 2023. Candidates should have an MBA and a PhD or DBA in business from an AACSB-accredited business school. A minimum of 2-3 years teaching experience is preferred. The candidate should have a demonstrated proficiency in teaching and doing research in management and/or marketing in a Christian liberal arts context.

Teaching responsibilities include a lower-division course in management and upper-division courses in marketing and other business electives such as business strategy, organizational behavior, and human resource management. Candidates are also expected to engage in research in the business field and mentor undergraduate research.

Westmont College is a national liberal arts college in the evangelical Protestant tradition, seeking faculty with a vital and informed commitment to the Christian faith. We continually aim to diversify the faculty and strongly encourage applications from historically underrepresented groups within economics and business for this position.

Use this link to access the application.  Questions may be addressed to Dr.Edd Noell, Chair, Economics and Business Department, at noell@westmont.edu. Review of applications will begin in November 2022 and will continue until the position is filled.
 
 
",Faculty Positions,Business & Management,Business Administration,Management,Marketing & Sales,,,
37373825,Assistant Professor of Economics: Macroeconomics,https://jobs.chronicle.com/job/37373825/assistant-professor-of-economics-macroeconomics/,False,Westmont College,"Santa Barbara, California",Salary not specified,2022-12-07,"The Department of Economics and Business invites applications for a tenure-track faculty position at the assistant rank in Economics and Business  to begin in August 2023. Candidates should have a PhD in economics. A minimum of 2-3 years teaching experience is preferred. The candidate should have a demonstrated proficiency in teaching and doing research in economics in a Christian liberal arts context.

Teaching responsibilities include a lower-division course in macroeconomics and upper-division courses in intermediate macroeconomics and economics electives such as international economics and environmental economics. Candidates are also expected to engage in research in the economics field and mentor undergraduate research.
Westmont College is a national liberal arts college in the evangelical Protestant tradition, seeking faculty with a vital and informed commitment to the Christian faith. We continually aim to diversify the faculty and strongly encourage applications from historically underrepresented groups within economics and business for this position.

Use this link to access the application.  Questions may be addressed to Dr. Edd Noell, chair, Economics and Business Department, at noell@westmont.edu. Review of applications will begin in November 2022 and will continue until the position is filled.
",Faculty Positions,Business & Management,Economics,,,,,
37373830,Assistant Professor of Engineering,https://jobs.chronicle.com/job/37373830/assistant-professor-of-engineering/,False,Westmont College,"Santa Barbara, California",Salary not specified,2022-12-07,"The Department of Physics and Engineering at Westmont College invites applications for a tenure-track faculty position at the rank of assistant professor for its new engineering major.  Candidates must hold a PhD in engineering.  The Westmont program grants a general engineering degree with a mechanical emphasis.  The successful candidate will be asked to teach courses in areas such as dynamics, controls, instrumentation and circuits.  Candidates should also have a desire for interdisciplinary collaboration and a track record of excellent and innovative teaching. 
This is a tenure-track position.  The anticipated teaching load is 3 courses per semester with one possibly in May Term instead.  Candidates with an active research program are desired. A regular professional presence in engineering consulting could also serve as scholarly activity.  Benefits include a generous faculty housing program.
Westmont College is a national liberal arts college in the evangelical Protestant tradition, seeking faculty with a vital and informed commitment to the Christian faith. We continually aim to diversify the faculty and strongly encourage applications from historically underrepresented groups within engineering for this position.
Use this link to access the application.  Questions may be addressed to Dr. Dan Jensen, director of the Engineering Program, at djensen@westmont.edu. Review of applications is ongoing and will continue until the position is filled.
 
",Faculty Positions,Science,Technology & Mathematics,Engineering,,,,
37373837,"Instructor, Integrated Media Design",https://jobs.chronicle.com/job/37373837/instructor-integrated-media-design/,False,Lincoln Land Community College,"Springfield, Illinois","$47,158 and $84,807",2022-12-07,"Full-time, tenure-track, 9-month instructor to teach Integrated Media Design (IMD) courses starting Fall 2023 semester. Courses are offered on the LLCC main campus in Springfield, IL and Outreach Centers in Jacksonville, IL, Taylorville, IL and Litchfield, IL. This position will be primarily located at LLCC Medical District site downtown offering IMD courses.

Duties will include teaching 15 contact hours per semester of assigned classes, preparing lessons and course syllabi; evaluating and assisting students; keeping accurate records of student performance, including following grading procedures and providing students with timely feedback; maintaining office hours; participating in departmental/institutional operations and program review; creating a learning environment that fosters student success; developing, integrating, evaluating and reviewing student learning outcomes in support of the College’s ongoing accreditation; and contributing to a collegial and collaborative work environment.

The Arts and Communication Department consists of a Dean, eleven full-time faculty members and one administrative assistant. The Department offers a variety of transfer and professional courses and programming for students seeking degrees in Art, Communication, Design (Graphic Design, Digital Media etc.), Music and World Languages.

As a faculty member at LLCC, you can look forward to working at an institution that values teaching and learning, supports faculty development, and encourages innovation and excellence. Full-time faculty members teach 15 credit hours for load each fall and spring semester with small class sizes and the potential to teach additional courses during the summer term. LLCC employs face-to-face, online, hybrid, and remote instructional modalities and offers courses in 16-week and 8- week formats. LLCC faculty, their spouse and qualified dependent children are eligible to use the tuition waiver on credited courses. 
 
Required Qualifications:

Master’s degree in in Art, Visual Communication, Commercial Art, Computer Graphics, Game Art, Graphic Design, Computer Animation, Multimedia Design, New Media, Interactive Media/Design or Interactive Design/Technology, Human Computer Interaction Technical Communication, Interface Design, UI Design, Visual Design, User Experience Design, or Web Design.
Applicants must be proficient with Macintosh OS and iOS platforms and experience with the following software:
Adobe Creative Suite
UX implementation and design skills
Adobe Experience Design (XD) (or similar prototyping platforms) with skills to create interactive prototype from wireframe
Adobe PremierePro and AfterEffectrs with design skill set to the primers of production
ToonBoom Harmony Advance with design skillset to storyboard and animatic creation
Maxon Cinema4D with design skillset to modeling, 3D printing and animation
Unity with skillset to design and develop 2D and 3D games using the C# code.


Applicants should be able to provide a digital media portfolio upon request

Employment is contingent upon the successful completion of a criminal background check and drug-screen. Starting salary is determined by education level and experience and will be between $47,158 and $84,807. This position will be open until filled; however, for guaranteed consideration, applications must be submitted on or before January 8, 2023.  First round interviews will be conducted virtually February 2023.  Second round interviews will be in-person on our campus in Springfield, IL starting in mid-March 2023.
",Faculty Positions,Arts,,,,,,
37373847,"Assistant/Associate Professor, Speech-Language Pathology ",https://jobs.chronicle.com/job/37373847/assistant-associate-professor-speech-language-pathology-/,False,Moravian University,"Bethlehem, Pennsylvania",Salary based on experience,2022-12-07,"The School of Rehabilitation Sciences in the College of Health at Moravian University invites applications for the position of tenure-track assistant/associate professor in the Speech-Language Pathology (SLP) Program. This is a twelve-month tenure-track faculty position with a preferred start date of May 2023. Applicants should have expertise in the area of acquired communication disorders.
The accredited Master of Science in SLP program implements a problem-based learning approach to curriculum with a strong interdisciplinary focus. We are looking for a creative, flexible, and collaborative individual interested in contributing to program development and creating opportunities for students to engage in innovative educational experiences. As an Equal Opportunity Employer, Moravian University is committed to valuing and enhancing diversity and encourages applications from individuals who can contribute to the diversity of our community.
 
ESSENTIAL FUNCTIONS AND RESPONSIBILITIES:
The individual filling this position will:

Teach and develop graduate and undergraduate courses, as applicable
Advise and mentor students;
Participate in School and College initiatives,
Engage in curriculum development
Participate in service to the School, College, University, and professional communities;
Contribute to school/program assessment; and,
Engage in an active research program in a related area of interest; including assisting with students research as applicable.

 
QUALIFICATIONS:

An earned doctorate (PhD preferred) or equivalent research doctorate in speech-language pathology or related area is required. Candidates who are ABD are also encouraged to apply, provided they complete the degree by August 2024.
It is preferred that applicants hold the Certificate of Clinical Competence for Speech-Language Pathologists (CCC-SLP).
Expertise in the area of adult neurogenic communication disorders (e.g. aphasia, motor speech, cognitive-communication).

 
SCHOOL, COLLEGE, UNIVERSITY & FACILITIES: The School of Rehabilitation Sciences houses an undergraduate program in Health Sciences (BS), graduate programs in Athletic Training (MSAT & DAT), Occupational Therapy (MSOT), Speech-Language Pathology (MS-SLP) and a Physical Therapy (DPT) graduate program. The vision for the School is to develop collaborative, interprofessional programs within a single academic unit. By combining an entrepreneurial spirit and a unique curricular structure, students and faculty are able to engage with one another across disciplines in a truly interprofessional educational environment modeled toward best practices in the clinical setting. This collaborative environment is designed to foster student learning and engagement while avoiding the traditional discipline specific silos that impede learning.
 
Moravian University has state-of-the-art facilities to accommodate the growing health sciences programs. The Speech-Language Pathology Program is housed in the newly renovated Sports Medicine Rehabilitation Center along with programs in Athletic Training, Occupational Therapy, and Physical Therapy. Additionally, students have access to resources in the Sally Breidegam Miksiewicz Center for Health Sciences. Both buildings house cutting-edge technology for student education.
 
TO APPLY: Qualified candidates should attach the following to their online application by clicking ""Apply Now"": (1) a cover letter; (2) curriculum vitae; (3) list of three references with email and phone contact; and (4) statement of teaching philosophy. Please attach documents as a single PDF file.
 
Application review will start immediately and applications will be accepted until the position is filled. Incomplete applications will not be considered. Questions about the position may be directed to Dr. Eric Sanders, Program Director; email: sanderse@moravian.edu, tel.: 610-625-7214.
 
DEI STATEMENT: Moravian University aspires to be a welcoming community that embraces and values the diversity of all members of the campus community. Learn more about the Office for Diversity, Equity, and Inclusion, and the DEI Action Plan here: https://www.moravian.edu/dei-action-plan.
 
Deep respect for others is fundamental to the Moravian University community. Moravian University does not discriminate against any employee, applicant for employment, student, or applicant for admission on the basis of actual or perceived race, ethnicity, color, sex, religion, age, ancestry, national origin, caste, sexual orientation, gender identity or expression, genetic information, pregnancy, familial status, marital status, citizenship status, veteran/military status, disability status, or any other protected category under applicable local, state, or federal laws.
 
Concerns regarding all forms of discrimination, including sexual harassment and/or sex discrimination in employment:
Leah M. Naso
Executive Director for Equity & Compliance (Title IX Coordinator)
314 Colonial Hall
Moravian University
1200 Main St.
Bethlehem, Pennsylvania 18018
(610) 861-1529
equityandcompliance@moravian.edu
 
Concerns regarding gender and equity in athletics:
Rebecca May
Assistant Athletic Director (Deputy Title IX Coordinator)
109 Johnston Hall
Moravian University
1200 Main St.
Bethlehem, Pennsylvania 18018
(610) 625-7791
mayr@moravian.edu
 
Concerns regarding the application of Title IX:
U.S. Department of Education
Office of Civil Rights
100 Penn Square East, Suite 515
Philadelphia, PA 19107-3323
(215) 656-8541
ocr.philadelphia@ed.gov
 
Report sexual harassment/sex discrimination online anytime (can be anonymous) at www.moravian.edu/titleix. Grievance procedures can be found in the institutional Equal Opportunity, Harassment, and Non-Discrimination Policy at www.moravian.edu/policy.
 
Please visit moravian.edu/benefits to review benefits offered at Moravian University.*
 
WORK ENVIRONMENT: The work environment characteristics described here are representative of those encountered while performing the essential functions of this job.
The individual is routinely exposed to indoor conditions, minimum outdoor weather and temperature extremes, and moderate noise level.
 
Pursuant to the ADA, Moravian University will provide reasonable services and accommodation(s) to employees with qualified disabilities in order to perform the essential functions of their employment, except when doing so would be unduly disruptive and/or result in undue hardship to the University. Accommodations are determined on a case-by-case basis through documentation review and an interactive interview process that includes the employee's supervisor. Requests for accommodation or questions about this process should be directed to Human Resources at hr@moravian.edu or 610.861.1527. View the standard physical demands for positions at Moravian University. If this position requires additional or different demands, a Human Resources team member will notify you.
 
The specific statements shown in each section of this description are not intended to be all-inclusive. They represent typical elements and criteria necessary to successfully perform the job.
 
*Please visit this link to review the benefit eligibility status associated with this position.
 Moravian University offers students a private education they will not find anywhere else: personal attention and preparation for life with a record of success longer than our nation's history. Located in Bethlehem, Pennsylvania and offering undergraduate and graduate degrees that blend liberal arts with professional programs, Moravian University has been preparing students for reflective lives, fulfilling careers, and transformative leadership in a world of change since 1742. Moravian University is a member of The New American Colleges and Universities (NAC&U), a national consortium of selective, small to mid-size independent colleges and universities dedicated to the purposeful integration of liberal education, professional studies, and civic engagement. Visit moravian.edu to learn more about how the Moravian University focus on education for all prepares its students for life-long success.  
Moravian University is an equal opportunity employer valuing diversity and encouraging individuals from under-represented populations to apply. EOE  
",Faculty Positions,Health & Medicine,Speech & Hearing Sciences,,,,,
37373853,Assistant Professor / Associate Professor / Professor,https://jobs.chronicle.com/job/37373853/assistant-professor-associate-professor-professor/,False,Thompson Rivers University,Canada,Salary Not specified,2022-12-07,"

DUTIES

About the Position
Thompson Rivers University (TRU) and the Bob Gaglardi School of
Business and Economics invites applications for a tenure-track
appointment at the level of Assistant, Associate or Full Professor
focusing on International Business/Strategy starting Fall Semester
2023. For applicants who have earned tenure and the associate or
professor rank at another educational institution, their tenure and
rank will be recognized if the tenure and promotion system is
deemed equivalent and they will be placed appropriately on the
salary scale.

What the University Offers
TRU offers a competitive salary, benefits including a defined
benefit pension plan, as well as professional development funds and
sabbaticals that are outlined in the TRUFA Collective Agreement.
The Gaglardi School and TRU provide researchers with a variety of
potential research funding sources and support with their
applications. TRU's classes and offices are located on a
spectacular campus with panoramic views of the Thompson Rivers and
surrounding mountains. Nestled between hiking trails of Kenna
Cartwright Park and within walking distance of downtown, TRU offers
a country in the city feeling that is unlike any other
university.

In this research position, candidates will teach five sections
(four sections in their first year) and maintain an active research
and service agenda. Candidates will publish in high-quality,
peer-reviewed International Business and Management related
journals and make a strong ongoing service contribution to their
department, school, university, profession, and/or the broader
community. Preference will be given to candidates with the ability
to teach a variety of accounting courses.

About the Department
The Department of Management, International Business, Information
and Supply Chain (MIISC) is one of the five departments in the Bob
Gaglardi School of Business and Economics. It is a supportive and
collegial team, with eight full-time faculty members. MIISC
delivers both core courses to all BBA, graduate, and post
baccalaureate students, and manages the Supply Chain and
International Business majors and post baccalaureate
programs.

About the Bob Gaglardi School of Business and Economics (TRU
Gaglardi)
With over 4000 on-campus students, the TRU Gaglardi is the largest
business school in the British Columbia interior, offering
undergraduate, post-baccalaureate and graduate programs in business
and economics including Master of Business Administration (MBA),
Master in Environmental Economics and Management (MEEM), and Master
of Science in Environmental Economics and Management
(MScEEM).

About Thompson Rivers University
With over 25,000 on-campus and online students and more than 100
undergraduate and graduate programs in nine diverse faculties and
schools, TRU celebrates academic excellence and excels at providing
exceptional experiential learning opportunities. TRU delivers
graduate and undergraduate programs in Business, Law, Nursing,
Education, Computer Science and Arts and Science. Our students and
faculty reflect the local, national and global community. TRU
provides a rich and engaging student-centred environment where
students and faculty know each other by name. TRU strives to create
inclusive and rewarding student experiences both on and off
campus.

Welcome to the BC Interior
TRU is located in Kamloops, British Columbia. Life in the sunny
interior of British Columbia provides immediate access to some of
the most incredible outdoor experiences Canada has to offer ranging
from winter sports at Sun Peaks Resort, to some of Canada's best
mountain biking and hiking trails. Located between the coastal and
Rocky Mountains, Kamloops is within 30 minutes from hundreds of
beautiful freshwater lakes, and only three hours from Vancouver.
With a relatively mild winter and spectacularly warm and dry
summers, Kamloops offers a high quality of life. As a city with
just over 100,000 residents, it is served by an airport, a
hospital, a university, a WHL hockey team and yet still maintains a
small-town feel where one never commutes longer than 15 minutes. It
is a safe community to raise a family and still has reasonable
housing prices.

QUALIFICATIONS

The TRU Gaglardi School seeks applicants with a strong commitment
to excellence in scholarly teaching and research in the field of
International Business/ Strategy. They will possess:

PhD in International Business or Strategy or related field at
the commencement of the appointment. Applicants near completion of
PhD may be considered.
Demonstrated teaching excellence in International Business and
/or strategy is desirable
Significant related work experience is preferred.



Applicants
TRU is committed to building and fostering an inclusive
environment. TRU continuously strives to increase the diversity of
its faculty and welcomes all applicants including those who
identify as Indigenous, visible minorities, people with
disabilities and persons of any sexual and gender identities. All
qualified applicants are encouraged to apply. As per Canadian
immigration requirements, preference will be given to Canadian
citizens and permanent residents. The university will assist any
candidate who requires assistance to accommodate disabilities
during the recruitment process. If required, please notify us of
your request with your application.

Application Process
Assessment of applications will continue until the position is
filled.

Interested applicants should submit the following:

Cover letter
Curriculum Vitae
Statement of research focus and teaching philosophy
Examples of scholarly research including conference papers,
working papers and/or publications
Teaching evaluations if available
Names and addresses of three references. Shortlisted candidates
will need to provide three reference letters.



Applications are to be made online through TRU's (Deltek) human
resources system

Inquiries only should be directed to the attention of:

Dr. Nancy Southin, Chair
Department of Management, International Business, Information and
Supply Chain
Bob Gaglardi School of Business and Economics
Thompson Rivers University
Kamloops, BC, V2C 0C8
Email: nsouthing@tru.ca

Pay Band
According to TRUFA Salary Schedule

Location
Kamloops, BC CA (Primary)

# of Hires Needed
1

Organizational Unit
Thompson Rivers University -> Bob Gaglardi School of Business
and Economics -> Department of Management, Information, and
Supply Chain

Diversity and Inclusion Commitment:
Thompson Rivers University is strongly committed to hiring based on
merit with a focus on fostering diversity of thought within our
community. We welcome those who would contribute to the further
diversification of our staff, our faculty and its scholarship
including, but not limited to, women, Indigenous, Black and People
of Colour, persons with disabilities and persons of any sexual
orientation or gender identity. Please note that all qualified
candidates are encouraged to apply, however applications from
Canadians and permanent residents will be given priority.

NOTE: To learn more about Thompson Rivers University or
living in Kamloops or Williams Lake please visit our Careers
website. External Candidates invited to interview will be required
to bring a copy of their transcripts to the interview.
PI198789100
",Faculty Positions,Business & Management,Other Business & Management,,,,,
37373822,Professor of Nursing: Medical/Surgical and Geriatrics,https://jobs.chronicle.com/job/37373822/professor-of-nursing-medical-surgical-and-geriatrics/,False,Westmont College,"Santa Barbara, California",Salary not specified,2022-12-07,"The Department of Nursing at Westmont College seeks a collaborative and energetic tenure-track faculty member to serve as professor (open rank) with expertise in Medical/Surgical and Geriatric content in our new Accelerated BSN program.  Ideal candidates will be enthusiastic about the Christian mission of the college, committed to grounding the program in the liberal arts, and excited about teaching and supporting our diverse nursing students.  A complete list of responsibilities can be found here.
The nursing department at Westmont College is supported by a collaborative and cohesive group of professional nurses and staff.  Faculty have responsibility and accountability for the nursing program.  Faculty will demonstrate a significant degree of excellence in teaching effectiveness with evidence of excellence verified through student surveys, course and clinical outcomes and pass rates on the NCLEX.  A Faculty Handbook includes policies and procedures faculty will abide by in the administration of the program.  All faculty will be approved by the California Board of Registered Nursing prior to their hire. 
This position offers a competitive academic salary and benefits including faculty housing assistance.
Use this link to access the application.  Questions can be addressed to the Associate Dean of Faculty, Dr. Eileen McMahon McQuade, at mcmahon@westmont.edu.  Only complete applications will be considered.  The position will remain open until filled.
",Faculty Positions,Health & Medicine,Medicine,Nursing,,,,
