Job ID,Job Title,Job URL,Diversity Job,Employer,Location,Salary,Date Posted,Description,Position Type 0.0,Position Type 0.1,Position Type 0.2,Position Type 0.3,Position Type 0.4,Position Type 0.5,Position Type 0.6,Position Type 0.7,Position Type 0.8,Position Type 0.9,Position Type 1.0,Position Type 1.1,Position Type 1.2,Position Type 1.3,Position Type 1.4
37292397,Assistant or Associate Professor of Kinesiology (Exercise Science),https://jobs.chronicle.com/job/37292397/assistant-or-associate-professor-of-kinesiology-exercise-science-/,False,University of Maryland Eastern Shore,"Princess Anne, Maryland",Commensurate with experience and qualifications,2022-08-16,"The appointment reports to the Chair of Kinesiology. The Department of Kinesiology is one of six departments in the School with an exercise science and sports management degree program.
Responsibilities:

Instruct a variety of undergraduate courses in exercise science and sports management.
Research and scholarly activity in exercise science.
Academic advising undergraduate students.
Assist with curriculum development and evaluation.
Support interdisciplinary projects.
Participate in department and university-wide committees.
Seek external funding to support research.


Performs other related duties as assigned.

 
Required Minimum Qualifications:

An earned a doctorate degree in exercise science (exercise physiology preferred) or a closely related area of study.
Must have an academic background and clinical experience in exercise science or a closely related area of study
A strong commitment to teaching excellence and desire to encourage student engagement in the learning process
Strong communication skills
Ability to work effectively and collegiality with faculty and chair

 
Preferred Qualifications

Teaching experience in a university setting.
Teaching and research expertise exercise science and/or sports management courses.

 
 
Required Knowledge/Skills/Abilities:

Strong communication skills to include written communication skills.  Ability to work effectively and collegiality with faculty and chair.

 
",Faculty Positions,Health & Medicine,Kinesiology,Exercise Physiology & Physical Education,,,,,,,,,,,
37295246,Assistant Professor of Economics ,https://jobs.chronicle.com/job/37295246/assistant-professor-of-economics-/,False,Brown University,"Providence, Rhode Island",Competitive,2022-08-18,"The Department of Economics seeks to recruit an Assistant Professor of Economics (tenure-track) whose research interests focus on macroeconomics or applied microeconomics (including development, public, IO, urban, environmental, labor, and applied econometrics), beginning July 1, 2023.
 
 Candidates should have a Ph.D. in hand or firmly expected by August 2023, be engaged in a research program with the potential to influence their field, and demonstrate the potential for excellence in undergraduate and graduate teaching and advising.
 
 Applicants should submit a cover letter, curriculum vitae, and copies of or links to important publications and/or working papers and must arrange for three letters of recommendation to be submitted online at https://econjobmarket.org/positions/. Applicants should state in their cover letter how, through their research approaches, teaching methodology and/or public engagement, they are prepared to advance Brown’s strong commitment to diversity, equity, and inclusion.
 
 Applications for Assistant Professor must be received by November 15, 2022 to be guaranteed full consideration, but will be accepted until the position is filled.
 
 Brown University is committed to fostering a diverse and inclusive academic global community; as an EEO/AA employer, Brown considers applicants for employment without regard to, and does not discriminate on the basis of, gender, sex, sexual orientation, gender identity, national origin, age, race, protected veteran status, disability, or any other legally protected status.
 
",Faculty Positions,Education,Teacher Education,,,,,,,,,,,,
37295250,Assistant Professor of Economics ,https://jobs.chronicle.com/job/37295250/assistant-professor-of-economics-/,False,Brown University,"Providence, Rhode Island",Competitive,2022-08-18,"Tenure Position
 
Assistant Professor
 
Political Economy

The Department of Economics seeks to recruit an Assistant Professor of Economics (tenure-track) beginning July 1, 2023. Candidates in political economy, with a preference for those who engage on these issues broadly in an international context, including in the developing world, will be considered. Expertise on the roles of institutions, history, culture, and their interplay in shaping economic outcomes across the globe is welcome.

Candidates should have a Ph.D. in hand or firmly expected by August 2023, be engaged in a research program with the potential to influence their field, and demonstrate the potential for excellence in undergraduate and graduate teaching and advising.

Applicants should submit a cover letter, curriculum vitae, and copies of or links to important publications and/or working papers and must arrange for three letters of recommendation to be submitted online at http://www.econjobmarket.org. Applicants should state in their cover letter how, through their research approaches, teaching methodology and/or public engagement, they are prepared to advance Brown’s strong commitment to diversity, equity, and inclusion.

Applications for Assistant Professor must be received by November 15, 2022 to be guaranteed full consideration, but will be accepted until the position is filled.

Brown University is committed to fostering a diverse and inclusive academic global community; as an EEO/AA employer, Brown considers applicants for employment without regard to, and does not discriminate on the basis of, gender, sex, sexual orientation, gender identity, national origin, age, race, protected veteran status, disability, or any other legally protected status.
 
",Faculty Positions,Education,Teacher Education,,,,,,,,,,,,
37295258,Associate or Full Professor of Economics ,https://jobs.chronicle.com/job/37295258/associate-or-full-professor-of-economics-/,False,Brown University,"Providence, Rhode Island",Competitive,2022-08-18,"Tenure Position
 
Professor, Associate Professor
 
 
Political Economy
 
 
The Economics Department at Brown University is searching for tenured faculty at the Associate or Full Professor level, with the position beginning July 1, 2023. Candidates in political economy, with a preference for those who engage on these issues broadly in an international context, including in the developing world, will be considered. Expertise on the roles of institutions, history, culture, and their interplay in shaping economic outcomes across the globe is welcome. 
 
 
Candidates should have demonstrated a significant influence on the profession by their research and publications and a commitment to teaching excellence at both the graduate and undergraduate levels. An application will include a cover letter, a curriculum vitae, and copies of or links to important publications or working papers. All candidates must apply online at https://econjobmarket.org/positions/. Applicants should state in their cover letter how, through their research approaches, teaching methodology and/or public engagement, they are prepared to advance Brown’s strong commitment to diversity, equity, and inclusion. 
 
 
Applications must be received by September 15, 2022 to be guaranteed full consideration but will be accepted until the position is filled or the search is closed. 
 
 
Brown University is committed to fostering a diverse and inclusive academic global community; as an EEO/AA employer, Brown considers applicants for employment without regard to, and does not discriminate on the basis of, gender, sex, sexual orientation, gender identity, national origin, age, race, protected veteran status, disability, or any other legally protected status.
 
 
",Faculty Positions,Education,Teacher Education,,,,,,,,,,,,
37303683,Seeking Creative Scientists for Faculty Positions in Various Disciplines,https://jobs.chronicle.com/job/37303683/seeking-creative-scientists-for-faculty-positions-in-various-disciplines/?LinkSource=PremiumListing,False,Rockefeller University,"New York, United States",Salary Not Specified,2022-08-15,"FACULTY POSITIONS
THE ROCKEFELLER UNIVERSITY
The Rockefeller University seeks exceptional, creative scientists to join its faculty. We invite applications from outstanding candidates for tenure-track positions, and also welcome applications from tenured scientists at an early stage of their career. The University is committed to a diverse community, and we strongly encourage applications from individuals from groups that are underrepresented in biomedical science.

The University has a laboratory centered rather than department based organizational structure that fosters interdisciplinary research. We encourage applications in the following areas:

• Biochemistry, Biophysics,
Chemical Biology, and Structural Biology
• Cancer Biology
• Cell Biology
• Genetics and Genomics
• Immunology, Virology, and Microbiology
• Mechanisms of Human Disease
• Neurosciences and Behavior
• Organismal Biology and Evolution
• Physical, Mathematical, and Computational Biology
• Stem Cells, Development,Regeneration, and Aging
The Rockefeller University provides strong support for the work of its faculty including 100% faculty salary support, beneﬁ ts that include subsidized housing and an on-site childcare center from 3 months of age through preschool, generous start-up funds, new or renovated laboratory space and state-of-the-art core facilities, and support for all graduate students as well as continuing lab support. There are extensive opportunities for collaboration within the University and with neighboring institutions.
Visit http://www.rockefeller.edu/facultysearch to submit your application online and view further information about the positions.
Application deadline is September 30, 2022.
Address questions to facultysearch@rockefeller.edu.
As an equal opportunity employer, we will consider all qualiﬁ ed applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.
 
",Faculty Positions,Science,Technology & Mathematics,Biology & Life Sciences,Biotechnology & Bioengineering,,,,,,,,,,
37303916,"Assistant or Associate Professor, School of Criminal Justice",https://jobs.chronicle.com/job/37303916/assistant-or-associate-professor-school-of-criminal-justice/,False,University at Albany,"Albany, New York",Commensurate with experience,2022-08-15,"Assistant or Associate Professor, School of Criminal Justice
SCHOOL OF CRIMINAL JUSTICE
THE UNIVERSITY AT ALBANY
STATE UNIVERSITY OF NEW YORK
The School of Criminal Justice invites applications for a full-time tenured or tenure-track faculty appointment at the academic rank of Assistant Professor or Associate Professor to begin Fall 2023. We seek a scholar with an active and productive program of research and with a record of or strong potential for obtaining external funding. Area of research focus is open. Candidates should be able to effectively teach a 2-2 load of relevant undergraduate and graduate courses, mentor graduate and undergraduate students, and engage in service to the School, University, community, and profession. A Ph.D. in criminal justice, criminology, or related discipline (e.g., sociology, political science, psychology, economics) is required, in hand by September 1, 2023. Degrees must be from a university accredited by the U.S. Department of Education or an internationally recognized accrediting organization. 
Applicants should address in their application their ability to work with and instruct a diverse population and their willingness to teach remotely or online, if needed, in addition to traditional in-person instruction. Candidates must be willing to contribute to the University’s priorities, including student success, research, diversity and inclusion, internationalization, and community engagement and service.
The School of Criminal Justice has an internationally renowned doctoral program, a Master’s Degree program, and a selective BA program. The University at Albany is one of the four University Centers of the State University of New York; its approximately 17,000 students include roughly 5000 graduate students, and its full-time faculty number about 700. Albany, the capital of New York, is in a metropolitan area with a population of approximately 800,000.  Located in beautiful upstate New York, it is in close proximity to the Berkshires, the Catskills, the Adirondacks, and the Hudson River Valley and is also convenient to Boston, Montreal, and New York City.
Review of applications will begin September 15, 2022 and will continue until the position is filled.
Required Qualifications:

  Ph.D. in criminal justice, criminology, or related discipline (e.g., sociology, political science, psychology, economics) from a university accredited by the U.S. Department of Education or an internationally recognized accrediting organization, in hand by September 1, 2023
active and productive program of research
record of or strong potential for externally funded research
ability to effectively teach relevant undergraduate and graduate courses
ability to mentor graduate and undergraduate students
ability to work with and instruct a diverse population
willingness to teach remotely or online, should needs arise
willingness to contribute to the University’s priorities, including student success, research, diversity and inclusion, internationalization, and community engagement and service

Applicants should apply online via https://albany.interviewexchange.com/jobofferdetails.jsp?JOBID=151140
Applicants should submit: 

a letter of application addressing each of the qualifications outlined in the position announcement 
statements of research and teaching interests and experience
a curriculum vitae
the names and contact information of three references  

Review of applications will begin September 15, 2022 and will continue until the position is filled.
The University at Albany is an EEO/AA/IRCA/ADA employer.
",Faculty Positions,Social & Behavioral Sciences,Criminal Justice & Criminology,,,,,,,,,,,,
37303922,Tenure-Track Assistant Professor of English in Medieval and/or Early Modern British literature ,https://jobs.chronicle.com/job/37303922/tenure-track-assistant-professor-of-english-in-medieval-and-or-early-modern-british-literature-/,False,Santa Clara University,"Santa Clara, California","Assistant Professor, salary and benefits competitive, includes housing assistance program",2022-08-15,"The Department of English at Santa Clara University invites applications for a tenure-track position requiring expertise in medieval and/or early modern British literature and culture, race, social justice, and Digital Humanities. Expertise in book history is also desirable. Our department is participating in a College cluster hire for a group of faculty who specialize in topics related to race, inequality, and social justice in their respective fields.
Successful candidates must have a strong commitment to teaching undergraduates and be able to establish an active research program, possibly including undergraduates. Teaching responsibilities will include introductory and advanced courses in medieval and/or early modern British literature and culture as well as first-year Critical Thinking and Writing courses and Foundation courses for our majors. The successful candidate will teach six courses spread over three quarters. Ph.D. must be in hand by September 1, 2023.
For more information or to apply for the position visit the SCU HR website here.
 
",Faculty Positions,Humanities,English & Literature,,,,,,,,,,,,
37303925,Founding Faculty Positions in Integrated Sciences,https://jobs.chronicle.com/job/37303925/founding-faculty-positions-in-integrated-sciences/,False,Claremont McKenna College,"Claremont, California",DOE,2022-08-15,"Claremont McKenna College’s new Kravis Department of Integrated Sciences seeks four Founding Faculty members who will have a central role in building an innovative and transformational undergraduate science program organized around three challenges: Health (Genomics, Systems Biology, and Health), Brain (Brain, Learning, and Decision Sciences), and Planet (Climate, Energy, and the Environment). The Founding Faculty will have a key role in developing and implementing a program that will serve as an incubator for new approaches and foster a culture of inclusion, creativity, and continuous improvement. While senior and mid-career faculty are particularly encouraged to apply, faculty candidates at all ranks will receive serious consideration.

The Founding Faculty members will be outstanding teacher-scholars with experience in developing and teaching innovative science curricula at the undergraduate level, broad multidisciplinary perspectives, and excellent research programs that can meaningfully involve undergraduates.

The life sciences, computing, and data sciences are central to the new Integrated Sciences program and candidates with backgrounds including (but not limited to) molecular and cell biology, genetics, neuroscience, systems biology, bioinformatics, computational biology, and computational and data science approaches to the natural sciences in general are particularly encouraged to apply.

Claremont McKenna College is a highly selective undergraduate institution of 1300 students ranked among the top liberal arts colleges nationally. It is part of The Claremont Colleges, which also includes Pomona College, Scripps College, Harvey Mudd College, Pitzer College, Claremont Graduate University, and Keck Graduate Institute. Combined, the members of The Claremont Colleges have more than 6000 students. Claremont is located 35 miles east of downtown Los Angeles.

Currently, the shared Keck Science program offers the science general education and major programs for Pitzer, Scripps, and Claremont McKenna Colleges. On its 75th anniversary, CMC is developing its own Integrated Sciences Department to best serve its students and to provide additional resources for the consortium. This is the most ambitious project in the College’s history. The College is making a $400M investment in the Integrated Sciences Program and will hire approximately 25 new faculty members. The Robert Day Sciences Center, designed by the Bjarkes Ingels Group, is slated for completion in AY 2024-25.

The Founding Faculty members will work closely with Ran Libeskind-Hadas (Founding Chair) and Muriel Poston (Vice President for Strategic Initiatives) and be directly involved in (1) planning the department’s academic programs and curricula; (2) developing and teaching transformative new courses including our new integrated science general education courses that will be taken by all CMC students; and (3) recruiting, hiring, and mentoring subsequent cohorts of faculty.

Among the signature elements of the new program are:

• A general education science curriculum that will be taken by all CMC students regardless of their intended major, seeking to develop scientific literacy, particularly in the life sciences, and using computational and data science approaches as vehicles for discovery;
• A set of robust foundations courses for majors that integrate biology, chemistry, physics, environmental science, neuroscience, and computation in creative ways to emphasize the process of scientific discovery and demonstrate important recurring ideas across the sciences;
• New major programs that reflect the department’s themes of health, brain, and planet;
• Collaboration with the College’s social sciences and humanities departments and its unique centers, institutes, and labs to build a program of science in service to society; and
• Rich and ample undergraduate research and project experience.

The successful applicant will have:

• Demonstrated excellence in undergraduate science teaching and mentoring of undergraduate students and a commitment to supporting a welcoming and inclusive environment for all students. Given our institutional value of cultivating an inclusive educational environment, we seek candidates who can demonstrate a commitment to teaching, mentoring, and inspiring students representing a broad range of socioeconomic backgrounds, political opinions, genders, races, ethnicities, nationalities, sexual orientations, and religions.
• Experience in the design and implementation of innovative science curricula including those that use creative approaches and pedagogies, span scientific disciplines, and involve computational and data science methods as vehicles for discovery;
• A strong record of scholarship and ability to meaningfully involve undergraduates in research;
• A commitment to working with colleagues across science disciplines as well as those in the social sciences and the humanities to develop science curricula and programs that serve society;
• Disciplinary background in one or more of the areas that support the department’s efforts to build strengths in the life sciences, brain and decision sciences, and climate and environmental sciences are preferred. Strong background in computational and data science methods is desirable and candidates may come from the natural sciences, computing and mathematical sciences, and other allied fields.

The Founding Faculty will have access to outstanding resources at the College and opportunities to engage with faculty from across the Claremont Consortium.
 
Application materials should be submitted at https://webapps.cmc.edu/jobs/faculty/faculty_opening.php and include the following:

• A cover letter that indicates how the applicant’s background and interests align with the vision of the program and the desired attributes outlined above;
• A curriculum vitae;
• A research statement that addresses the applicant’s areas of scholarship, record of external funding, and past experience and future opportunities with engaging undergraduates in research;
• A teaching statement that addresses the applicant’s interests, experiences, and aspirations in undergraduate science education, curriculum development, mentoring of undergraduates, including efforts to support students from diverse backgrounds;
• Evidence of teaching effectiveness (e.g., course evaluations and/or other sources of information);
• The names and email addresses of at least three references who can address the applicant’s experience and effectiveness as an educator and scholar; an email will be automatically sent to them with a link to upload their confidential recommendation letter.

While there are no page limits on any of these materials, the teaching and research statements are intended to be overviews rather than exhaustive lists of activities and two pages are expected to suffice for each of those documents.

Applications are being accepted and will be reviewed on a rolling basis until the positions are filled. The founding faculty are anticipated to join the department in July 2023.

Claremont McKenna College is an equal-opportunity employer. In a continuing effort to enrich its academic environment, the department actively encourages applications from women and members of historically under-represented social groups in higher education.

For more background on our program, please visit the Kravis Department of Integrated Sciences (KDIS) website:

https://cmc.edu/kdis

Inquiries and questions can also be sent to the department chair, Ran Libeskind-Hadas, at rhadas@cmc.edu.
",Faculty Positions,,,,,,,,,,,,,,
37303931,"Director, Financial Aid",https://jobs.chronicle.com/job/37303931/director-financial-aid/,False,Community College of Philadelphia,"Pennsylvania, United States",Salary Not specified,2022-08-16,"
Community College of Philadelphia
Success starts at Community College of Philadelphia. Innovators and
difference makers work at Community College of Philadelphia.
Diversity thrives at Community College of Philadelphia. We are a
college that is committed to promoting a work environment that
attracts and retains talented and diverse faculty and staff. We
challenge each other and ourselves to achieve at the highest level
while contributing to the mission of the College and the betterment
of Philadelphia. We value and support an intellectually dynamic
community to prepare our students for global citizenship. Join us
and become a part of a community that has long been and will
continue to be generators of generational chance in this city and
beyond.

Community College of Philadelphia is seeking to fill a Director,
Financial Aid position The Director of Financial Aid is
responsible for directing financial aid strategies that are
consistent with the student success objectives of the College,
within the framework of federal and state regulations. The Director
will administer financial aid, financial literacy, and student
employment programs that support and partner with the enrollment
management team in the recruitment and retention of students
through appropriate awarding strategies. The Director will
establish and maintain a service-oriented financial aid team that
is committed to creating an excellent student experience. The
Director will also ensure accurate and secure student financial
data, providing timely information to students and families, serve
as a compliance officer for Title IV federal aid and state
regulations and provide demonstrated leadership in the use of new
and existing technology.

** THIS POSITION IS ELIGIBLE FOR PARTIAL REMOTE WORK
**

For a complete position description, and apply online, please
visit our career site at jobs.ccp.edu, or click the ""Apply""
button.
""Success Starts Here"" is our message to the Philadelphia
community - and at Community College of Philadelphia, we recognize
that our success as a college and the success of our students
starts with our employees. Our employees are vital to our success.
Our total compensation package includes a comprehensive offer of
benefits that are unrivaled by most.
Our benefits include:

100% College-paid medical, dental and prescription drug for
employees and all of their eligible family members
College-paid life and disability insurance
College closes for Winter Break the week between Christmas and
New Years and for a week in March for Spring Break
College operates on a 4-day work week during the summer months
(off on Fridays)
Most employees work from home one day each week
Tuition remission (for classes at the College)
Forgivable tuition loan (for classes at any accredited academic
institution)
403(b) retirement plan with 10% College contribution
Health care and dependent care flexible spending accounts
Paid vacation plus holiday and personal time off

Community College of Philadelphia is an equal opportunity
employer, and all qualified applicants will receive consideration
for employment without regard to race, color, religion, sex,
national origin, disability status, protected veteran status or any
other characteristic protected by law.
Minimum Qualifications

• Bachelor's degree required. Any and all degree(s) must be from an
accredited institution of higher learning.

• At least three (3) years of previous experience at a financial
aid director level required.

• Five (5) or more years of progressively responsible experience in
a supervisory role in a student-centered, service-oriented
financial aid office required.

• Proven knowledge of Title IV federal financial aid regulations,
state grant financial aid regulations and federal financial needs
analysis required.

• Experience with enterprise-wide information systems database
required. Must be comfortable navigating the database and also
designing processes, data queries, and maintaining system
integrity.

• Extensive knowledge of computer based financial aid packaging and
reporting systems required. A history of streamlining processes
using automation and self-service is required.

• Strong analytical skills required. Must possess the ability to
engage in data analysis, strategic projections and to incorporate
financial aid leveraging and other strategies to impact the overall
enrollment management and student success goals of the College
required.

• Student outreach experience and the ability to communicate with a
diverse group of students and parents and other internal and
external constituents regarding financial aid is required, as is a
demonstrated ability to establish and maintain effective working
relationships across departments and with all constituent
groups.

• Computer proficiency in Microsoft Word, Excel and the Internet
required.

• Demonstrated ability to create and manage spreadsheets and
databases and to utilize data to make informed decisions
required.

• Must have the ability to research regulations and to connect with
a professional network.

• Demonstrated evidence of strong leadership and management skills
required. Must possess the ability to keep staff motivated and
working at optimum levels, especially at peak times, and establish
a customer service-focused culture, balanced with accurate
processing.

• Must possess strong organizational skills and be detail oriented
with an emphasis on excellence in student service.

• Excellent communication (oral and written) via all media (phone,
face to face, email, text, and live chat) required to effectively
interact with students, the general public, College staff and
faculty required.


Preferred Qualifications

• Master's degree preferred.

• Ellucian/Banner strongly preferred.

• MS Access proficiency preferred.

• Experience in, and appreciation for, a collective bargaining
environment preferred.
PI188957435
",Faculty Positions,Professional Fields,Other Professional Fields,,,,,,,,,,,,
37303932,"Instructional Aide A, Counseling, Full-Time",https://jobs.chronicle.com/job/37303932/instructional-aide-a-counseling-full-time/,False,Community College of Philadelphia,"Pennsylvania, United States",Salary Not specified,2022-08-16,"
Community College of Philadelphia
Success starts at Community College of Philadelphia. Innovators
and difference makers work at Community College of Philadelphia.
Diversity thrives at Community College of Philadelphia. We are a
college that is committed to promoting a work environment that
attracts and retains talented and diverse faculty and staff. We
challenge each other and ourselves to achieve at the highest level
while contributing to the mission of the College and the betterment
of Philadelphia. We value and support an intellectually dynamic
community to prepare our students for global citizenship. Join us
and become a part of a community that has long been and will
continue to be generators of generational chance in this city and
beyond.
Community College of Philadelphia is seeking to fill an
Instructional Aide A, Counseling position. Under the
direction of the Department Head, the Instructional Aide A serves
as the intake specialist for current and potential students seeking
services within the College's Counseling department. Primary
responsibilities for this position include screening visitors,
scheduling and prioritizing appointments based on the Guided
Pathways model or student needs, and maintain the intake of
students to ensure the timely and efficient delivery of counseling
services. This position requires the use of independent judgment,
excellent customer service skills and a comprehensive knowledge of
departmental and College-wide policies and procedures.


** THIS POSITION IS ELIGIBLE FOR PARTIAL REMOTE WORK
**

For a complete position description, and apply online, please
visit our career site at jobs.ccp.edu, or click the ""Apply""
button.

""Success Starts Here"" is our message to the Philadelphia
community - and at Community College of Philadelphia, we recognize
that our success as a college and the success of our students
starts with our employees. Our employees are vital to our success.
Our total compensation package includes a comprehensive offer of
benefits that are unrivaled by most.
Our benefits include:

100% College-paid medical, dental and prescription drug for
employees and all of their eligible family members
College-paid life and disability insurance
College closes for Winter Break the week between Christmas and
New Years and for a week in March for Spring Break
College operates on a 4-day work week during the summer months
(off on Fridays)
Most employees work from home one day each week
Tuition remission (for classes at the College)
Forgivable tuition loan (for classes at any accredited academic
institution)
403(b) retirement plan with 10% College contribution
Health care and dependent care flexible spending accounts
Paid vacation plus holiday and personal time off

Community College of Philadelphia is an equal opportunity
employer, and all qualified applicants will receive consideration
for employment without regard to race, color, religion, sex,
national origin, disability status, protected veteran status or any
other characteristic protected by law.
Minimum Qualifications

Associate's Degree or higher. Any and all degrees must be from
a recognized institutional accreditor.
A minimum of seven (7) years of related experience working with
a diverse population in a customer service oriented work
environment required.
Demonstrated proficiency using Microsoft Outlook, Word and
Excel required.
Strong verbal, written communication, and interpersonal skills
required.
Strong organizational skills and the ability to multitask
required.
Strong customer service mindset, problem solving skills, and
the ability to work effectively in a fast-paced work environment
required.
Ability to work evenings or weekends based on operational needs
required.
Ability to maintain sensitivity, understanding and respect for
a diverse academic environment, inclusive of students, faculty, and
staff of varying social, economic, cultural, ideological, and
ethnic backgrounds required.
Previous experience using Ellucian Banner, Starfish, Canvas, or
similar software/applications preferred.


Preferred Qualifications

Previous experience working in counseling or a student services
area within higher education or non-profit organization
preferred.

PI188957456
",Faculty Positions,Professional Fields,Other Professional Fields,,,,,,,,,,,,
